Date,EU SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1002.9482255497844
2007-06-04,1003.0146948916596
2007-06-05,1003.6370074800071
2007-06-06,982.3168333736562
2007-06-07,962.8980766724022
2007-06-08,955.3962048713752
2007-06-11,964.0619643880163
2007-06-12,957.0538384746314
2007-06-13,957.4921937062182
2007-06-14,970.5829172723539
2007-06-15,983.0311664932946
2007-06-18,985.227203909303
2007-06-19,982.9396144601093
2007-06-20,988.0169890168722
2007-06-21,975.614504239343
2007-06-22,976.3244641585952
2007-06-25,973.4970342941538
2007-06-26,970.1474827097792
2007-06-27,964.4144690012796
2007-06-28,978.2144159689146
2007-06-29,986.7730127613647
2007-07-02,997.6888882782843
2007-07-03,1006.9764439259591
2007-07-04,1014.0122066517768
2007-07-05,1009.025121653956
2007-07-06,1016.8629621427991
2007-07-09,1018.9824202934014
2007-07-10,1017.9100659865032
2007-07-11,1017.4443138394583
2007-07-12,1028.4677016132118
2007-07-13,1033.5619084698824
2007-07-16,1031.2806500969587
2007-07-17,1027.5321879473297
2007-07-18,1024.324034103531
2007-07-19,1034.1790543550717
2007-07-20,1029.1363711498161
2007-07-23,1028.7567229939139
2007-07-24,1016.3009755103544
2007-07-25,994.7390585869806
2007-07-26,968.6731291907007
2007-07-27,952.9151437527481
2007-07-30,959.5964577691426
2007-07-31,980.7110931397455
2007-08-01,965.5414736781046
2007-08-02,970.8229616655361
2007-08-03,968.8376883038223
2007-08-06,950.6154117457836
2007-08-07,957.4700521164843
2007-08-08,980.529141147235
2007-08-09,958.4158557136525
2007-08-10,931.0802303944549
2007-08-13,939.2297632198151
2007-08-14,928.3611553251726
2007-08-15,912.1737897050435
2007-08-16,866.8090073126356
2007-08-17,881.6534264643427
2007-08-20,886.5036551848688
2007-08-21,883.6969968557829
2007-08-22,907.5984110055871
2007-08-23,916.9032584360034
2007-08-24,924.1373569840836
2007-08-27,927.7100198521957
2007-08-28,914.0728786228975
2007-08-29,919.0650376300431
2007-08-30,929.2118274059974
2007-08-31,944.3235991152659
2007-09-03,949.1334268093738
2007-09-04,955.5912015142175
2007-09-05,945.002943340055
2007-09-06,948.7766946105173
2007-09-07,937.671893004956
2007-09-10,925.657081245194
