Date,WORLD ex EUROPE SMALL GROWTH
1994-05-31,373.8572336264957
1994-06-30,381.4929106029885
1994-07-29,379.1368345065133
1994-08-31,390.2673923444819
1994-09-30,382.978082571873
1994-10-31,389.3798551744013
1994-11-30,364.05893928221207
1994-12-30,371.5287097871779
1995-01-31,357.2513631139122
1995-02-28,356.7219141595998
1995-03-31,371.8782247400918
1995-04-28,377.4875297663086
1995-05-31,368.25605839969177
1995-06-30,375.460166802925
1995-07-31,404.1497325634831
1995-08-31,404.90419771330033
1995-09-29,407.2267419458254
1995-10-31,390.49772900129665
1995-11-30,407.41566504247237
1995-12-29,421.2399176882014
1996-01-31,421.1418982715989
1996-02-29,428.7728947131955
1996-03-29,440.87369843973875
1996-04-30,479.69581311563365
1996-05-31,484.3157495063053
1996-06-28,467.8955158135661
1996-07-31,422.5914356498826
1996-08-30,434.5560616052429
1996-09-30,447.0471311576071
1996-10-31,426.9693517724997
1996-11-29,428.44926738212945
1996-12-31,417.2840579849571
1997-01-01,417.3434452378916
1997-01-02,414.5041221998863
1997-01-03,417.05982280807865
1997-01-06,418.94425635220153
1997-01-07,420.77192338353296
1997-01-08,418.83157170957105
1997-01-09,417.18376537093036
1997-01-10,415.2787590535131
1997-01-13,416.17310704465217
1997-01-14,417.40998883304314
1997-01-15,416.8656882426387
1997-01-16,418.7892081986742
1997-01-17,419.1831981453272
1997-01-20,418.56589995770275
1997-01-21,419.22606293051854
1997-01-22,420.21935451943875
1997-01-23,418.7743160480988
1997-01-24,415.1588172831249
1997-01-27,410.41680186444296
1997-01-28,409.713989994395
1997-01-29,409.38473567504707
1997-01-30,410.0357044767483
1997-01-31,412.4640923612902
1997-02-03,411.7807363110926
1997-02-04,411.1784242979563
1997-02-05,405.9709271967629
1997-02-06,404.56888703610525
1997-02-07,402.9281536551515
1997-02-10,401.0334766837024
1997-02-11,398.9786286031188
1997-02-12,401.45879046972107
1997-02-13,403.5762474161633
1997-02-14,404.22704897935677
1997-02-17,404.8025011424063
1997-02-18,404.25203183314187
1997-02-19,403.1258370504886
1997-02-20,402.52813080892344
1997-02-21,400.74547052854064
1997-02-24,401.888013647233
1997-02-25,402.02806631344583
1997-02-26,399.0788826775233
1997-02-27,396.4506796475926
1997-02-28,394.4881768915634
1997-03-03,393.25424245617796
1997-03-04,393.86640675879994
1997-03-05,395.47306684939207
1997-03-06,393.79819627622777
1997-03-07,394.8293646935627
1997-03-10,394.8771694138314
1997-03-11,394.38994960137154
1997-03-12,390.20820230476556
1997-03-13,385.3737503968044
1997-03-14,384.72071801120825
1997-03-17,380.5262198732816
1997-03-18,379.2965717823817
1997-03-19,375.0959135316348
1997-03-20,375.24156792352073
1997-03-21,376.58879463780886
1997-03-24,372.9133711523522
1997-03-25,373.40632090539503
1997-03-26,375.60067251627856
1997-03-27,372.44680014521026
1997-03-28,372.20655139526207
1997-03-31,366.16801142147386
1997-04-01,363.7162829326752
1997-04-02,361.4077554497183
1997-04-03,360.32534692535137
1997-04-04,363.4756233935655
1997-04-07,364.12548367087544
1997-04-08,363.505195753183
1997-04-09,362.19615957642253
1997-04-10,358.9906983835098
1997-04-11,354.10459790472805
1997-04-14,353.07594760782075
1997-04-15,354.27655396907494
1997-04-16,354.5242846360485
1997-04-17,355.679620272012
1997-04-18,358.6853825391259
1997-04-21,357.26071956508116
1997-04-22,356.9272482387469
1997-04-23,358.3689083854219
1997-04-24,358.3701300094281
1997-04-25,355.1594190533115
1997-04-28,353.7276395174496
1997-04-29,356.6036484801138
