Date,EM EMEA VALUE WEIGHTED
1997-04-25,1151.1814368363964
1997-04-28,1150.1240736052957
1997-04-29,1156.22061061232
1997-04-30,1157.6441769591527
1997-05-01,1161.1866698817246
1997-05-02,1166.5521138981658
1997-05-05,1170.830992218919
1997-05-06,1173.7640894853068
1997-05-07,1171.4585348673772
1997-05-08,1171.3688205095468
1997-05-09,1178.6260144626394
1997-05-12,1178.0694513485446
1997-05-13,1182.5444091080565
1997-05-14,1184.816321609421
1997-05-15,1185.7785385781326
1997-05-16,1185.5316851203456
1997-05-19,1180.9195352185222
1997-05-20,1177.4393280353588
1997-05-21,1180.8513656088678
1997-05-22,1174.464725333316
1997-05-23,1178.02338984466
1997-05-26,1178.8598663101052
1997-05-27,1176.9013443383199
1997-05-28,1180.272521881029
1997-05-29,1180.3577628960757
1997-05-30,1171.959551661908
1997-06-02,1180.227377387537
1997-06-03,1190.3966587798373
1997-06-04,1195.105264087703
1997-06-05,1198.0689760473947
1997-06-06,1200.5617824925325
1997-06-09,1212.877567727055
1997-06-10,1210.4135554203947
1997-06-11,1217.050706936841
1997-06-12,1214.5258167286656
1997-06-13,1209.0187989587878
1997-06-16,1218.6599724506882
1997-06-17,1206.988652478149
1997-06-18,1208.526255151693
1997-06-19,1209.1626306518128
1997-06-20,1200.457757960299
1997-06-23,1211.0647736107196
1997-06-24,1207.471422341873
1997-06-25,1210.1703970667834
1997-06-26,1207.625218850929
1997-06-27,1204.866210725143
1997-06-30,1201.1734866238096
1997-07-01,1209.910459639085
1997-07-02,1213.798708238781
1997-07-03,1219.64516596854
1997-07-04,1217.428201536979
1997-07-07,1215.7707107695169
1997-07-08,1215.4918198956411
1997-07-09,1218.3689992237003
1997-07-10,1222.6343635221394
1997-07-11,1221.0395476128901
1997-07-14,1221.093012368118
1997-07-15,1220.012565477414
1997-07-16,1224.1220482451974
1997-07-17,1229.0872151919766
1997-07-18,1225.4846326707798
1997-07-21,1218.9489958933004
1997-07-22,1216.1960867063099
1997-07-23,1219.614763238828
1997-07-24,1219.805766514845
1997-07-25,1221.3461699841484
1997-07-28,1227.5190060100342
1997-07-29,1227.3101068430367
1997-07-30,1229.6003983479482
1997-07-31,1233.2169083770395
1997-08-01,1226.3661816788313
1997-08-04,1225.1429730498564
1997-08-05,1230.0123743080323
1997-08-06,1240.3555565726742
1997-08-07,1253.0697514337946
1997-08-08,1252.1534808110032
1997-08-11,1244.2856422880395
1997-08-12,1241.1814440854828
1997-08-13,1236.3454307940954
1997-08-14,1230.557620686155
1997-08-15,1225.1024941082758
1997-08-18,1206.2341057560923
1997-08-19,1206.414552025285
1997-08-20,1198.8085649623608
1997-08-21,1206.175412848573
1997-08-22,1204.099910455634
1997-08-25,1205.080957022582
1997-08-26,1204.7330202102592
1997-08-27,1201.5461104421936
1997-08-28,1202.3523203781785
1997-08-29,1187.5334375733114
1997-09-01,1176.535219933843
1997-09-02,1181.3109532081066
1997-09-03,1196.4445046786836
1997-09-04,1195.7793692412088
1997-09-05,1205.356785798755
1997-09-08,1210.001688510633
1997-09-09,1211.45409006451
1997-09-10,1206.2688960832813
1997-09-11,1191.5778649442193
1997-09-12,1197.9115632293815
1997-09-15,1205.0259067163001
1997-09-16,1198.8914727286915
1997-09-17,1207.1004992113956
1997-09-18,1201.5282044220749
1997-09-19,1197.33295884459
1997-09-22,1193.1184518780988
1997-09-23,1186.8616554220528
1997-09-24,1193.6898687576415
1997-09-25,1203.8361816733463
1997-09-26,1208.9940996652927
1997-09-29,1216.8539405430997
1997-09-30,1221.3762683495952
1997-10-01,1222.7434433226056
1997-10-02,1236.3850709027906
1997-10-03,1242.313173618018
1997-10-06,1250.8160360730087
1997-10-07,1252.8687063601851
1997-10-08,1263.4375799709237
1997-10-09,1265.8505926788728
1997-10-10,1260.2939980297035
1997-10-13,1269.4804020507333
1997-10-14,1274.0111767112337
1997-10-15,1274.0051351028342
1997-10-16,1276.2764872838568
1997-10-17,1261.7576714729073
1997-10-20,1264.5128278799193
1997-10-21,1266.9148904981992
1997-10-22,1268.052967164605
