Date,EM VALUE WEIGHTED
1994-06-30,226.98255198
1994-07-29,238.72383841
1994-08-31,259.50951132
1994-09-30,260.2341513
1994-10-31,254.8825776
1994-11-30,245.08771582
1994-12-30,225.16101432
1995-01-31,202.00374591
1995-02-28,186.24855116
1995-03-31,180.64070703
1995-04-28,197.12308509
1995-05-31,206.16333223
1995-06-30,206.05823426
1995-07-31,213.38190385
1995-08-31,213.14121286
1995-09-29,215.23498146
1995-10-31,203.782553
1995-11-30,202.1750951
1995-12-29,206.9579408
1996-01-31,225.0439056
1996-02-29,219.2490951
1996-03-29,219.7595753
1996-04-30,226.7277251
1996-05-31,227.5071014
1996-06-28,229.4938046
1996-07-31,216.2761661
1996-08-30,219.0671871
1996-09-30,220.5837138
1996-10-31,217.6648373
1996-11-29,221.3940875
1996-12-31,221.4932352
1997-01-01,221.4932352
1997-01-02,221.4476572
1997-01-03,222.7491426
1997-01-06,224.2846146
1997-01-07,226.6985126
1997-01-08,229.4612171
1997-01-09,230.6746971
1997-01-10,231.403463
1997-01-13,232.324569
1997-01-14,235.2170381
1997-01-15,238.040075
1997-01-16,237.9370395
1997-01-17,238.6599276
1997-01-20,239.8132382
1997-01-21,238.7974253
1997-01-22,238.2418791
1997-01-23,238.7089878
1997-01-24,237.8893617
1997-01-27,238.0670817
1997-01-28,238.9161612
1997-01-29,237.1328752
1997-01-30,238.6150093
1997-01-31,239.2592033
1997-02-03,240.8756974
1997-02-04,241.7677482
1997-02-05,243.0930539
1997-02-06,243.8829254
1997-02-07,245.4364089
1997-02-10,246.482395
1997-02-11,246.9332655
1997-02-12,250.23849
1997-02-13,250.5401176
1997-02-14,250.4380833
1997-02-17,251.3082996
1997-02-18,252.1025939
1997-02-19,252.1089961
1997-02-20,252.0264086
1997-02-21,251.6928382
1997-02-24,252.8622021
1997-02-25,254.9145656
1997-02-26,252.8828149
1997-02-27,249.9806783
1997-02-28,250.739038
1997-03-03,250.8922331
1997-03-04,250.3399193
1997-03-05,250.0093102
1997-03-06,250.3246027
1997-03-07,251.2570661
1997-03-10,252.4634317
1997-03-11,252.7338805
1997-03-12,250.6808499
1997-03-13,250.1075207
1997-03-14,249.6561128
1997-03-17,249.3148286
1997-03-18,248.6718576
1997-03-19,247.4899555
1997-03-20,248.0946769
1997-03-21,246.8984322
1997-03-24,246.827674
