Date,EM LATAM ex BR VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,995.6876573278324
1999-01-05,989.5542260283046
1999-01-06,992.5212149393619
1999-01-07,978.6512125680412
1999-01-08,969.2029960753595
1999-01-11,948.9793338880413
1999-01-12,906.8304431937984
1999-01-13,840.7226405516543
1999-01-14,829.2450634119066
1999-01-15,898.3437181374794
1999-01-18,901.9367096685259
1999-01-19,896.070168841543
1999-01-20,922.2664598340083
1999-01-21,900.1626725302568
1999-01-22,894.138027904671
1999-01-25,904.1466899163414
1999-01-26,912.9988814144026
1999-01-27,927.2674352206257
1999-01-28,942.9852066798769
1999-01-29,951.0597687798532
1999-02-01,971.0007209801249
1999-02-02,966.6665882352868
1999-02-03,971.6586941109989
1999-02-04,969.3646206253413
1999-02-05,969.4895748006554
1999-02-08,969.3508705640367
1999-02-09,963.5463717358423
1999-02-10,971.3682239815851
1999-02-11,996.082262885412
1999-02-12,991.9006417078688
1999-02-15,993.9414696904695
1999-02-16,999.8021741887255
1999-02-17,987.0691164363009
1999-02-18,993.0786499046039
1999-02-19,1007.3677839162654
1999-02-22,1013.3709107261279
1999-02-23,1005.7121539891164
1999-02-24,1009.3458857017613
1999-02-25,1004.8065863351333
1999-02-26,1005.0963607716582
1999-03-01,998.9739781009127
1999-03-02,991.0168604584154
1999-03-03,989.5160813495676
1999-03-04,1011.7505107783475
1999-03-05,1025.1983033750219
1999-03-08,1047.669503363549
1999-03-09,1062.6444780263623
1999-03-10,1090.221088461887
1999-03-11,1094.4952339954261
1999-03-12,1098.8334926522723
1999-03-15,1112.400520463426
1999-03-16,1127.8819772595318
1999-03-17,1125.592758636045
1999-03-18,1131.2164957362081
1999-03-19,1122.0843392179063
1999-03-22,1111.5130264578947
1999-03-23,1098.0846448046084
1999-03-24,1117.7631048517017
1999-03-25,1130.9103728086995
1999-03-26,1123.3247358442175
1999-03-29,1142.0334434384665
1999-03-30,1153.3941087768121
1999-03-31,1166.020138204149
1999-04-01,1167.2078937111753
1999-04-02,1168.6066827493225
1999-04-05,1203.2961435295958
1999-04-06,1210.678949714504
1999-04-07,1210.1891698188344
1999-04-08,1216.754574695222
1999-04-09,1217.6671866536403
1999-04-12,1231.3165684685657
1999-04-13,1232.2806676334783
1999-04-14,1237.736652326395
1999-04-15,1280.1060912858923
1999-04-16,1319.752916876388
1999-04-19,1333.502045832428
1999-04-20,1319.718324216669
1999-04-21,1308.2146324210148
1999-04-22,1328.8609861545176
1999-04-23,1326.6269634704781
1999-04-26,1313.742028544408
1999-04-27,1306.2300274017587
1999-04-28,1328.6856736946045
1999-04-29,1339.8024395824327
1999-04-30,1361.2946516449997
1999-05-03,1391.9300982417815
1999-05-04,1391.6695049469545
1999-05-05,1396.6835369003963
1999-05-06,1428.6502190582257
1999-05-07,1458.7229593135078
1999-05-10,1490.4011117606135
1999-05-11,1472.6759393310494
1999-05-12,1450.0778387883497
1999-05-13,1483.396204727508
1999-05-14,1453.954020841904
1999-05-17,1442.894176044771
1999-05-18,1447.0976053784366
1999-05-19,1411.5617365624412
1999-05-20,1410.9089562196334
1999-05-21,1372.8595626287765
1999-05-24,1337.682981242246
1999-05-25,1303.1279445916027
1999-05-26,1337.7098112180274
1999-05-27,1301.8441409931972
1999-05-28,1303.890715296443
1999-05-31,1310.4844293668955
1999-06-01,1297.785220643223
1999-06-02,1294.0094904543505
1999-06-03,1297.6264733593266
1999-06-04,1310.933563607017
1999-06-07,1324.2098428579795
1999-06-08,1329.32578545284
1999-06-09,1319.2774148602145
1999-06-10,1310.0242341532405
1999-06-11,1289.9282477303664
1999-06-14,1279.04785879018
1999-06-15,1292.1103356351246
1999-06-16,1338.7401631591185
1999-06-17,1353.3601491217503
1999-06-18,1359.0853090227395
1999-06-21,1371.6206739200047
1999-06-22,1375.6803865974873
1999-06-23,1353.9450459617192
1999-06-24,1333.6679685817953
1999-06-25,1317.0981532421083
1999-06-28,1332.551866444371
1999-06-29,1338.957583887743
1999-06-30,1365.994309175465
1999-07-01,1376.8715705597365
1999-07-02,1390.667318825609
1999-07-05,1402.2810166565853
1999-07-06,1399.848284546309
1999-07-07,1400.962840539452
1999-07-08,1381.7392051262113
1999-07-09,1381.034691979659
1999-07-12,1339.640218678649
1999-07-13,1361.0533693145712
1999-07-14,1365.3145713557287
1999-07-15,1373.4154249726162
1999-07-16,1378.7614234763048
1999-07-19,1384.6164788613091
1999-07-20,1361.2714055926047
1999-07-21,1367.259009431143
1999-07-22,1349.912663232016
1999-07-23,1312.7525482811786
1999-07-26,1279.905451210301
1999-07-27,1278.8224649660158
1999-07-28,1293.3843006152424
1999-07-29,1268.431166532428
1999-07-30,1266.97055144621
1999-08-02,1243.112170685447
1999-08-03,1244.5951691106893
1999-08-04,1237.2045906889775
1999-08-05,1234.4925792837132
