Date,EM ASIA VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1035.6204166266825
1996-01-31,1068.651164658888
1996-02-29,1092.234239509692
1996-03-29,1110.1659191589115
1996-04-30,1184.4619622098203
1996-05-31,1151.9479534482691
1996-06-28,1120.337258082283
1996-07-31,1030.0105354145455
1996-08-30,1041.3251314928018
1996-09-30,1033.7321978687655
1996-10-31,985.0077448374061
1996-11-29,996.735516625472
1996-12-31,960.2585001984446
1997-01-01,960.2585001984446
1997-01-02,963.5684183488822
1997-01-03,969.854052163668
1997-01-06,965.342493185907
1997-01-07,967.4944726617484
1997-01-08,982.2825284192107
1997-01-09,993.0404324683115
1997-01-10,998.270525371369
1997-01-13,1000.5628373805159
1997-01-14,1008.7225376712269
1997-01-15,1027.026131806146
1997-01-16,1022.4122236597602
1997-01-17,1018.0230672563748
1997-01-20,1025.7060057844294
1997-01-21,1012.7339980025534
1997-01-22,1013.8881827912644
1997-01-23,1012.1608569666324
1997-01-24,1012.1108924256015
1997-01-27,1010.4347236493933
1997-01-28,1012.441427007698
1997-01-29,1002.698334090737
1997-01-30,1007.1461331717177
1997-01-31,1000.325018958718
1997-02-03,996.3179731636903
1997-02-04,1003.9107081716952
1997-02-05,1003.5858418798849
1997-02-06,1006.9191536356832
1997-02-07,1007.150232571817
1997-02-10,1009.9170185680771
1997-02-11,1011.9741271517844
1997-02-12,1015.053181871855
1997-02-13,1018.6571307647008
1997-02-14,1016.0111515790297
1997-02-17,1014.4984009022409
1997-02-18,1010.6768936976126
1997-02-19,1021.9065032047765
1997-02-20,1025.515007394104
1997-02-21,1016.5860969261068
1997-02-24,1009.0324362401304
1997-02-25,1014.8370346831817
1997-02-26,1011.8155594861408
1997-02-27,1007.7837144217144
1997-02-28,1019.9185307211661
1997-03-03,1027.6751922532717
1997-03-04,1023.5096040631454
1997-03-05,1019.6156433437975
1997-03-06,1015.0448599544984
1997-03-07,1018.1116924816148
1997-03-10,1007.115126504772
1997-03-11,1005.6815685906469
1997-03-12,1009.5737599244628
1997-03-13,1006.0077069622308
1997-03-14,995.6100318321932
1997-03-17,1005.5954770024523
1997-03-18,1004.597449408054
1997-03-19,996.668232133728
1997-03-20,995.8261667029931
1997-03-21,982.4131467217013
1997-03-24,979.1926226425336
1997-03-25,988.9383445148698
1997-03-26,998.6810188112848
1997-03-27,995.0540508361668
1997-03-28,990.0248388773128
1997-03-31,979.073217094584
1997-04-01,978.771410446632
1997-04-02,989.3032593520771
1997-04-03,986.8858708061173
1997-04-04,988.0825653381593
1997-04-07,989.559410241289
1997-04-08,991.1257231485014
1997-04-09,999.0912863360467
1997-04-10,989.302267846027
1997-04-11,992.7949214783408
1997-04-14,986.6788084737817
1997-04-15,984.949215279774
1997-04-16,986.1979906965582
1997-04-17,984.2742027098348
1997-04-18,980.2531809298612
1997-04-21,993.3949596785538
1997-04-22,987.9543419740106
1997-04-23,993.1831804625605
1997-04-24,988.2577839233064
1997-04-25,987.8081312809081
1997-04-28,989.6205548351902
1997-04-29,977.9565514323896
1997-04-30,983.4491320987356
1997-05-01,982.7730730027931
1997-05-02,979.916848973794
1997-05-05,981.3284924688393
1997-05-06,980.0800291930482
1997-05-07,977.920147396564
1997-05-08,971.8016279031604
1997-05-09,972.2080258690194
1997-05-12,958.2830460752701
1997-05-13,960.8144083131856
1997-05-14,958.2735831311837
1997-05-15,953.9406704749128
1997-05-16,953.6864632616857
1997-05-19,964.2020288194257
1997-05-20,971.8730022309772
1997-05-21,977.9679282101326
1997-05-22,972.4539765382993
1997-05-23,975.3691621132276
1997-05-26,970.7617563949251
1997-05-27,970.8010447884614
1997-05-28,980.6022961235221
1997-05-29,989.0157543666337
1997-05-30,996.2176447708273
1997-06-02,1007.9861149283081
1997-06-03,1012.5686408591379
1997-06-04,1009.1178532454603
1997-06-05,1009.5151792286135
1997-06-06,1007.0373815287548
1997-06-09,1009.2720295171903
1997-06-10,1006.9213476736788
1997-06-11,1006.3944159974362
1997-06-12,1009.9938953068078
1997-06-13,1008.4997907079658
1997-06-16,1015.4087806012883
1997-06-17,1015.5577135699621
1997-06-18,1007.2477637575045
1997-06-19,1003.489608580199
1997-06-20,1008.9208493156899
1997-06-23,1012.6805054042125
1997-06-24,1008.275757048198
1997-06-25,1003.6148936644498
1997-06-26,1008.8421188103802
1997-06-27,1009.8330934201158
1997-06-30,1016.8219774385407
1997-07-01,1027.1920505103587
1997-07-02,1053.777480415278
1997-07-03,1060.4045286797925
1997-07-04,1062.031547049479
1997-07-07,1047.1806899299886
1997-07-08,1037.5012540368111
1997-07-09,1040.8793745282828
1997-07-10,1036.7725101711455
1997-07-11,1023.9416430076583
1997-07-14,1014.5298330388213
1997-07-15,1014.7927590657763
1997-07-16,1010.7205333535494
1997-07-17,1013.0968718132314
1997-07-18,1007.206648974137
1997-07-21,1010.4841451311701
1997-07-22,1003.9711786319953
1997-07-23,998.0047094406937
1997-07-24,1004.4439941668074
1997-07-25,1004.8073791392638
1997-07-28,1016.0591234569243
1997-07-29,1024.1199551066193
1997-07-30,1019.6191810122717
1997-07-31,1016.5670191535638
1997-08-01,1009.3978700800474
1997-08-04,1015.5190622400175
1997-08-05,1008.8000100289372
1997-08-06,1004.6673593973456
1997-08-07,994.2082371321015
1997-08-08,991.7889272312678
1997-08-11,987.202030066812
1997-08-12,977.8502660912129
1997-08-13,975.9973416788338
1997-08-14,964.7777001841583
1997-08-15,956.6271844307198
1997-08-18,932.9668058283123
1997-08-19,922.6347093376418
1997-08-20,938.3103706976525
1997-08-21,937.421058269346
1997-08-22,918.4060696461803
1997-08-25,902.7533693414919
1997-08-26,895.6190400694079
1997-08-27,885.7484656430199
1997-08-28,848.3533376926132
1997-08-29,832.7189929968488
1997-09-01,814.2699511331591
1997-09-02,812.688165626765
1997-09-03,804.7048370332645
1997-09-04,799.7386965738065
1997-09-05,838.0509618143341
1997-09-08,857.6329463493211
1997-09-09,860.0255112714967
1997-09-10,848.3063896704815
1997-09-11,841.5228283239511
1997-09-12,839.9101163452797
1997-09-15,835.4454573818591
1997-09-16,828.0805629411749
1997-09-17,819.4279112527286
1997-09-18,814.9054418364038
1997-09-19,811.7270421428948
1997-09-22,790.5382391013208
1997-09-23,793.1793877622918
1997-09-24,797.3800923590841
1997-09-25,799.0679838866497
1997-09-26,796.3581397088373
1997-09-29,792.3404714603035
1997-09-30,792.3862183763582
1997-10-01,779.1843632100499
1997-10-02,774.5094420416868
1997-10-03,763.6203305450572
1997-10-06,757.4488994141512
1997-10-07,753.4229310827882
1997-10-08,755.3240658285289
1997-10-09,763.6017168616931
1997-10-10,775.1412041012638
1997-10-13,772.0105468324832
1997-10-14,769.9641159002879
