Date,EM FAR EAST VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1032.6376428529866
1996-01-31,1091.2727154014228
1996-02-29,1078.5914345389224
1996-03-29,1102.3978587816116
1996-04-30,1171.9571468604263
1996-05-31,1137.8049648414444
1996-06-28,1094.8414346751372
1996-07-31,1014.2105018785226
1996-08-30,1035.9517582550282
1996-09-30,1043.034406522878
1996-10-31,989.4503740600774
1996-11-29,1019.4867241619568
1996-12-31,966.6448684286568
1997-01-01,966.6448684286568
1997-01-02,962.0972883983769
1997-01-03,967.8678790904896
1997-01-06,962.1288638176887
1997-01-07,964.064263762637
1997-01-08,979.4692484440014
1997-01-09,988.5954189506938
1997-01-10,991.9112432719132
1997-01-13,992.3128280235694
1997-01-14,998.7755034257754
1997-01-15,1010.9175293552432
1997-01-16,1014.8781631607723
1997-01-17,1011.4552439716608
1997-01-20,1022.3645157127331
1997-01-21,1009.5968922490678
1997-01-22,1008.4469660115901
1997-01-23,1006.1487335601264
1997-01-24,1006.994515858072
1997-01-27,997.269299650168
1997-01-28,997.2142197395054
1997-01-29,990.0200673235399
1997-01-30,996.3546786112206
1997-01-31,995.5966685364043
1997-02-03,993.2674972396177
1997-02-04,999.2701380966295
1997-02-05,999.6043504995577
1997-02-06,1001.412355988805
1997-02-07,1001.3282936717767
1997-02-10,1002.5979170388224
1997-02-11,1002.6400584646549
1997-02-12,1006.4484821773937
1997-02-13,1010.3471411661611
1997-02-14,1005.8513244770467
1997-02-17,998.6712133683407
1997-02-18,996.2176424192652
1997-02-19,1010.3309663890952
1997-02-20,1016.3545967081119
1997-02-21,1008.1113048463927
1997-02-24,1004.8369513379708
1997-02-25,1010.8102741562261
1997-02-26,1006.3260333992782
1997-02-27,999.0410161932764
1997-02-28,1003.7543631931411
1997-03-03,1001.3846975415156
1997-03-04,994.3412500727508
1997-03-05,990.0587829916418
1997-03-06,989.0452097383981
1997-03-07,992.6604923100639
1997-03-10,985.5171785578334
1997-03-11,988.5117843245613
1997-03-12,992.2046407217434
1997-03-13,988.206979646806
1997-03-14,976.0703865277284
1997-03-17,985.4901695341892
1997-03-18,984.4695835960598
1997-03-19,980.2471371062181
1997-03-20,977.8300893023012
1997-03-21,961.6962031712952
1997-03-24,958.0992034240288
1997-03-25,968.1818407615368
1997-03-26,980.3858645056876
1997-03-27,976.1580222112065
1997-03-28,973.2192746550334
1997-03-31,976.6629217791093
1997-04-01,973.0799266993346
1997-04-02,979.3993284862419
1997-04-03,975.2162165255083
1997-04-04,978.4853322628758
1997-04-07,983.0854059479348
1997-04-08,985.0115588656577
1997-04-09,987.8409332044
1997-04-10,980.1422347597379
1997-04-11,983.6910299258818
1997-04-14,978.3055429402815
1997-04-15,973.6835520341305
1997-04-16,974.9839935863511
1997-04-17,970.9655653192871
1997-04-18,965.8252502543639
1997-04-21,975.1992005215595
1997-04-22,968.9397678985358
1997-04-23,974.1723724538758
1997-04-24,969.4031099904745
1997-04-25,968.9935780753568
1997-04-28,971.0720168163855
1997-04-29,958.0302486563911
1997-04-30,961.7142439246298
1997-05-01,960.9137405194259
1997-05-02,959.0188064607628
1997-05-05,962.5128027701861
1997-05-06,960.4091913202924
1997-05-07,958.9624871354198
1997-05-08,951.7326702241495
1997-05-09,951.50615934167
1997-05-12,937.3362769118352
1997-05-13,941.7884047876455
1997-05-14,936.6310330108331
1997-05-15,931.6553896459552
1997-05-16,931.0799232335755
1997-05-19,941.8086450298854
1997-05-20,951.4762594285851
1997-05-21,960.1076969544457
1997-05-22,954.2473186894387
1997-05-23,959.1756022280234
