Date,EM LATIN AMERICA VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1005.6038338629374
1996-01-31,1137.0486238314584
1996-02-29,1075.1549580654794
1996-03-29,1076.0726473571685
1996-04-30,1117.0292045231408
1996-05-31,1161.3625634944408
1996-06-28,1197.0836439027426
1996-07-31,1159.385555113589
1996-08-30,1171.946702755745
1996-09-30,1189.4661995764297
1996-10-31,1213.7062682085696
1996-11-29,1246.3714000660802
1996-12-31,1296.2689986890025
1997-01-01,1296.2689986890025
1997-01-02,1290.296894128869
1997-01-03,1300.6428970387694
1997-01-06,1323.3715584907666
1997-01-07,1342.178186487401
1997-01-08,1356.0729022242458
1997-01-09,1357.7903077150663
1997-01-10,1361.4653719692808
1997-01-13,1359.6663695870184
1997-01-14,1391.0561177687146
1997-01-15,1403.745317485873
1997-01-16,1404.5485784017621
1997-01-17,1420.7794275150798
1997-01-20,1426.8416477564142
1997-01-21,1430.6450908319287
1997-01-22,1419.5834327241948
1997-01-23,1426.7082670126413
1997-01-24,1407.4113236391659
1997-01-27,1402.4703864387895
1997-01-28,1414.9331023845093
1997-01-29,1401.1175942931516
1997-01-30,1414.2690611490455
1997-01-31,1433.3616073004507
1997-02-03,1452.4901158501782
1997-02-04,1453.6350333542434
1997-02-05,1459.7644430478836
1997-02-06,1457.6869064184698
1997-02-07,1479.067977097752
1997-02-10,1480.3901058020263
1997-02-11,1485.4797704826065
1997-02-12,1531.970329176565
1997-02-13,1532.5623173887607
1997-02-14,1537.9172233272168
1997-02-17,1546.3698021281257
1997-02-18,1559.415222444621
1997-02-19,1545.8808333314923
1997-02-20,1537.6221899048114
1997-02-21,1541.2913014678381
1997-02-24,1561.951593032448
1997-02-25,1581.1245718415053
1997-02-26,1557.9137843207768
1997-02-27,1533.105077851426
1997-02-28,1537.5171347116775
1997-03-03,1538.9566629607925
1997-03-04,1537.936219169309
1997-03-05,1542.5200999328529
1997-03-06,1547.7019158974047
1997-03-07,1559.8550154233376
1997-03-10,1585.0252559675464
1997-03-11,1590.0274822136582
1997-03-12,1555.495165056099
1997-03-13,1551.9485818255132
1997-03-14,1571.0139091322255
1997-03-17,1547.0518017356803
1997-03-18,1538.3263258918182
1997-03-19,1533.3330655143309
1997-03-20,1545.5207605118246
1997-03-21,1544.7204595212422
1997-03-24,1549.5323647543
1997-03-25,1553.771622792597
1997-03-26,1545.248892870514
1997-03-27,1545.6633737395248
1997-03-28,1545.6307387604184
1997-03-31,1511.4317844278837
1997-04-01,1516.9282445119397
1997-04-02,1520.791981248789
1997-04-03,1523.4240821061553
1997-04-04,1554.5162667400743
1997-04-07,1580.3360640806543
1997-04-08,1576.9950541783285
1997-04-09,1590.7905751886303
1997-04-10,1586.6558981276437
1997-04-11,1558.442680578467
1997-04-14,1551.1054427099036
1997-04-15,1555.7433947995223
1997-04-16,1570.1812178338755
1997-04-17,1552.4204629948101
1997-04-18,1548.4499068512002
1997-04-21,1544.791679163204
1997-04-22,1562.2422838873636
1997-04-23,1576.9910014231032
1997-04-24,1586.1435313780394
1997-04-25,1587.9471344249814
1997-04-28,1590.9827697946394
1997-04-29,1605.5013223007627
1997-04-30,1618.8702750979362
1997-05-01,1619.2135575316183
1997-05-02,1633.0812295336884
1997-05-05,1626.3693306142638
1997-05-06,1638.599780366206
1997-05-07,1631.8087393978678
1997-05-08,1650.5315882298933
1997-05-09,1655.9556478032255
1997-05-12,1675.494365589136
1997-05-13,1679.0871043782208
1997-05-14,1640.9445469648538
1997-05-15,1651.8257949074348
1997-05-16,1658.669374829431
1997-05-19,1660.4927497638498
1997-05-20,1679.6351418133331
1997-05-21,1688.1561288812568
1997-05-22,1687.8879029864054
1997-05-23,1689.6086715787915
1997-05-26,1700.6641613066745
1997-05-27,1707.3694295866574
1997-05-28,1717.500666282889
1997-05-29,1719.570201611016
1997-05-30,1735.021192944424
1997-06-02,1749.0269637896743
1997-06-03,1747.2736356050327
1997-06-04,1747.3640953249767
1997-06-05,1750.2533078726335
1997-06-06,1771.082036902595
1997-06-09,1770.0044017297216
1997-06-10,1775.8805757839627
1997-06-11,1791.098410515593
1997-06-12,1831.4708749802946
1997-06-13,1842.7289478793152
1997-06-16,1856.8073063666775
1997-06-17,1871.7555859075662
1997-06-18,1876.5879122106871
1997-06-19,1887.6833413146946
1997-06-20,1889.4753296793915
1997-06-23,1898.24179463735
1997-06-24,1922.970611996788
1997-06-25,1951.5005221616625
1997-06-26,1941.9192453705648
1997-06-27,1934.6981738750233
1997-06-30,1922.5897778842261
1997-07-01,1956.5201370904995
1997-07-02,1978.5856002909516
1997-07-03,1987.7900711711154
1997-07-04,2013.8414591449919
1997-07-07,2030.8704553199364
1997-07-08,2058.8067284551794
1997-07-09,2059.6068124089134
1997-07-10,2073.485242360059
1997-07-11,2050.2610462965895
1997-07-14,2010.1628612583395
1997-07-15,1895.5088017126145
1997-07-16,1966.8224067889416
1997-07-17,1908.5747343073479
1997-07-18,1856.374749136006
1997-07-21,1847.6389730383107
1997-07-22,1930.2263899483698
1997-07-23,1962.379758805081
1997-07-24,1980.404632634816
1997-07-25,1991.5362629720619
1997-07-28,2011.1358817948553
1997-07-29,2025.0983863117203
1997-07-30,2031.507134840761
1997-07-31,2032.6077917353905
1997-08-01,1989.198033600798
1997-08-04,1983.1150409775391
1997-08-05,1979.9174094405944
1997-08-06,2031.5072266090597
1997-08-07,2015.8977571418702
1997-08-08,1995.3297871166756
1997-08-11,1983.88056569658
1997-08-12,1977.4494416860246
1997-08-13,1976.4770942236612
1997-08-14,1986.2880425482933
1997-08-15,1940.8246324474017
1997-08-18,1920.054800933293
1997-08-19,1937.637139589998
1997-08-20,1922.3902659239482
1997-08-21,1927.852977455378
1997-08-22,1917.5874142640907
1997-08-25,1930.5180263793475
1997-08-26,1942.3773710490166
1997-08-27,1962.888968479533
1997-08-28,1920.751431736303
1997-08-29,1849.6621218426233
1997-09-01,1796.773869760399
1997-09-02,1881.4260042572112
1997-09-03,1918.4950235399335
1997-09-04,1942.0255971298684
1997-09-05,1979.446955765174
1997-09-08,1974.6153557124474
1997-09-09,1974.1777478039653
1997-09-10,1934.2581464148132
1997-09-11,1900.3719252020317
1997-09-12,1922.5322972577346
1997-09-15,1887.1920187985374
1997-09-16,1918.8869329306945
1997-09-17,1971.5128394593487
1997-09-18,1995.6381599944434
1997-09-19,2002.6968472552173
1997-09-22,2019.40636537975
1997-09-23,1999.69999605255
1997-09-24,1993.4053567705835
1997-09-25,1986.5328161072919
1997-09-26,2002.4403143851218
1997-09-29,2008.3164379654822
1997-09-30,2025.1774238602884
1997-10-01,2053.2147007831823
1997-10-02,2068.3932041626094
1997-10-03,2077.130468187418
1997-10-06,2081.2054216494344
1997-10-07,2067.1751724862083
1997-10-08,2053.8205352786545
1997-10-09,2067.6049084530187
1997-10-10,2072.5701960155952
1997-10-13,2071.658393642255
1997-10-14,2089.649465035421
1997-10-15,2088.056895485815
1997-10-16,2071.9389530925414
1997-10-17,2050.295124098589
1997-10-20,2078.0260863353965
1997-10-21,2103.802272954931
1997-10-22,2099.1058805786033
1997-10-23,1977.4906422472911
1997-10-24,1922.5269553527548
1997-10-27,1668.505986802164
1997-10-28,1769.7923820074207
1997-10-29,1723.0210607020854
1997-10-30,1607.7190334665383
1997-10-31,1622.5145068925654
1997-11-03,1721.5357325469174
1997-11-04,1759.3121515823057
1997-11-05,1744.4908615421982
1997-11-06,1700.5866385754766
1997-11-07,1615.6322599914058
1997-11-10,1617.520087515579
1997-11-11,1600.13845241051
1997-11-12,1478.408447518323
1997-11-13,1505.2473154753766
1997-11-14,1568.9012954904172
1997-11-17,1611.5120185118774
1997-11-18,1609.6409200707667
1997-11-19,1641.0807671920136
1997-11-20,1632.3483562775389
1997-11-21,1670.8086154325588
1997-11-24,1627.9899182127767
1997-11-25,1633.3009886937143
1997-11-26,1661.769445378312
1997-11-27,1688.9538292429245
1997-11-28,1673.2565190580442
1997-12-01,1702.5242228169463
1997-12-02,1733.44955225577
1997-12-03,1735.5441265370423
1997-12-04,1746.6163961894288
1997-12-05,1743.701551462988
1997-12-08,1748.2258235793893
1997-12-09,1728.2432502154531
1997-12-10,1683.2947270294517
1997-12-11,1638.0619090597604
1997-12-12,1640.6988621398789
1997-12-15,1687.6938130794917
1997-12-16,1712.567044586703
1997-12-17,1727.2464237739187
1997-12-18,1692.8577074613174
1997-12-19,1653.0249281641475
1997-12-22,1676.405421880808
1997-12-23,1676.962530716939
1997-12-24,1680.7076633089923
1997-12-25,1680.7076633089923
1997-12-26,1705.078468190441
1997-12-29,1744.260727042635
1997-12-30,1775.8273752293053
1997-12-31,1777.4461437462862
1998-01-01,1777.4461437462862
1998-01-02,1796.7908668830216
1998-01-05,1803.2780929262888
1998-01-06,1738.8476727908435
1998-01-07,1698.6370594096431
1998-01-08,1646.473651646346
1998-01-09,1561.24725352361
1998-01-12,1571.034143534436
1998-01-13,1594.0656361517074
1998-01-14,1588.5054193839226
1998-01-15,1558.890792898679
1998-01-16,1603.6968470907873
1998-01-19,1641.1213991879795
1998-01-20,1613.378242927808
1998-01-21,1582.1219173710329
1998-01-22,1592.4226332814608
1998-01-23,1565.5543411890044
1998-01-26,1566.7555984935232
1998-01-27,1581.7153235205371
1998-01-28,1582.1912300138952
1998-01-29,1580.4840122071646
1998-01-30,1586.7423618118382
1998-02-02,1626.996532023612
1998-02-03,1638.3184461064602
1998-02-04,1635.4595918495836
1998-02-05,1639.272975964838
1998-02-06,1640.4109264179815
1998-02-09,1653.743977658048
1998-02-10,1664.167833434671
1998-02-11,1679.2685863675206
1998-02-12,1659.0869366064248
