Date,EAFE EQUAL COUNTRY WEIGHTED
1998-12-31,1000.0
1999-01-01,999.9998177071575
1999-01-04,1031.8642879206504
1999-01-05,1042.7849551127467
1999-01-06,1057.6932426611506
1999-01-07,1055.5528218615157
1999-01-08,1050.4348072207997
1999-01-11,1043.3151373152286
1999-01-12,1031.926183276635
1999-01-13,1003.2922148780659
1999-01-14,1007.4476963512042
1999-01-15,1008.3481526650856
1999-01-18,1028.323023852332
1999-01-19,1030.0077575446041
1999-01-20,1036.1887383919468
1999-01-21,1028.4805080699573
1999-01-22,1004.4528263444143
1999-01-25,1000.0588458638811
1999-01-26,1003.9693064973965
1999-01-27,1004.8083547480804
1999-01-28,1004.5559240598611
1999-01-29,1007.5214154594038
1999-02-01,1013.5235043589847
1999-02-02,1012.1459590888327
1999-02-03,1007.3092238374137
1999-02-04,1004.4747452499506
1999-02-05,999.9097083871425
1999-02-08,992.0232615693683
1999-02-09,979.8968623068142
1999-02-10,970.5100801911151
1999-02-11,980.6258911021014
1999-02-12,987.7730555134409
1999-02-15,984.8340569375684
1999-02-16,981.1559875253489
1999-02-17,977.3273031129494
1999-02-18,974.5199998179148
1999-02-19,975.6939361917339
1999-02-22,981.0206843326037
1999-02-23,984.8090349667732
1999-02-24,984.8823559571501
1999-02-25,982.8439888143663
1999-02-26,977.4723922047997
1999-03-01,966.9271573308798
1999-03-02,966.4269739129254
1999-03-03,964.208742737039
1999-03-04,960.6984965447376
1999-03-05,982.4248452891496
1999-03-08,982.3516008772434
1999-03-09,983.6812292781806
1999-03-10,988.9996207317081
1999-03-11,988.4475990748252
1999-03-12,1000.311086740399
1999-03-15,1000.1410903201358
1999-03-16,1000.0172100445335
1999-03-17,1002.0928529256048
1999-03-18,995.744216784609
1999-03-19,1004.789817599173
1999-03-22,1001.7761258287842
1999-03-23,992.148826615065
1999-03-24,982.6235716159913
1999-03-25,995.3070387766764
1999-03-26,984.0660594434722
1999-03-29,988.4972317730513
1999-03-30,993.067551795309
1999-03-31,1004.5013613030686
1999-04-01,1010.8546189144431
1999-04-02,1008.283944278733
1999-04-05,1004.1377639127951
1999-04-06,1019.0642992949272
1999-04-07,1025.0943189122115
1999-04-08,1030.8464836061232
1999-04-09,1035.4920749841344
1999-04-12,1033.203444137822
1999-04-13,1040.1392858892953
1999-04-14,1043.5038898011046
1999-04-15,1032.553251769682
1999-04-16,1039.8764637097665
1999-04-19,1049.6079781026062
1999-04-20,1030.8201318997135
1999-04-21,1034.0326195416787
1999-04-22,1046.6633883296247
1999-04-23,1049.1371298721115
1999-04-26,1050.1157227544056
1999-04-27,1068.0297976299016
1999-04-28,1061.9611482669575
1999-04-29,1058.7211773425186
1999-04-30,1064.2414061666996
1999-05-03,1066.7336529345505
1999-05-04,1071.0341059407135
1999-05-05,1066.0566206710475
1999-05-06,1073.4057763731205
1999-05-07,1064.7513022832525
1999-05-10,1068.137120905093
1999-05-11,1061.6512249025213
1999-05-12,1055.0569514965448
1999-05-13,1054.2232077226977
1999-05-14,1050.5404965694643
1999-05-17,1032.7232730094418
1999-05-18,1039.4200887594604
1999-05-19,1039.4290770255132
1999-05-20,1040.8621168129932
1999-05-21,1037.0285495092537
1999-05-24,1035.2267425540874
1999-05-25,1024.2957639562733
1999-05-26,1014.9997009037094
1999-05-27,1009.2543112213964
1999-05-28,1007.0184494586084
1999-05-31,1006.0877742300462
1999-06-01,1011.1174475356905
1999-06-02,1008.1924413807521
1999-06-03,1013.9242946590031
1999-06-04,1017.0363968208741
1999-06-07,1026.3706602269997
1999-06-08,1039.7881471754963
1999-06-09,1044.233560439172
1999-06-10,1041.989836738357
1999-06-11,1052.1258058580236
1999-06-14,1041.3388761517429
1999-06-15,1039.669753155584
1999-06-16,1038.6250036597173
1999-06-17,1044.4133572727753
1999-06-18,1050.928235460401
1999-06-21,1058.036386473588
1999-06-22,1056.1364675129867
1999-06-23,1048.394100757149
1999-06-24,1045.7784018439716
1999-06-25,1050.5624653170464
1999-06-28,1045.3035286111385
1999-06-29,1047.777070131281
1999-06-30,1043.2029574512899
1999-07-01,1055.9106807233413
1999-07-02,1063.1335682082859
1999-07-05,1078.1060095798932
1999-07-06,1075.7562429718016
1999-07-07,1065.9626071572136
1999-07-08,1061.9233398108095
1999-07-09,1065.1368516458174
1999-07-12,1062.5751705225703
1999-07-13,1054.1173993591772
1999-07-14,1058.4769293596269
1999-07-15,1072.467147489412
1999-07-16,1064.9148846644628
1999-07-19,1063.8706047804508
1999-07-20,1070.3330118195684
1999-07-21,1064.7361550098917
1999-07-22,1054.4563394077677
1999-07-23,1042.8103671094825
1999-07-26,1045.8792218606281
1999-07-27,1047.8074078426212
1999-07-28,1053.0320071643214
1999-07-29,1050.6059551204917
1999-07-30,1061.5993096968205
1999-08-02,1052.2415532275722
1999-08-03,1052.994218393233
1999-08-04,1056.3505060396078
1999-08-05,1041.7819256784799
1999-08-06,1041.8505068812003
1999-08-09,1042.5581863543034
1999-08-10,1031.3042374011263
1999-08-11,1028.4916104666393
