Date,BRIC HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,985.9780521496014
1999-01-05,990.0620592477785
1999-01-06,1013.0560761688323
1999-01-07,975.3688872320608
1999-01-08,981.0219883095077
1999-01-11,940.4079866698462
1999-01-12,894.2269940234605
1999-01-13,779.9240845060027
1999-01-14,738.8232112446561
1999-01-15,862.3664049785594
1999-01-18,804.675163609232
1999-01-19,847.8087879432453
1999-01-20,885.0157865369441
1999-01-21,805.4916491165727
1999-01-22,784.0162125097564
1999-01-25,752.4772093603606
1999-01-26,773.4650646697003
1999-01-27,759.9602973866207
1999-01-28,774.0748789828888
1999-01-29,758.826340767051
1999-02-01,865.5482971411931
1999-02-02,920.0785240575603
1999-02-03,897.3798439683851
1999-02-04,898.7721393086682
1999-02-05,864.7805156557514
1999-02-08,860.6704792845558
1999-02-09,860.4190785455538
1999-02-10,885.2066459831295
1999-02-11,892.7451208799799
1999-02-12,889.1740709223195
1999-02-15,892.4564526531299
1999-02-16,896.4988282681908
1999-02-17,874.5576491332528
1999-02-18,860.3003961064447
1999-02-19,868.9128815877706
1999-02-22,844.6072881621727
1999-02-23,827.8780359144808
1999-02-24,815.0158296009781
1999-02-25,791.3144107500783
1999-02-26,807.9345490035118
1999-03-01,791.4237264700212
1999-03-02,787.474480394634
1999-03-03,806.4429157555237
1999-03-04,859.0671087021383
1999-03-05,899.7542125199598
1999-03-08,897.2341696724293
1999-03-09,910.4024123873594
1999-03-10,922.78122297855
1999-03-11,891.1628455542493
1999-03-12,876.8099063852084
1999-03-15,936.2340784953094
1999-03-16,958.6702007729975
1999-03-17,954.9876838225142
1999-03-18,1003.164021621273
1999-03-19,998.6593441571548
1999-03-22,981.1261558870729
1999-03-23,964.3066796049292
1999-03-24,963.4464548414367
1999-03-25,1024.2267999674516
1999-03-26,1038.065734787649
1999-03-29,1052.71073728803
1999-03-30,1097.1634975989869
1999-03-31,1116.8099565102746
1999-04-01,1115.2002985741387
1999-04-02,1117.7325943076935
1999-04-05,1153.5859720269457
1999-04-06,1182.3634136857202
1999-04-07,1202.5752164719293
1999-04-08,1186.544355516119
1999-04-09,1184.3643605834632
1999-04-12,1184.7305704230796
1999-04-13,1190.5690276246257
1999-04-14,1195.9536079918994
1999-04-15,1231.0764675998405
1999-04-16,1263.7184292465877
1999-04-19,1231.36662472637
1999-04-20,1182.2565010056578
1999-04-21,1187.2765934705362
1999-04-22,1211.1604838163416
1999-04-23,1219.5645982418343
1999-04-26,1182.3292620794568
1999-04-27,1157.782194025798
1999-04-28,1215.0074128970791
1999-04-29,1239.4593995439536
1999-04-30,1278.5901171264684
1999-05-03,1278.2370276768886
1999-05-04,1276.2367112127097
1999-05-05,1329.3485130266363
1999-05-06,1364.9084457733493
1999-05-07,1413.0352698753625
1999-05-10,1434.6636984149266
1999-05-11,1423.5231856214634
1999-05-12,1401.3697547115771
1999-05-13,1445.3811925451553
1999-05-14,1428.3703067629501
1999-05-17,1395.7399193618091
1999-05-18,1411.8401041561026
1999-05-19,1408.2703146110416
1999-05-20,1395.623650182385
1999-05-21,1342.2676300822122
1999-05-24,1271.858260829764
1999-05-25,1205.129915463607
1999-05-26,1297.7078489479477
1999-05-27,1255.8896109170346
1999-05-28,1245.0590891395614
1999-05-31,1283.378131529264
1999-06-01,1269.0545556324344
1999-06-02,1282.9631162499218
1999-06-03,1291.000974682574
1999-06-04,1327.8127144656905
1999-06-07,1320.1749719715585
1999-06-08,1296.3760133431829
1999-06-09,1292.0927247689647
1999-06-10,1303.539858986665
1999-06-11,1320.6171666001924
1999-06-14,1319.2864132779273
1999-06-15,1329.2570802367306
1999-06-16,1391.8006857076514
1999-06-17,1411.3406162282051
1999-06-18,1401.680575452255
1999-06-21,1420.611022860659
1999-06-22,1414.722905491421
1999-06-23,1389.637352794333
1999-06-24,1351.2010851328505
1999-06-25,1318.38426858628
1999-06-28,1349.650400311105
1999-06-29,1371.1625095711968
1999-06-30,1409.1169072585005
1999-07-01,1410.2938510545807
1999-07-02,1435.1548297370389
1999-07-05,1441.5801567703186
1999-07-06,1429.786820405853
1999-07-07,1444.5554416010227
1999-07-08,1418.1724828555073
1999-07-09,1425.3887708416203
1999-07-12,1407.071727480674
1999-07-13,1411.2843168777983
1999-07-14,1424.715406273955
1999-07-15,1422.150822773962
1999-07-16,1433.0036353088703
1999-07-19,1451.4818357518143
1999-07-20,1381.5481101642483
1999-07-21,1386.879847495379
1999-07-22,1380.918278009114
1999-07-23,1354.8159784410686
1999-07-26,1283.6855635175477
1999-07-27,1284.1946493897963
1999-07-28,1293.8029086793256
1999-07-29,1266.1964949183705
1999-07-30,1253.1013918816068
1999-08-02,1229.7269725920637
1999-08-03,1222.7499882430936
1999-08-04,1208.0726819086638
1999-08-05,1186.8435572561316
1999-08-06,1189.636775400783
