Date,EM FAR EAST HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1012.5236698419836
1999-01-05,1004.4046516328882
1999-01-06,1040.7178630767069
1999-01-07,1088.0036102405877
1999-01-08,1083.3353718242224
1999-01-11,1066.8370784418757
1999-01-12,1047.167837736129
1999-01-13,1007.3078480981236
1999-01-14,979.6454616159543
1999-01-15,1022.2757604070335
1999-01-18,1026.1208955532138
1999-01-19,1025.0454505095413
1999-01-20,1024.4492729019642
1999-01-21,1009.8975624968879
1999-01-22,979.5952925642531
1999-01-25,947.8603466118701
1999-01-26,962.1557161974571
1999-01-27,983.2031725519055
1999-01-28,986.0032164596448
1999-01-29,988.9074605305547
1999-02-01,982.5324247349557
1999-02-02,968.385329891609
1999-02-03,963.0734335687667
1999-02-04,937.2496489496747
1999-02-05,924.4626963420903
1999-02-08,950.5287876173953
1999-02-09,931.7408158294086
1999-02-10,941.3311112209572
1999-02-11,946.4200838384232
1999-02-12,961.4675175670774
1999-02-15,965.0265603393118
1999-02-16,969.2889049098123
1999-02-17,962.6454425431367
1999-02-18,958.2990692851596
1999-02-19,958.532792351657
1999-02-22,1009.8745913115048
1999-02-23,1027.4525307777642
1999-02-24,1035.234417701199
1999-02-25,1022.2619596208799
1999-02-26,1043.6501238213261
1999-03-01,1040.9884259205821
1999-03-02,1043.0124990904026
1999-03-03,1067.4079933817168
1999-03-04,1066.3195614692754
1999-03-05,1063.1193261072726
1999-03-08,1077.9516162108118
1999-03-09,1082.9027344888555
1999-03-10,1070.329516944206
1999-03-11,1080.1099058031018
1999-03-12,1075.8508304029644
1999-03-15,1085.2268158313086
1999-03-16,1106.9518238874507
1999-03-17,1107.3974831837243
1999-03-18,1102.6017272583804
1999-03-19,1137.0462643622097
1999-03-22,1141.7366397900118
1999-03-23,1135.4256568430874
1999-03-24,1119.4627801999538
1999-03-25,1130.2930260707149
1999-03-26,1148.598798157584
1999-03-29,1135.124508966141
1999-03-30,1139.7056260728964
1999-03-31,1140.6633562020156
1999-04-01,1163.224486316156
1999-04-02,1212.9528108218103
1999-04-05,1210.5086519935887
1999-04-06,1210.3159905061298
1999-04-07,1210.6135091274098
1999-04-08,1218.6929208444694
1999-04-09,1230.0376446233988
1999-04-12,1213.1026687009937
1999-04-13,1223.162342961472
1999-04-14,1227.7682515246447
1999-04-15,1273.655194933891
1999-04-16,1307.317460591654
1999-04-19,1361.1956847337756
1999-04-20,1367.6463745155806
1999-04-21,1341.9036189048484
1999-04-22,1343.2806404539251
1999-04-23,1356.031179635822
1999-04-26,1370.659967938779
1999-04-27,1365.7706063125063
1999-04-28,1372.5549832582
1999-04-29,1349.390552768329
1999-04-30,1362.10841686294
1999-05-03,1381.199855018261
1999-05-04,1415.2147878283324
1999-05-05,1394.0068359734425
1999-05-06,1403.2375062034528
1999-05-07,1398.6824547911665
1999-05-10,1420.1238758659733
1999-05-11,1411.0186406063717
1999-05-12,1400.6626153951688
1999-05-13,1387.944579811842
1999-05-14,1402.203623057282
1999-05-17,1384.7209286487223
1999-05-18,1398.4789355097955
1999-05-19,1408.627305428152
1999-05-20,1376.300068987712
1999-05-21,1386.446000700994
1999-05-24,1376.6542701102892
1999-05-25,1361.459356017254
1999-05-26,1374.7265896614556
1999-05-27,1377.8062310368987
1999-05-28,1356.188113173269
1999-05-31,1351.9388124737984
1999-06-01,1375.6441429100978
1999-06-02,1407.2244823740866
1999-06-03,1428.455803634516
1999-06-04,1468.5111622015727
1999-06-07,1521.8005365399847
1999-06-08,1523.868996135153
1999-06-09,1481.6725735688478
1999-06-10,1541.566009991573
1999-06-11,1551.051051260845
1999-06-14,1540.030876453816
1999-06-15,1521.329533974452
1999-06-16,1564.882468950349
1999-06-17,1593.0236472621111
1999-06-18,1599.955439454493
1999-06-21,1670.7942332567561
1999-06-22,1693.0238033036621
1999-06-23,1697.4205419054797
1999-06-24,1673.5574776229876
1999-06-25,1622.113712938068
1999-06-28,1695.7484656169875
1999-06-29,1706.4906521475923
1999-06-30,1673.8443068771128
1999-07-01,1717.6971969919225
1999-07-02,1720.4974205439432
1999-07-05,1738.9602648071498
1999-07-06,1729.9801446212043
1999-07-07,1735.2617668696737
1999-07-08,1725.0666892704737
1999-07-09,1754.6964005770365
1999-07-12,1733.2763350870307
1999-07-13,1690.1773212899718
1999-07-14,1649.2146017308712
1999-07-15,1655.168988165426
1999-07-16,1643.0337661552196
1999-07-19,1631.5205843257338
1999-07-20,1589.8055574277319
1999-07-21,1526.278352353004
1999-07-22,1518.0159177831872
1999-07-23,1465.6190998683305
1999-07-26,1404.9615636955798
1999-07-27,1434.4031408974533
1999-07-28,1453.86796362558
1999-07-29,1458.3022013823095
1999-07-30,1432.5824291368915
1999-08-02,1418.8795573208636
1999-08-03,1442.0643673368565
1999-08-04,1416.1265211692928
