Date,EM EMEA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1009.6428565308734
1999-01-05,1028.2294926567392
1999-01-06,1082.8764918117881
1999-01-07,1065.7868134299047
1999-01-08,1096.3312692472134
1999-01-11,1083.240241062277
1999-01-12,1083.4141319565658
1999-01-13,1009.2899408606119
1999-01-14,1015.9854045836371
1999-01-15,1030.9834735964969
1999-01-18,1053.0956246889716
1999-01-19,1039.5596520691695
1999-01-20,1044.018941695523
1999-01-21,1031.4159303149618
1999-01-22,1023.316558340448
1999-01-25,1011.5672124517469
1999-01-26,1010.7371478125038
1999-01-27,1033.217771654681
1999-01-28,1035.825868343997
1999-01-29,1046.1947470211699
1999-02-01,1062.01495174686
1999-02-02,1055.9427957226305
1999-02-03,1052.3454535722942
1999-02-04,1071.4517954202777
1999-02-05,1094.3220799359685
1999-02-08,1119.8525437219223
1999-02-09,1092.3681607806461
1999-02-10,1075.200640236274
1999-02-11,1085.3745107007433
1999-02-12,1095.7135274263358
1999-02-15,1099.1499630784144
1999-02-16,1111.8068932722595
1999-02-17,1104.2287926197587
1999-02-18,1110.0761466580147
1999-02-19,1117.3449997529926
1999-02-22,1132.191755936298
1999-02-23,1144.4284431008807
1999-02-24,1160.166337092237
1999-02-25,1161.5263448236794
1999-02-26,1160.7382019362221
1999-03-01,1169.421593017045
1999-03-02,1162.5179926760036
1999-03-03,1183.724373568735
1999-03-04,1200.0248388909708
1999-03-05,1216.961635115498
1999-03-08,1229.1581031227347
1999-03-09,1240.7182573842017
1999-03-10,1233.310068109639
1999-03-11,1275.7351376637555
1999-03-12,1269.9367267906223
1999-03-15,1254.7670149504338
1999-03-16,1257.7719157825074
1999-03-17,1262.2246766624044
1999-03-18,1260.134683875676
1999-03-19,1296.2500834022092
1999-03-22,1300.586852296003
1999-03-23,1287.741315869422
1999-03-24,1265.3004604094572
1999-03-25,1287.3178877510954
1999-03-26,1292.6309418638684
1999-03-29,1300.1808866223892
1999-03-30,1303.3699723302843
1999-03-31,1297.0844992695825
1999-04-01,1295.1731691962282
1999-04-02,1297.9449918819637
1999-04-05,1312.0743092784662
1999-04-06,1310.222966966404
1999-04-07,1307.81700053592
1999-04-08,1296.8997221834666
1999-04-09,1318.2795556299077
1999-04-12,1302.0630026141469
1999-04-13,1328.193898612571
1999-04-14,1355.4936282715607
1999-04-15,1396.2516378051507
1999-04-16,1441.3872913695702
1999-04-19,1488.0600232415181
1999-04-20,1484.4797131849316
1999-04-21,1452.2794391187272
1999-04-22,1451.01048764359
1999-04-23,1454.9336520638979
1999-04-26,1471.4887936261646
1999-04-27,1459.9622698612036
1999-04-28,1493.001318979281
1999-04-29,1503.5941188392371
1999-04-30,1515.3690990034472
1999-05-03,1529.8127576982906
1999-05-04,1522.0051564258195
1999-05-05,1489.2308592880756
1999-05-06,1496.1715745114955
1999-05-07,1485.809666831245
1999-05-10,1477.4615480003602
1999-05-11,1496.0476864398363
1999-05-12,1464.637463691296
1999-05-13,1470.69497351936
1999-05-14,1471.2154653712646
1999-05-17,1477.2237727908823
1999-05-18,1483.7185032436573
1999-05-19,1479.9023652118547
1999-05-20,1480.1501447858745
1999-05-21,1488.6798299341804
1999-05-24,1461.5415783461378
1999-05-25,1429.6165230824429
1999-05-26,1433.7357513565632
1999-05-27,1427.365477742605
1999-05-28,1426.6604800973553
1999-05-31,1434.4025860551558
1999-06-01,1459.894842267173
1999-06-02,1466.0342618353734
1999-06-03,1495.6648250601384
1999-06-04,1522.698023752318
1999-06-07,1556.1073265421971
1999-06-08,1537.8236977034153
1999-06-09,1546.130090535994
1999-06-10,1545.6735340610328
1999-06-11,1568.6361704902145
1999-06-14,1583.6797329272272
1999-06-15,1578.2057052457876
1999-06-16,1592.7779506045072
1999-06-17,1609.117947667962
1999-06-18,1618.8406089533096
1999-06-21,1646.1708834325661
1999-06-22,1646.771552031506
1999-06-23,1625.022919640376
1999-06-24,1608.8034055942665
1999-06-25,1584.434865928051
1999-06-28,1610.1760317819724
1999-06-29,1611.2224022298994
1999-06-30,1628.3213486209402
1999-07-01,1676.4228303950401
1999-07-02,1690.441263813788
1999-07-05,1719.1292943205183
1999-07-06,1688.9342719670494
1999-07-07,1683.006065780333
1999-07-08,1697.9048060589996
1999-07-09,1694.495896773307
1999-07-12,1729.1119024253887
1999-07-13,1696.327643029442
1999-07-14,1701.5144590391596
1999-07-15,1694.5696866607864
1999-07-16,1688.0367696899941
1999-07-19,1712.1337640540494
1999-07-20,1671.5216778923852
1999-07-21,1654.982130520408
1999-07-22,1661.0078276677439
1999-07-23,1663.7631346162595
1999-07-26,1603.53563000542
1999-07-27,1612.683054021382
1999-07-28,1606.4548517581977
1999-07-29,1572.46151895334
1999-07-30,1579.9218556774188
1999-08-02,1568.1264743901525
1999-08-03,1581.0980812998957
