Date,EM LATAM ex BR HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,998.2126986033105
1999-01-05,994.2383018304166
1999-01-06,1003.910428016018
1999-01-07,1000.6137710870531
1999-01-08,1003.3406256765576
1999-01-11,987.5696894062653
1999-01-12,948.1339744055931
1999-01-13,878.4516340041654
1999-01-14,867.0984794203044
1999-01-15,936.9644132234162
1999-01-18,932.4259086667649
1999-01-19,925.6862047916421
1999-01-20,943.6961957405687
1999-01-21,919.982650687805
1999-01-22,912.5262377088225
1999-01-25,918.4316802200226
1999-01-26,918.9833513283795
1999-01-27,934.0651739024371
1999-01-28,941.8680900677706
1999-01-29,960.3630655959048
1999-02-01,995.034021856695
1999-02-02,983.5587491735332
1999-02-03,980.7336644944387
1999-02-04,988.5743065051607
1999-02-05,987.8755956249654
1999-02-08,992.3555533776895
1999-02-09,987.2464927343098
1999-02-10,995.7493622568248
1999-02-11,1018.500785995733
1999-02-12,1014.0636253312973
1999-02-15,1018.9720168622101
1999-02-16,1027.8647391357554
1999-02-17,1003.4286919046011
1999-02-18,1006.7648925977193
1999-02-19,1030.0520030995378
1999-02-22,1042.1940496933994
1999-02-23,1041.543960705324
1999-02-24,1044.043988096331
1999-02-25,1021.8105085037946
1999-02-26,1034.721862742797
1999-03-01,1033.695709711869
1999-03-02,1026.4875219003259
1999-03-03,1020.9569239317653
1999-03-04,1046.8196630779241
1999-03-05,1059.751878641511
1999-03-08,1069.7352560540648
1999-03-09,1083.9779019811845
1999-03-10,1099.556944730208
1999-03-11,1127.268076535896
1999-03-12,1111.1719644880948
1999-03-15,1124.939832083273
1999-03-16,1128.9726915020121
1999-03-17,1115.8276309350945
1999-03-18,1124.489416611853
1999-03-19,1122.9408164678064
1999-03-22,1111.3891530531596
1999-03-23,1096.7235131909779
1999-03-24,1100.5800530576032
1999-03-25,1119.960140434953
1999-03-26,1132.6104891319405
1999-03-29,1153.0519687974597
1999-03-30,1170.4029262753797
1999-03-31,1177.8629383037367
1999-04-01,1176.2215190262311
1999-04-02,1179.4911654822706
1999-04-05,1221.3076676512246
1999-04-06,1226.5080127509716
1999-04-07,1217.6157482361673
1999-04-08,1214.535838765173
1999-04-09,1220.7064853761049
1999-04-12,1224.397579259052
1999-04-13,1226.5121963991244
1999-04-14,1236.9193704029854
1999-04-15,1298.531171567883
1999-04-16,1379.3905936196597
1999-04-19,1420.5620830416476
1999-04-20,1405.9431976415813
1999-04-21,1415.6909809138576
1999-04-22,1437.1753649398477
1999-04-23,1443.3068553401251
1999-04-26,1436.1274003361018
1999-04-27,1420.35381156124
1999-04-28,1434.8667163198857
1999-04-29,1449.1834746808238
1999-04-30,1482.1283265094687
1999-05-03,1498.156915929661
1999-05-04,1494.9256300712414
1999-05-05,1496.579657627265
1999-05-06,1511.6898447830326
1999-05-07,1520.4786909510779
1999-05-10,1539.6961837703307
1999-05-11,1533.2600882951406
1999-05-12,1514.5549687568478
1999-05-13,1548.4866376301875
1999-05-14,1524.7539908808658
1999-05-17,1518.4002932239073
1999-05-18,1521.735453852295
1999-05-19,1479.5425768253704
1999-05-20,1484.0482303448098
1999-05-21,1455.3415022606505
1999-05-24,1426.4713516993397
1999-05-25,1388.3432316545068
1999-05-26,1426.2800430424954
1999-05-27,1402.6259475613201
1999-05-28,1401.5738532624725
1999-05-31,1405.6344931892795
1999-06-01,1400.4791839080815
1999-06-02,1416.3968391706924
1999-06-03,1435.4166953445817
1999-06-04,1452.4221693323516
1999-06-07,1458.233756913917
1999-06-08,1445.2015697613397
1999-06-09,1434.0348758998987
1999-06-10,1419.8014982780405
1999-06-11,1395.9103510485488
1999-06-14,1395.6525075335169
1999-06-15,1405.6163480316768
1999-06-16,1451.019705546748
1999-06-17,1469.5402989094491
1999-06-18,1458.8006731403975
1999-06-21,1476.3012898558545
1999-06-22,1492.3911815652377
1999-06-23,1482.3732642964344
1999-06-24,1466.439945758507
1999-06-25,1432.1230155008877
1999-06-28,1458.7468460708972
1999-06-29,1461.1990853868087
1999-06-30,1463.5879797064615
1999-07-01,1487.5129947877367
1999-07-02,1497.5830281812023
1999-07-05,1503.2662658633017
1999-07-06,1494.7130919242163
1999-07-07,1490.9516243237308
1999-07-08,1472.9802084525202
1999-07-09,1471.5462245766032
1999-07-12,1430.2448557513112
1999-07-13,1445.5612241114488
1999-07-14,1455.4206736528213
1999-07-15,1464.8235089088996
1999-07-16,1488.9275045566205
1999-07-19,1500.2680135241608
1999-07-20,1439.8695528770493
1999-07-21,1428.4359400931392
1999-07-22,1404.780971257785
1999-07-23,1380.0982289101935
1999-07-26,1323.7353744281918
1999-07-27,1325.279685831908
1999-07-28,1344.9277019505098
1999-07-29,1315.3856418109604
1999-07-30,1310.3244538455344
1999-08-02,1288.6878007315781
1999-08-03,1277.5097533395824
