Date,EM LATIN AMERICA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,986.745141643223
1999-01-05,988.9828948909422
1999-01-06,1011.0939258550314
1999-01-07,976.4477491808196
1999-01-08,980.6251508293643
1999-01-11,943.454896466034
1999-01-12,896.7950646525732
1999-01-13,796.530762407821
1999-01-14,761.6165356285819
1999-01-15,874.1740248790634
1999-01-18,824.9049277004127
1999-01-19,862.2168852996298
1999-01-20,893.337146380223
1999-01-21,823.9430756087393
1999-01-22,807.9900328533491
1999-01-25,783.8672813549383
1999-01-26,799.7624686823456
1999-01-27,789.4490134299805
1999-01-28,803.6731366812384
1999-01-29,792.4759749088506
1999-02-01,888.4273518555848
1999-02-02,933.8422575291444
1999-02-03,913.0555189202181
1999-02-04,915.120119531702
1999-02-05,887.4345195397935
1999-02-08,886.1931836598058
1999-02-09,885.6779770563551
1999-02-10,907.3797942752981
1999-02-11,914.5317345464916
1999-02-12,911.6736370556008
1999-02-15,916.0337266008552
1999-02-16,920.418382428076
1999-02-17,897.4718574203495
1999-02-18,886.3591601075361
1999-02-19,898.2178852970139
1999-02-22,879.4270801772852
1999-02-23,866.2543199408273
1999-02-24,855.6399899347814
1999-02-25,831.5024757823053
1999-02-26,846.5010576046255
1999-03-01,831.8358952286609
1999-03-02,827.8424712663956
1999-03-03,839.6351754727931
1999-03-04,886.2374147351259
1999-03-05,920.1800955057253
1999-03-08,918.784833781901
1999-03-09,934.8338923365611
1999-03-10,947.6778524228631
1999-03-11,927.4599975503502
1999-03-12,913.8869884520794
1999-03-15,961.5913594008045
1999-03-16,982.0163323647798
1999-03-17,975.5403366304754
1999-03-18,1015.9641645215802
1999-03-19,1012.184161688534
1999-03-22,991.6212868640015
1999-03-23,973.217473439342
1999-03-24,975.8839532723223
1999-03-25,1028.5108340665702
1999-03-26,1044.1085573246553
1999-03-29,1057.8529717212896
1999-03-30,1095.8620999719922
1999-03-31,1113.363516509593
1999-04-01,1112.7454140092116
1999-04-02,1115.2213215505208
1999-04-05,1152.3830323987004
1999-04-06,1175.1360042698038
1999-04-07,1188.9297049230192
1999-04-08,1174.2847603166706
1999-04-09,1175.275192728973
1999-04-12,1176.0852376891255
1999-04-13,1181.6486117070895
1999-04-14,1187.5007054622513
1999-04-15,1228.0205990302081
1999-04-16,1268.3231025697992
1999-04-19,1249.4863187706387
1999-04-20,1206.391296050775
1999-04-21,1214.6548723405906
1999-04-22,1239.443135232245
1999-04-23,1253.9935400837069
1999-04-26,1226.4638397547076
1999-04-27,1204.2263337860884
1999-04-28,1251.6193008790267
1999-04-29,1274.2375679557001
1999-04-30,1310.9860404072315
1999-05-03,1312.9644803039255
1999-05-04,1313.245105680015
1999-05-05,1356.146084411101
1999-05-06,1380.675138056068
1999-05-07,1422.2752606299655
1999-05-10,1446.8983765385694
1999-05-11,1434.8575559330243
1999-05-12,1419.4205594874716
1999-05-13,1459.4373515863278
1999-05-14,1435.7974432873816
1999-05-17,1406.3347595116109
1999-05-18,1413.4474192261148
1999-05-19,1398.565007292894
1999-05-20,1385.2190707123943
1999-05-21,1339.5705678777792
1999-05-24,1277.4578525407164
1999-05-25,1211.6227943447016
1999-05-26,1295.6525184103307
1999-05-27,1265.2410260755112
1999-05-28,1252.4601713801535
1999-05-31,1280.718922673563
1999-06-01,1263.8576719046307
1999-06-02,1276.6969728640383
1999-06-03,1289.6263929064303
1999-06-04,1308.189528579001
1999-06-07,1305.5732665276973
1999-06-08,1294.573529425353
1999-06-09,1288.2792069518187
1999-06-10,1284.7609420830959
1999-06-11,1286.4809788786968
1999-06-14,1289.7430191304677
1999-06-15,1299.9338851255084
1999-06-16,1342.2215056436312
1999-06-17,1354.1239321695725
1999-06-18,1349.5712515669384
1999-06-21,1355.7346202626004
1999-06-22,1358.2388345575175
1999-06-23,1341.5677119052564
1999-06-24,1315.8317984735818
1999-06-25,1283.2228281518867
1999-06-28,1305.989542185826
1999-06-29,1310.5200148817792
1999-06-30,1326.0124464384091
1999-07-01,1342.74776202661
1999-07-02,1355.668832439326
1999-07-05,1353.1394976662089
1999-07-06,1339.8141857512312
1999-07-07,1350.3419206531494
1999-07-08,1324.96410070487
1999-07-09,1324.5943400524206
1999-07-12,1286.6528828134244
1999-07-13,1293.8057261352196
1999-07-14,1306.7565889125829
1999-07-15,1319.2302670830816
1999-07-16,1339.11900128369
1999-07-19,1354.3043662704858
1999-07-20,1290.7819383866192
1999-07-21,1290.489686903015
1999-07-22,1281.2759068281746
1999-07-23,1265.0357398473727
1999-07-26,1211.1556737241503
1999-07-27,1210.6872848744881
1999-07-28,1224.8121743248723
1999-07-29,1206.6602047520246
1999-07-30,1199.613015390614
1999-08-02,1178.1489729960435
1999-08-03,1163.6113411588567
1999-08-04,1148.4427769376957
1999-08-05,1132.9456194825311
