Date,EM ASIA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1015.1896286058512
1999-01-05,1008.0366687792614
1999-01-06,1028.8421285691422
1999-01-07,1068.629732825056
1999-01-08,1090.861908800522
1999-01-11,1101.4973610634518
1999-01-12,1077.1136760897848
1999-01-13,1038.6885803698074
1999-01-14,1010.1760804230038
1999-01-15,1030.5511743210593
1999-01-18,1042.8203628607826
1999-01-19,1027.3691298458973
1999-01-20,1028.0236250913458
1999-01-21,1027.1831958005807
1999-01-22,1006.4580720901546
1999-01-25,985.4847142316027
1999-01-26,991.3970732154756
1999-01-27,1012.7754483078074
1999-01-28,1011.1727847378419
1999-01-29,1010.9298902576671
1999-02-01,1002.1780093783547
1999-02-02,986.3965099107355
1999-02-03,987.9281297952343
1999-02-04,965.7427218275253
1999-02-05,952.6803946642164
1999-02-08,966.6396274661931
1999-02-09,954.7633915904585
1999-02-10,963.816895636253
1999-02-11,968.7167657147314
1999-02-12,981.8075947731169
1999-02-15,983.905186474747
1999-02-16,994.3770426996532
1999-02-17,990.6737572446561
1999-02-18,994.2199209010746
1999-02-19,1001.0655456058031
1999-02-22,1020.1072129469294
1999-02-23,1040.1464147854695
1999-02-24,1046.3439681160146
1999-02-25,1037.4569334896591
1999-02-26,1055.2925623587173
1999-03-01,1070.463749222344
1999-03-02,1075.7208367192138
1999-03-03,1098.3184860179401
1999-03-04,1101.7103335117238
1999-03-05,1110.9590223660716
1999-03-08,1137.1389018778664
1999-03-09,1151.1745338690114
1999-03-10,1135.678310559449
1999-03-11,1136.9779964535512
1999-03-12,1131.3431730000918
1999-03-15,1143.3179643504736
1999-03-16,1151.0175413638158
1999-03-17,1141.052545035868
1999-03-18,1135.5759866409328
1999-03-19,1164.0627944261712
1999-03-22,1171.5020792170983
1999-03-23,1169.6517756783462
1999-03-24,1153.386588792451
1999-03-25,1160.5827469090993
1999-03-26,1162.526201992091
1999-03-29,1152.1892873737677
1999-03-30,1162.379450184334
1999-03-31,1173.0048859462397
1999-04-01,1185.4445982222749
1999-04-02,1220.489370820294
1999-04-05,1197.9709754554567
1999-04-06,1197.8276864673308
1999-04-07,1195.360684492513
1999-04-08,1191.9220206186037
1999-04-09,1184.7706040432458
1999-04-12,1163.4408744199202
1999-04-13,1168.1847298525759
1999-04-14,1168.5704519425435
1999-04-15,1194.2235084309866
1999-04-16,1222.0870370628434
1999-04-19,1252.5581294443584
1999-04-20,1260.9806228336636
1999-04-21,1242.7611310834802
1999-04-22,1229.7535230524873
1999-04-23,1237.1595768575003
1999-04-26,1233.813021883327
1999-04-27,1235.143615753933
1999-04-28,1248.3898496687768
1999-04-29,1239.7397781992486
1999-04-30,1249.5214105873547
1999-05-03,1268.4731952219624
1999-05-04,1309.6678266418762
1999-05-05,1308.0527555030258
1999-05-06,1324.6392811460942
1999-05-07,1329.200184981172
1999-05-10,1353.809428476812
1999-05-11,1368.0178219012685
1999-05-12,1347.0997175571242
1999-05-13,1367.3389964463984
1999-05-14,1396.4260719407719
1999-05-17,1391.7858618531466
1999-05-18,1420.495676521485
1999-05-19,1446.0347447195313
1999-05-20,1414.844781123694
1999-05-21,1402.2022184545401
1999-05-24,1394.0490043771624
1999-05-25,1386.0973921623915
1999-05-26,1380.7615258349058
1999-05-27,1366.265146972545
1999-05-28,1335.7863451252567
1999-05-31,1366.877489322245
1999-06-01,1364.5737444256945
1999-06-02,1395.5112900510528
1999-06-03,1419.5951950062679
1999-06-04,1443.9256902612601
1999-06-07,1481.063170236732
1999-06-08,1486.04113290197
1999-06-09,1465.0346623484186
1999-06-10,1495.8652699595232
1999-06-11,1496.7293212857048
1999-06-14,1495.5508273028015
1999-06-15,1465.7744086200141
1999-06-16,1508.0745576053794
1999-06-17,1545.5027283898503
1999-06-18,1535.218876278575
1999-06-21,1592.5459396651127
1999-06-22,1609.327899524457
1999-06-23,1589.1857327403718
1999-06-24,1582.5624533182609
1999-06-25,1537.7869374178047
1999-06-28,1559.3811923393844
1999-06-29,1576.642655539619
1999-06-30,1569.5172210418207
1999-07-01,1591.5425261294288
1999-07-02,1619.8642195646385
1999-07-05,1653.7510587934355
1999-07-06,1651.6329207256813
1999-07-07,1654.4607196612692
1999-07-08,1661.5765907154387
1999-07-09,1676.6847120262119
1999-07-12,1719.7582036696292
1999-07-13,1693.294594664529
1999-07-14,1669.5156931776296
1999-07-15,1659.9713704695482
1999-07-16,1647.583067466759
1999-07-19,1648.43440765735
1999-07-20,1605.5754706559096
1999-07-21,1569.0077238391018
1999-07-22,1575.0859775947338
1999-07-23,1538.3758311131874
1999-07-26,1464.8332902741115
1999-07-27,1470.313711760558
1999-07-28,1484.7313502487973
1999-07-29,1486.777454586997
1999-07-30,1476.920405676747
1999-08-02,1451.6705060948323
1999-08-03,1462.816577810262
