Date,EM (EMERGING MARKETS)HIGH DIVIDEND YIELD
2000-12-29,1551.280976044531
2001-01-01,1554.4134549046241
2001-01-02,1545.1913045876174
2001-01-03,1553.2370375015205
2001-01-04,1599.2845929485259
2001-01-05,1588.6828151049526
2001-01-08,1594.1376793737836
2001-01-09,1622.9245966742915
2001-01-10,1612.117158813346
2001-01-11,1608.0685712506277
2001-01-12,1615.237884165519
2001-01-15,1630.072711846825
2001-01-16,1634.433108812757
2001-01-17,1661.5502910390749
2001-01-18,1658.1129070952684
2001-01-19,1683.8149842760092
2001-01-22,1680.4686149195804
2001-01-23,1682.247049761768
2001-01-24,1712.844945388029
2001-01-25,1722.58470093022
2001-01-26,1716.0622823460094
2001-01-29,1722.1986891440322
2001-01-30,1723.5900262487119
2001-01-31,1741.354578275364
2001-02-01,1725.787283251576
2001-02-02,1735.6409788637197
2001-02-05,1708.6102308108075
2001-02-06,1732.0297236323615
2001-02-07,1703.2282664042796
2001-02-08,1734.4291475207299
2001-02-09,1735.3286331464076
2001-02-12,1729.2223590486492
2001-02-13,1746.2247085873553
2001-02-14,1747.0908669920968
2001-02-15,1784.96128241078
2001-02-16,1746.9977902028722
2001-02-19,1727.9974869542236
2001-02-20,1761.7916288848041
2001-02-21,1724.5509473032635
2001-02-22,1711.9492863309845
2001-02-23,1699.2546801960818
2001-02-26,1718.3573117798776
2001-02-27,1704.7330763069447
2001-02-28,1691.8154636577005
2001-03-01,1677.8338824114446
2001-03-02,1666.2717855063504
2001-03-05,1683.1126021909984
2001-03-06,1680.2386244652832
2001-03-07,1682.626619349851
2001-03-08,1690.7119193929009
2001-03-09,1676.1955114028624
2001-03-12,1635.7167616059153
2001-03-13,1632.0315543954691
2001-03-14,1615.7936989421742
2001-03-15,1622.6710176985168
2001-03-16,1621.8659791756843
2001-03-19,1608.163066582935
2001-03-20,1616.4160580516068
2001-03-21,1622.603399707199
2001-03-22,1607.461252520451
2001-03-23,1600.2653064332774
2001-03-26,1627.057998962542
2001-03-27,1617.3955468782767
2001-03-28,1623.3676565771784
2001-03-29,1615.29714570795
2001-03-30,1604.2229649704564
2001-04-02,1585.4337080560024
2001-04-03,1548.5382233958594
2001-04-04,1520.0972024536734
2001-04-05,1555.200928237996
2001-04-06,1550.4807876912469
2001-04-09,1549.0980529982203
2001-04-10,1586.6394667426941
2001-04-11,1612.1575623410492
2001-04-12,1604.9753432448365
2001-04-13,1605.9483382582105
2001-04-16,1613.6616987476136
2001-04-17,1613.4763990456565
2001-04-18,1663.782392758218
2001-04-19,1641.77503882959
2001-04-20,1597.8243053848148
2001-04-23,1603.0799726527366
2001-04-24,1613.2848035755846
2001-04-25,1613.8704118879139
2001-04-26,1627.5536958322698
2001-04-27,1664.8650123440002
2001-04-30,1696.221753960904
2001-05-01,1685.6603848552786
2001-05-02,1678.4245022150387
2001-05-03,1671.7916645373418
2001-05-04,1678.7299335826435
2001-05-07,1690.520975619277
2001-05-08,1694.4121261654695
2001-05-09,1704.3871532144337
2001-05-10,1715.653874117572
2001-05-11,1723.6651554047844
2001-05-14,1711.1284932168157
2001-05-15,1703.697501463374
2001-05-16,1713.7778377229415
2001-05-17,1752.3907113377581
2001-05-18,1773.166348951441
2001-05-21,1788.6216753660447
2001-05-22,1808.506887336604
2001-05-23,1822.6711341654086
2001-05-24,1829.8387566274462
2001-05-25,1829.3776351511838
2001-05-28,1825.9640722932497
2001-05-29,1835.5284279484672
2001-05-30,1819.6653545172949
2001-05-31,1842.1524768174531
2001-06-01,1836.4257115167663
2001-06-04,1843.5694632699701
2001-06-05,1843.7443932322728
2001-06-06,1841.324160236149
2001-06-07,1831.1189872130162
2001-06-08,1842.8372887916619
2001-06-11,1853.5120480121427
2001-06-12,1828.207295413551
2001-06-13,1818.6764696433845
2001-06-14,1790.4334196056532
2001-06-15,1772.5421334758148
2001-06-18,1751.702175574458
2001-06-19,1770.0596684817517
2001-06-20,1776.2131396928337
2001-06-21,1791.7559854983429
2001-06-22,1794.3813228570282
2001-06-25,1784.7867931855117
2001-06-26,1778.3442616928235
2001-06-27,1775.8287110176288
2001-06-28,1793.740546647187
2001-06-29,1810.2664227244077
2001-07-02,1811.923599886262
2001-07-03,1791.8738491426623
2001-07-04,1767.8583254865
2001-07-05,1773.4472199078812
2001-07-06,1736.5563405344444
2001-07-09,1728.4859581605197
2001-07-10,1707.18228931839
2001-07-11,1675.0693260047383
2001-07-12,1696.1181603326079
2001-07-13,1692.2143527801204
2001-07-16,1666.722437697046
2001-07-17,1667.9564332439177
2001-07-18,1620.3586218597882
2001-07-19,1620.225294428446
2001-07-20,1621.9838266666095
2001-07-23,1637.3969168077801
2001-07-24,1609.8259220335071
2001-07-25,1591.8247753311812
2001-07-26,1607.0926559089146
2001-07-27,1620.2330714402883
2001-07-30,1623.5145137678917
2001-07-31,1622.268193714711
2001-08-01,1615.5865959514313
2001-08-02,1625.5682417348187
2001-08-03,1619.368427650374
2001-08-06,1623.0817044006367
2001-08-07,1621.1033598634679
2001-08-08,1619.5025303313894
2001-08-09,1589.1763637113295
2001-08-10,1585.6716518371757
2001-08-13,1584.3429226089531
2001-08-14,1595.1191079396478
2001-08-15,1577.4698224387437
2001-08-16,1582.20262267521
2001-08-17,1554.183281940185
2001-08-20,1550.3934130565037
2001-08-21,1550.6546067832892
2001-08-22,1555.4674144423873
2001-08-23,1567.5487701330148
2001-08-24,1573.6505148036754
2001-08-27,1594.7781626559624
2001-08-28,1594.5171985441307
2001-08-29,1603.565068255971
2001-08-30,1599.723052068381
2001-08-31,1596.4517500427944
2001-09-03,1580.474697207871
2001-09-04,1614.7977746078964
2001-09-05,1622.2188173005661
2001-09-06,1601.6068251369263
2001-09-07,1573.4963746269593
2001-09-10,1565.1744243767082
2001-09-11,1497.3488618929123
2001-09-12,1469.087078168904
2001-09-13,1440.1522261619866
2001-09-14,1393.5780026463372
2001-09-17,1384.6635034082456
2001-09-18,1385.7940078774775
2001-09-19,1382.5425428021806
2001-09-20,1343.7303799733797
2001-09-21,1324.9421154147867
2001-09-24,1335.7668937660476
2001-09-25,1339.6586173106787
2001-09-26,1342.3496547165705
2001-09-27,1349.868703552984
2001-09-28,1386.7747660153036
2001-10-01,1369.4517355146015
2001-10-02,1358.4080419533307
2001-10-03,1346.0706066020578
2001-10-04,1386.0864145066516
2001-10-05,1379.9615946783583
2001-10-08,1372.8192041423843
2001-10-09,1386.2093376630041
2001-10-10,1403.5317566998704
2001-10-11,1443.8264721625562
2001-10-12,1429.1574765925445
2001-10-15,1434.4663582874143
2001-10-16,1434.377681987529
2001-10-17,1448.7979016747513
2001-10-18,1438.02514174033
2001-10-19,1445.3274872076436
2001-10-22,1467.0776353466244
2001-10-23,1478.485411645058
2001-10-24,1480.606678621545
2001-10-25,1473.5808992939335
2001-10-26,1487.130413674168
2001-10-29,1462.738031638561
2001-10-30,1432.974036439968
2001-10-31,1458.383078315789
2001-11-01,1448.5973739134433
2001-11-02,1460.6851921545529
2001-11-05,1501.3843851482668
2001-11-06,1496.6469129721581
2001-11-07,1489.4223753541717
2001-11-08,1514.7196851256604
2001-11-09,1515.6606575354401
2001-11-12,1508.4087598022877
2001-11-13,1548.932733292601
2001-11-14,1559.8067010868979
2001-11-15,1581.0949194389568
2001-11-16,1563.7815771992791
2001-11-19,1594.8555526494779
2001-11-20,1583.9000920017577
2001-11-21,1601.254210303485
2001-11-22,1601.461636147668
2001-11-23,1617.2508918262483
2001-11-26,1638.2825850889242
2001-11-27,1619.9651940178055
2001-11-28,1583.0819311172825
2001-11-29,1568.2857915380343
2001-11-30,1559.0842899459076
2001-12-03,1597.555570313833
2001-12-04,1600.1490807698576
2001-12-05,1628.7738290448174
2001-12-06,1646.9805394569821
2001-12-07,1648.5887426545407
2001-12-10,1666.8252727832232
2001-12-11,1640.8332637776803
2001-12-12,1628.7090257988855
2001-12-13,1600.4693417220635
2001-12-14,1593.5347248184682
2001-12-17,1606.4129361668724
2001-12-18,1600.3298700576208
2001-12-19,1595.5646456261163
2001-12-20,1583.3462441667289
2001-12-21,1607.1848272214768
2001-12-24,1636.7691076960657
2001-12-25,1645.0060405322095
