Date,RUSSIA VALUE WEIGHTED
1995-11-30,1000.0
1995-12-29,1115.2012771738027
1996-01-31,1138.1895030313797
1996-02-29,1021.1180447954504
1996-03-29,1067.7683381257991
1996-04-30,1489.5999135473648
1996-05-31,2037.5645137179415
1996-06-28,2898.0118016312417
1996-07-31,2151.9084372973166
1996-08-30,2655.767721148144
1996-09-30,2368.649507032921
1996-10-31,2548.5453143138657
1996-11-29,2638.405081982554
1996-12-31,2733.6161544819493
1997-01-01,2733.6161544819493
1997-01-02,2734.131330938668
1997-01-03,2735.419272080465
1997-01-06,3016.340875951531
1997-01-07,3020.4622876052817
1997-01-08,3237.430294968239
1997-01-09,3306.1784811281427
1997-01-10,3544.2941499460494
1997-01-13,3472.2806413928265
1997-01-14,3396.945728270801
1997-01-15,3443.1570070258413
1997-01-16,3429.9543797141678
1997-01-17,3563.990300771263
1997-01-20,3725.0754881868124
1997-01-21,3834.1121873304583
1997-01-22,3902.547051436825
1997-01-23,4050.567714937543
1997-01-24,4072.623805713443
1997-01-27,3877.8935764267967
1997-01-28,3946.251249372355
1997-01-29,3936.9145354018624
1997-01-30,3945.891639934634
1997-01-31,3988.0182612220638
1997-02-03,4002.862420908513
1997-02-04,4031.928900541516
1997-02-05,4063.398296132269
1997-02-06,4145.687685376831
1997-02-07,4232.023388688496
1997-02-10,4383.216466056648
1997-02-11,4441.684918511629
1997-02-12,4382.638320189465
1997-02-13,4394.132033563816
1997-02-14,4497.838320782136
1997-02-17,4590.629896564814
1997-02-18,4765.2382874924315
1997-02-19,4986.281485681482
1997-02-20,4821.75170848138
1997-02-21,4662.773813929097
1997-02-24,4657.929615400804
1997-02-25,4635.498942564098
1997-02-26,4667.09109686318
1997-02-27,4685.460424030119
1997-02-28,4670.146612941765
1997-03-03,4543.96781650781
1997-03-04,4478.744362808989
1997-03-05,4366.819257997215
1997-03-06,4468.016095154107
1997-03-07,4498.309132116319
1997-03-10,4501.104342446844
1997-03-11,4658.201058928705
1997-03-12,4720.643063842486
1997-03-13,4729.270989100515
1997-03-14,4618.806810063332
1997-03-17,4637.222432187945
1997-03-18,4634.581246190936
1997-03-19,4463.267040619465
1997-03-20,4386.973070057291
