Date,EMU REGION ESG SELECTION P-SERIES
2018-05-31,1000.0
2018-06-01,1010.6471107179325
2018-06-04,1018.0188305234943
2018-06-05,1015.2190590644096
2018-06-06,1026.2660002265748
2018-06-07,1028.9698850838877
2018-06-08,1021.0453665971129
2018-06-11,1034.7154348217332
2018-06-12,1033.0308053046626
2018-06-13,1036.384991623228
2018-06-14,1035.0991768318186
2018-06-15,1025.7359986944284
2018-06-18,1016.250679666666
2018-06-19,1003.4029770123981
2018-06-20,1006.3212742100819
2018-06-21,1000.2683986543054
2018-06-22,1010.1711621361833
2018-06-25,993.8649454641254
2018-06-26,991.8416504891086
2018-06-27,992.9623667404583
2018-06-28,980.5898830238829
2018-06-29,998.5158400913159
2018-07-02,983.8845773811413
2018-07-03,996.3739414936612
2018-07-04,994.8742726329583
2018-07-05,1007.3047301116495
2018-07-06,1015.7767540282242
2018-07-09,1021.1851446646131
2018-07-10,1021.597023182834
2018-07-11,1009.3536698993564
2018-07-12,1014.218561508151
2018-07-13,1015.752016336058
2018-07-16,1019.0313756782131
2018-07-17,1021.0686277309046
2018-07-18,1024.6817854097408
2018-07-19,1015.1665051400204
2018-07-20,1018.7697428303102
2018-07-23,1014.8091819361049
2018-07-24,1023.2477272705991
2018-07-25,1015.8825544382818
2018-07-26,1025.1655006707008
2018-07-27,1029.626248398213
2018-07-30,1031.6361484755926
2018-07-31,1031.3887857919915
2018-08-01,1025.1997964491186
2018-08-02,1012.9946808544504
2018-08-03,1016.0922286204286
2018-08-06,1012.136621244108
2018-08-07,1016.363555271109
2018-08-08,1015.9508887514206
2018-08-09,1013.9786606113767
2018-08-10,984.9312967205806
2018-08-13,982.575026251544
2018-08-14,979.1431012608825
2018-08-15,961.9472247615532
2018-08-16,975.6443872669522
2018-08-17,974.4786017094833
2018-08-20,982.6064435419232
2018-08-21,993.7419946189034
2018-08-22,1001.3517153419716
2018-08-23,999.134175542682
2018-08-24,1005.4778870406623
2018-08-27,1017.7212790590165
2018-08-28,1021.7537287392092
2018-08-29,1022.6959343549481
2018-08-30,1013.7860516906488
2018-08-31,1002.634407161727
2018-09-03,1002.2231856002728
2018-09-04,987.4036282774092
2018-09-05,980.994611082296
2018-09-06,974.7957431139458
2018-09-07,970.3268602305129
2018-09-10,977.1243991576066
2018-09-11,975.4028089080265
2018-09-12,983.1773044692234
2018-09-13,987.7382573219991
2018-09-14,990.1667755409002
2018-09-17,991.0878263496427
2018-09-18,994.941846526954
2018-09-19,995.8486825208404
2018-09-20,1008.961654629125
2018-09-21,1015.6505480563144
2018-09-24,1012.6540319377266
2018-09-25,1017.3275338470503
2018-09-26,1016.2929352330935
2018-09-27,1013.2134231053135
2018-09-28,994.8716221475477
2018-10-01,998.2363725203268
2018-10-02,988.421946516569
2018-10-03,989.5283333281157
2018-10-04,979.5612715006009
2018-10-05,970.545071921481
2018-10-08,955.6765771550229
2018-10-09,958.0853069391652
2018-10-10,942.2579814019615
2018-10-11,927.8261260338372
2018-10-12,926.6520217764877
2018-10-15,930.9654668844441
2018-10-16,946.808139333791
2018-10-17,937.352577109174
2018-10-18,923.6703386418105
2018-10-19,920.3928158337019
2018-10-22,912.9738007772733
2018-10-23,898.2851717376001
2018-10-24,888.3219797422358
2018-10-25,900.1141506375544
2018-10-26,891.8671226538776
2018-10-29,899.8352049240764
2018-10-30,898.646655971359
2018-10-31,908.2616152792513
2018-11-01,917.6225212328377
2018-11-02,921.5462599651866
2018-11-05,918.9573395604383
2018-11-06,917.9491067300037
2018-11-07,934.7338331994868
2018-11-08,929.5190648562094
2018-11-09,921.9738341711422
2018-11-12,902.5076418729728
2018-11-13,915.018359264998
2018-11-14,913.7424099474102
2018-11-15,908.6316578994622
