Date,EUROPE REGION ESG SELECTION P-SERIES
2018-05-31,1000.0
2018-06-01,1010.1870721260747
2018-06-04,1016.1329523087812
2018-06-05,1011.6393768994492
2018-06-06,1021.6660347117738
2018-06-07,1023.577463667726
2018-06-08,1016.2389152334331
2018-06-11,1029.403141743319
2018-06-12,1027.9710559377452
2018-06-13,1029.8475494722165
2018-06-14,1029.3133944441668
2018-06-15,1016.8563179685203
2018-06-18,1008.2175141449587
2018-06-19,996.1254391794199
2018-06-20,1000.2901351526626
2018-06-21,994.8521581707801
2018-06-22,1005.5840217159127
2018-06-25,990.6621797122256
2018-06-26,988.4845384463356
2018-06-27,988.6757906084299
2018-06-28,977.6933171950654
2018-06-29,995.7812781806191
2018-07-02,981.0658162386977
2018-07-03,993.0210923715539
2018-07-04,992.2346691412301
2018-07-05,1002.017123810279
2018-07-06,1009.5502792339058
2018-07-09,1015.9651203562031
2018-07-10,1017.1879087552445
2018-07-11,1005.7917070681129
2018-07-12,1010.1432496343103
2018-07-13,1010.8058719611336
2018-07-16,1013.3847669639413
2018-07-17,1014.9412828211473
2018-07-18,1016.7783196881488
2018-07-19,1009.4242029769188
2018-07-20,1014.7793125841923
2018-07-23,1011.7188972323358
2018-07-24,1020.7071548678174
2018-07-25,1015.0566463750455
2018-07-26,1023.287282713451
2018-07-27,1026.8603662739495
2018-07-30,1029.112213192791
2018-07-31,1028.0049393995077
2018-08-01,1022.3080344301882
2018-08-02,1009.357904128936
2018-08-03,1013.2365764713188
2018-08-06,1009.3419315972793
2018-08-07,1014.5630448402792
2018-08-08,1012.4496549684037
2018-08-09,1011.421198507109
2018-08-10,986.6169392667256
2018-08-13,984.3129400772843
2018-08-14,981.4366975757152
2018-08-15,964.1604536965673
2018-08-16,977.134786083665
2018-08-17,977.2222077665458
2018-08-20,984.6603405683312
2018-08-21,995.1454845091723
2018-08-22,1002.9928779180807
2018-08-23,1000.2162758543903
2018-08-24,1005.204251595196
2018-08-27,1015.7911797257615
2018-08-28,1019.75188463425
2018-08-29,1020.8605217218382
2018-08-30,1014.2914676104933
2018-08-31,1004.7798421853732
2018-09-03,1004.7123664791401
2018-09-04,991.8742027875134
2018-09-05,986.9997093250746
2018-09-06,982.1736190952461
2018-09-07,978.732459287853
2018-09-10,986.2652323294876
2018-09-11,983.9884780014162
2018-09-12,990.6443248888121
2018-09-13,994.3137608875139
2018-09-14,997.1667151295304
2018-09-17,1000.7262744545556
2018-09-18,1001.9138893531452
2018-09-19,1002.7833498844518
2018-09-20,1016.5002783919755
2018-09-21,1021.5015776361419
2018-09-24,1018.5683793054021
2018-09-25,1023.5562780533254
2018-09-26,1023.6288854836532
2018-09-27,1021.5904591790921
2018-09-28,1005.8238225040707
2018-10-01,1006.6190211807464
2018-10-02,996.8950586448707
2018-10-03,998.8390278744929
2018-10-04,985.1676197081057
2018-10-05,977.1558868605129
2018-10-08,962.7869588667621
2018-10-09,963.9093562767478
2018-10-10,949.8751629739585
2018-10-11,935.7135295432342
2018-10-12,935.2876494842934
2018-10-15,938.183448717169
2018-10-16,953.0703254971521
2018-10-17,943.9533877889453
2018-10-18,933.3465140958926
2018-10-19,929.3829456109257
2018-10-22,922.7905276876846
2018-10-23,908.4593707475566
2018-10-24,900.513434800353
2018-10-25,906.6979819852531
2018-10-26,897.2425373766062
2018-10-29,907.4820694047179
2018-10-30,905.7852393819381
2018-10-31,917.5542544958113
2018-11-01,928.5203130727939
2018-11-02,932.462347329491
2018-11-05,928.9879506172285
2018-11-06,927.8006937802414
2018-11-07,942.1324629185361
2018-11-08,939.7296598110547
2018-11-09,931.7323570272259
2018-11-12,914.1251803838406
2018-11-13,924.6484546239841
2018-11-14,923.3349573601857
2018-11-15,913.8221398021919
2018-11-16,918.456555470141
2018-11-19,915.1961460096106
2018-11-20,899.4889549135809
2018-11-21,908.9541659116176
2018-11-22,904.130021735044
2018-11-23,905.8488681578955
2018-11-26,917.4553647150464
2018-11-27,912.5402870041338
2018-11-28,911.0326800761769
2018-11-29,922.0598640932793
2018-11-30,914.9707228507058
2018-12-03,926.3509196929369
2018-12-04,917.9910040206635
2018-12-05,907.2884419590118
2018-12-06,881.9398601339303
2018-12-07,885.6602907178004
2018-12-10,869.0848549054514
2018-12-11,875.176710635823
2018-12-12,892.5856350594446
2018-12-13,889.3564942393517
2018-12-14,880.5211970421494
2018-12-17,872.3480215574605
2018-12-18,869.2709745552521
2018-12-19,877.1241252548544
2018-12-20,863.4463406711873
2018-12-21,861.6193165446786
2018-12-24,857.8131206238992
2018-12-25,857.8131206238991
2018-12-26,856.6120061492886
2018-12-27,845.3589480089616
2018-12-28,862.7068604929742
2018-12-31,866.7324444826398
