Date,EM WITH BRAZIL ADR
2003-05-30,1000.0
2003-06-02,1018.9412749839428
2003-06-03,1014.4903501046009
2003-06-04,1020.0281113417478
2003-06-05,1014.6757357358437
2003-06-06,1032.3493306884586
2003-06-09,1032.0789647870827
2003-06-10,1036.6958617948528
2003-06-11,1031.843172404219
2003-06-12,1045.468597904839
2003-06-13,1044.1907942648636
2003-06-16,1043.4677576698093
2003-06-17,1068.2006028236085
2003-06-18,1074.272612466515
2003-06-19,1081.121256279689
2003-06-20,1085.4471911030762
2003-06-23,1079.1679179998832
2003-06-24,1072.0581438753154
2003-06-25,1077.8076187543675
2003-06-26,1089.7012643580956
2003-06-27,1095.0827665870083
2003-06-30,1087.273984717572
2003-07-01,1088.5583367934496
2003-07-02,1111.8745383711287
2003-07-03,1118.8114352421412
2003-07-04,1126.6650092976415
2003-07-07,1158.2992115907664
2003-07-08,1169.1707606444606
2003-07-09,1159.5383372396013
2003-07-10,1148.3173143268143
2003-07-11,1152.2501946686493
2003-07-14,1177.9477354682117
2003-07-15,1176.2437124166634
2003-07-16,1174.097220456297
2003-07-17,1161.669015409112
2003-07-18,1152.0456390386828
2003-07-21,1137.9482175653254
2003-07-22,1139.1755805935322
2003-07-23,1127.7333197073228
2003-07-24,1136.4079848810388
2003-07-25,1140.1597086871848
2003-07-28,1159.7424880951028
2003-07-29,1154.9602427820398
2003-07-30,1160.5685078096565
2003-07-31,1178.9518672388149
2003-08-01,1185.0288337521554
2003-08-04,1175.2915822285825
2003-08-05,1166.395552372497
2003-08-06,1153.1174132439457
2003-08-07,1156.537167088218
2003-08-08,1162.7951447697783
2003-08-11,1172.019722615652
2003-08-12,1177.0665401856972
2003-08-13,1194.1174852409704
2003-08-14,1208.2661015775668
2003-08-15,1212.9079189718636
2003-08-18,1231.025349998714
2003-08-19,1244.9552275770272
2003-08-20,1241.8382077408785
2003-08-21,1277.2727795651165
2003-08-22,1294.92400905827
2003-08-25,1285.6761117659582
2003-08-26,1278.7174780214389
2003-08-27,1281.273208141393
2003-08-28,1280.9533709547336
2003-08-29,1286.0618509405065
2003-09-01,1299.3372026413901
2003-09-02,1311.2865416118432
2003-09-03,1324.3007871089817
