Date,EMERGING MARKETS WITH PARTIAL A SHARES
2008-11-27,1060.1858567709687
2008-11-28,1077.7521435025797
2008-12-30,1039.54520959154
2008-12-31,1060.153094594877
2009-01-29,1059.6862591412541
2009-01-30,1076.2968845288162
2009-02-26,1034.5325651289766
2009-02-27,1025.240389821413
2009-03-30,1114.1559060886502
2009-03-31,1121.5176676183835
2009-04-29,1274.2259956707987
2009-04-30,1309.9671119025004
2009-05-28,1435.564567974562
2009-05-29,1435.0843987474223
2009-06-29,1433.3422346409802
2009-06-30,1430.1406227551984
2009-07-30,1567.3938651433957
2009-07-31,1574.5088036262373
2009-08-28,1567.4691143523605
2009-08-31,1547.4518843331377
2009-09-29,1663.7297190572187
2009-09-30,1657.067265746625
2009-10-29,1649.6586999253343
2009-10-30,1644.4016951743915
2009-11-27,1667.8967031437462
2009-11-30,1685.7616353013855
2009-12-30,1823.0869609820254
2009-12-31,1833.5193459312761
2010-01-28,1790.994330352841
2010-01-29,1786.7169334118485
2010-02-25,1817.8938668275546
2010-02-26,1826.8663080953513
2010-03-30,2005.3113992362983
2010-03-31,1991.0592418654091
2010-04-29,2045.6084631702304
2010-04-30,2050.266993338016
2010-05-28,1995.279134359769
2010-05-31,2025.7427842929765
2010-06-29,2040.158198868448
2010-06-30,2014.2828924166863
2010-07-29,2048.0385555260996
2010-07-30,2052.1035175778643
2010-08-30,2071.265694658
2010-08-31,2062.7020400230645
2010-09-29,2130.736678877541
2010-09-30,2132.9661376211625
2010-10-28,2151.1690482968033
2010-10-29,2157.047387307686
2010-11-29,2240.48060114474
2010-11-30,2242.6763953476816
2010-12-30,2342.3715915375733
2010-12-31,2330.50686616782
2011-01-28,2246.5099099085987
2011-01-31,2218.713975953318
2011-02-25,2175.6423940646914
2011-02-28,2182.01558417589
2011-03-30,2241.435713015207
2011-03-31,2247.8327169721506
2011-04-28,2212.186242266731
2011-04-29,2216.8238840753907
2011-05-30,2206.532925515169
2011-05-31,2228.1875597462395
2011-06-29,2165.32095511745
2011-06-30,2175.798417045849
2011-07-28,2210.744661149441
2011-07-29,2185.5456848925023
2011-08-30,1944.75178722352
2011-08-31,1986.8517766370476
2011-09-29,1819.3666841470013
2011-09-30,1821.8799955496008
2011-10-28,1980.3326199409444
2011-10-31,1983.8093184885595
2011-11-29,1898.076830861044
2011-11-30,1918.7332894139306
2011-12-29,1970.9852902501896
2011-12-30,1965.6334557354098
2012-01-30,2137.2047999841316
2012-01-31,2169.390356814903
2012-02-28,2220.1952486527216
2012-02-29,2249.9398929213653
2012-03-29,2172.259552152639
2012-03-30,2184.3873407357123
2012-04-27,2153.90219466802
2012-04-30,2172.2554186962357
2012-05-30,2063.6657937298137
2012-05-31,2065.4779339803295
2012-06-28,2063.9285005085007
2012-06-29,2089.266169588238
2012-07-30,2198.772953508203
2012-07-31,2194.181889161467
2012-08-30,2147.64767188526
2012-08-31,2136.020670911032
2012-09-27,2209.892347331874
2012-09-28,2219.0492270001523
2012-10-30,2181.561528552512
2012-10-31,2189.9148197918075
2012-11-29,2206.539665216726
2012-11-30,2208.980639798335
2012-12-28,2280.98664834915
2012-12-31,2287.7372991966545
2013-01-30,2252.7911196381406
2013-01-31,2253.669732326664
2013-02-27,2285.8206455156933
2013-02-28,2310.574076144753
2013-03-28,2306.034482450727
2013-03-29,2311.078127352142
2013-04-29,2255.2124085234427
2013-04-30,2267.905013899662
2013-05-30,2249.3085209613246
2013-05-31,2250.1124468379044
2013-06-27,2051.446559252998
2013-06-28,2099.0054723109265
2013-07-30,2093.83911485722
2013-07-31,2076.373704970871
2013-08-29,2031.6131965629224
2013-08-30,2056.6338941879367
2013-09-27,2158.459766317395
2013-09-30,2132.9796395517183
2013-10-30,2215.272365691209
2013-10-31,2226.1875107319756
2013-11-28,2181.0540604003822
2013-11-29,2191.955288265592
2013-12-30,2127.3094195491676
2013-12-31,2134.7288515089963
2014-01-30,2028.3989872051966
2014-01-31,2040.5007370986475
2014-02-27,2069.7727166344926
2014-02-28,2057.120324983352
2014-03-28,2106.5964712744412
2014-03-31,2122.9918119994227
2014-04-29,2133.572971816562
2014-04-30,2116.6021506296424
2014-05-29,2253.796310721822
2014-05-30,2225.439582041118
2014-06-27,2275.245361614022
2014-06-30,2277.1983966842363
2014-07-30,2405.676081029122
2014-07-31,2377.249600392132
2014-08-28,2466.043065958779
2014-08-29,2468.9981927943927
2014-09-29,2385.2544337240806
2014-09-30,2385.812717631251
2014-10-30,2396.08458507217
2014-10-31,2434.3673077950248
2014-11-27,2438.5005516038964
2014-11-28,2423.054323770851
2014-12-30,2369.685262163395
2014-12-31,2387.319364790994
2015-01-29,2592.4825203635196
2015-01-30,2574.166166114291
2015-02-26,2679.616987458707
2015-02-27,2669.5935764315464
2015-03-30,2717.4887617379286
2015-03-31,2756.096115073787
2015-04-29,2900.188175744001
2015-04-30,2855.1905861223004
2015-05-28,2832.2976530245473
2015-05-29,2806.143514261632
2015-06-29,2644.071765802431
2015-06-30,2684.51360265113
2015-07-30,2522.526275916871
2015-07-31,2515.0370666138047
2015-08-28,2253.6752609653017
2015-08-31,2252.541030014667
2015-09-29,2139.45940548632
2015-09-30,2193.491231507414
2015-10-29,2390.4468058350094
2015-10-30,2376.6315551595158
2015-11-27,2416.929273058267
2015-11-30,2390.1361092744773
2015-12-30,2255.718354060084
2015-12-31,2272.7198380309587
2016-01-28,2041.454322856211
2016-01-29,2121.1355507433495
2016-02-26,2096.544418512211
2016-02-29,2108.7235934490304
2016-03-30,2276.2802434554324
2016-03-31,2275.7857901398042
2016-04-28,2313.0569854136947
2016-04-29,2275.934570085995
2016-05-30,2256.656865491382
2016-05-31,2258.2950898743125
2016-06-29,2318.25152875709
2016-06-30,2351.573908186189
2016-07-28,2480.5531688769884
2016-07-29,2452.6651789958933
2016-08-30,2537.5619725465376
2016-08-31,2526.4322787291553
2016-09-29,2564.62465386185
2016-09-30,2535.1449276884277
2016-10-28,2608.2181583823776
2016-10-31,2604.617656699132
2018-03-30,3091.107640249851
2018-04-11,3084.9272158588906
2018-04-12,3104.624334546341
2018-04-13,3084.730719390798
2018-04-16,3056.4038717175604
2018-04-17,3064.04963250763
2018-04-18,3086.4672688713736
2018-04-19,3111.001225962403
2018-04-20,3090.775124926331
2018-04-23,3078.8166152447675
2018-04-24,3071.6303907750143
2018-04-25,3045.5659400843138
2018-04-26,3070.3513565176922
2018-04-27,3104.9174167820665
2018-04-30,3132.1913571305345
2018-05-01,3151.316141554408
2018-05-02,3131.0051996674665
2018-05-03,3096.046398191921
2018-05-04,3097.4599412569028
2018-05-07,3111.6664066341677
2018-05-08,3136.806783611069
2018-05-09,3139.6300154584364
2018-05-10,3167.851185855305
2018-05-11,3171.8538110136365
2018-05-14,3178.1015645550538
2018-05-15,3157.2658390560223
2018-05-16,3190.692164656276
2018-05-17,3159.8704339124083
2018-05-18,3149.793694773213
2018-05-21,3151.980158974413
2018-05-22,3161.043288685487
2018-05-23,3155.0817237586016
2018-05-24,3155.62883111187
2018-05-25,3179.9637976840095
2018-05-28,3190.5037362437697
2018-05-29,3175.8827745458043
2018-05-30,3125.1242366309443
2018-05-31,3131.432194874107
