Date,EM (EMERGING MARKETS) ex CHINA
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1013.6175775043131
1999-01-05,1025.0862713656434
1999-01-06,1054.367098022721
1999-01-07,1069.572220208983
1999-01-08,1074.080703560579
1999-01-11,1061.666287132694
1999-01-12,1035.5013463177784
1999-01-13,967.1471335226577
1999-01-14,952.3616452758016
1999-01-15,996.2710318300251
1999-01-18,1006.1192186508939
1999-01-19,1006.630539773928
1999-01-20,1027.8030677974368
1999-01-21,1005.5786036312967
1999-01-22,984.7788045500448
1999-01-25,973.1397906233561
1999-01-26,985.3304453128349
1999-01-27,1006.389341165177
1999-01-28,1016.5645325345772
1999-01-29,1021.5179559245055
1999-02-01,1045.7349606701898
1999-02-02,1042.5710838904463
1999-02-03,1039.3501447314509
1999-02-04,1036.312035380668
1999-02-05,1030.872952454486
1999-02-08,1037.385662896105
1999-02-09,1018.9555018539623
1999-02-10,1023.6668315832081
1999-02-11,1039.311643136969
1999-02-12,1051.541740814587
1999-02-15,1053.9729946778334
1999-02-16,1062.247283049263
1999-02-17,1052.3218706132818
1999-02-18,1047.5501390293073
1999-02-19,1053.7485390054094
1999-02-22,1063.335309851228
1999-02-23,1055.0527565300922
1999-02-24,1063.6485960563339
1999-02-25,1054.109654294434
1999-02-26,1066.5692099440967
1999-03-01,1075.749709071874
1999-03-02,1073.0453717563066
1999-03-03,1085.0361292511664
1999-03-04,1096.0050565769088
1999-03-05,1108.0376710404848
1999-03-08,1130.436301882586
1999-03-09,1144.2210215693392
1999-03-10,1146.6417924652926
1999-03-11,1163.51298891267
1999-03-12,1158.4941228253747
1999-03-15,1177.1275497804863
1999-03-16,1189.8564882435642
1999-03-17,1182.244232894219
1999-03-18,1187.982537903963
1999-03-19,1208.0697321073253
1999-03-22,1206.9039830054296
1999-03-23,1195.504494905787
1999-03-24,1183.4324805924314
1999-03-25,1205.1750311995918
1999-03-26,1215.924349552861
1999-03-29,1218.5499995964713
1999-03-30,1229.843783851817
1999-03-31,1227.323361761789
1999-04-01,1226.9160143253264
1999-04-02,1242.809812753471
1999-04-05,1253.1209736449803
1999-04-06,1260.6566948368584
1999-04-07,1270.617851678127
1999-04-08,1273.5334140101656
1999-04-09,1279.7800237569202
1999-04-12,1275.2957514221255
1999-04-13,1287.444797995974
1999-04-14,1295.9343375016476
1999-04-15,1323.7536141290443
1999-04-16,1356.844143102764
1999-04-19,1387.4318049368396
1999-04-20,1372.78788390366
1999-04-21,1359.967205618998
1999-04-22,1367.5347552987243
1999-04-23,1371.1828576682085
1999-04-26,1373.9349217882066
1999-04-27,1373.662208695603
1999-04-28,1388.821501252245
1999-04-29,1386.9994636867089
1999-04-30,1406.4310305930333
1999-05-03,1424.089886074149
1999-05-04,1439.3827418866476
1999-05-05,1439.1158564100433
1999-05-06,1462.3475899509037
1999-05-07,1468.2858448613258
1999-05-10,1478.2335967122744
1999-05-11,1479.6292515482935
1999-05-12,1461.7491093005744
1999-05-13,1471.5172612461813
1999-05-14,1462.9545802763373
1999-05-17,1449.5737340394396
1999-05-18,1467.5585271769303
1999-05-19,1456.494636667626
1999-05-20,1451.4184656998661
1999-05-21,1445.9486948463273
1999-05-24,1422.174447323179
1999-05-25,1395.2344831921682
1999-05-26,1424.856856404303
1999-05-27,1411.8936771541419
1999-05-28,1404.6190365188238
1999-05-31,1418.472032582811
1999-06-01,1424.7491684619717
1999-06-02,1443.4459560052749
1999-06-03,1454.8543065908568
1999-06-04,1480.6040114337334
1999-06-07,1509.213580394365
1999-06-08,1502.7763865650352
1999-06-09,1489.4668069272225
1999-06-10,1499.6328172779633
1999-06-11,1493.2799813505364
1999-06-14,1489.2191831909947
1999-06-15,1490.7430112493532
1999-06-16,1540.7785514232794
1999-06-17,1561.816256664955
1999-06-18,1563.8988676343427
1999-06-21,1604.503836284225
1999-06-22,1614.7191075625435
1999-06-23,1592.4052453155427
1999-06-24,1574.3174224203826
1999-06-25,1541.0980722280003
1999-06-28,1569.8210141377242
1999-06-29,1583.0476762498254
1999-06-30,1594.059898479719
1999-07-01,1628.5268300048062
1999-07-02,1650.2875541358833
1999-07-05,1675.6885662523428
1999-07-06,1670.7156911874429
1999-07-07,1670.219877699976
1999-07-08,1663.1075153622683
1999-07-09,1668.592156542586
1999-07-12,1663.1136631599422
1999-07-13,1643.2251508310017
1999-07-14,1630.812349927379
1999-07-15,1639.6955424021999
1999-07-16,1643.5868950627155
1999-07-19,1660.3129922511655
1999-07-20,1611.0785220336281
1999-07-21,1587.5948600323463
1999-07-22,1581.4908248583658
1999-07-23,1547.2479224677033
1999-07-26,1490.0895413281557
1999-07-27,1500.5421987802893
1999-07-28,1518.9568287282875
1999-07-29,1503.8811687811979
1999-07-30,1494.3329219387074
1999-08-02,1474.4310960281707
1999-08-03,1485.219054014417
