Date,EM LATIN AMERICA ex BRAZIL
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,992.1542383267526
1999-01-05,987.8631446333778
1999-01-06,994.4139757122016
1999-01-07,985.1005271207183
1999-01-08,985.9328975695901
1999-01-11,963.2949235370361
1999-01-12,921.5022854153539
1999-01-13,841.1743675406724
1999-01-14,834.0413448213282
1999-01-15,917.7473706741733
1999-01-18,920.3594443888912
1999-01-19,915.5973591945739
1999-01-20,950.5098884743218
1999-01-21,928.809288939138
1999-01-22,924.5699302823805
1999-01-25,938.1042285427403
1999-01-26,944.8282070281186
1999-01-27,963.1810346341874
1999-01-28,987.8466191479894
1999-01-29,998.4862150309111
1999-02-01,1025.2869093962656
1999-02-02,1018.4867900357744
1999-02-03,1023.0870422550747
1999-02-04,1024.7406115020915
1999-02-05,1025.9419677363644
1999-02-08,1030.1143700624125
1999-02-09,1017.2662397451261
1999-02-10,1023.5882956031846
1999-02-11,1053.2438635846715
1999-02-12,1052.3556827307889
1999-02-15,1056.8078769109652
1999-02-16,1069.9417869291135
1999-02-17,1050.817410142202
1999-02-18,1058.8312374085383
1999-02-19,1089.747632710217
1999-02-22,1101.2709606052156
1999-02-23,1098.5640565812869
1999-02-24,1103.2237642465193
1999-02-25,1088.235145293571
1999-02-26,1095.7318065959983
1999-03-01,1094.3688975850619
1999-03-02,1086.719669918395
1999-03-03,1087.3325875882304
1999-03-04,1121.6960644836993
1999-03-05,1134.301385536689
1999-03-08,1155.4863238954924
1999-03-09,1170.7957335957858
1999-03-10,1193.2275075695388
1999-03-11,1213.8783546034379
1999-03-12,1202.371636791895
1999-03-15,1216.8195427148605
1999-03-16,1236.501596849581
1999-03-17,1220.3400430949184
1999-03-18,1228.293402881338
1999-03-19,1225.6509181727945
1999-03-22,1216.1410391851568
1999-03-23,1202.5962973241697
1999-03-24,1222.523067607784
1999-03-25,1240.9360564631857
1999-03-26,1245.779551440111
1999-03-29,1268.0333675613306
1999-03-30,1271.8657590689345
1999-03-31,1279.8064923291463
1999-04-01,1278.333733422832
1999-04-02,1282.8369148412646
1999-04-05,1326.237121967803
1999-04-06,1327.5890560970076
1999-04-07,1325.0858866519786
1999-04-08,1327.8302322203679
1999-04-09,1336.0328519891148
1999-04-12,1340.0029793065135
1999-04-13,1347.708865137842
1999-04-14,1347.7753984533365
1999-04-15,1398.968450975146
1999-04-16,1436.788699111707
1999-04-19,1467.1746287549
1999-04-20,1446.1867394145522
1999-04-21,1441.6315562805232
1999-04-22,1465.7966627036997
1999-04-23,1456.96025831416
1999-04-26,1448.4897784686127
1999-04-27,1434.2483461941422
1999-04-28,1460.6086879571599
1999-04-29,1477.5368836892314
1999-04-30,1506.540741240171
1999-05-03,1541.6632607585746
1999-05-04,1532.7764384908744
1999-05-05,1529.1181440970572
1999-05-06,1549.5900816830167
1999-05-07,1577.4676262543014
1999-05-10,1601.5946726263796
1999-05-11,1596.105164871466
1999-05-12,1576.9021655202305
1999-05-13,1615.4069148337787
1999-05-14,1575.3760106451412
1999-05-17,1565.8308442141647
1999-05-18,1571.253557098764
1999-05-19,1533.7741375527685
1999-05-20,1542.1560708001646
1999-05-21,1513.634686016053
1999-05-24,1474.8212365865982
1999-05-25,1437.639792735638
1999-05-26,1502.4047921290341
1999-05-27,1467.118339479525
1999-05-28,1469.5684375035423
1999-05-31,1483.1135702752326
1999-06-01,1465.1772135874944
1999-06-02,1477.3207723965118
1999-06-03,1476.5596544549921
1999-06-04,1498.6635623394716
1999-06-07,1513.5624721070126
1999-06-08,1497.5644725432755
1999-06-09,1485.2596439275485
1999-06-10,1468.6232498051186
1999-06-11,1443.8419412450035
1999-06-14,1438.5111474804578
1999-06-15,1460.7413709481052
1999-06-16,1538.0671647556067
1999-06-17,1554.7744782945097
1999-06-18,1551.9140531724602
1999-06-21,1579.325558450162
1999-06-22,1581.5087695052798
1999-06-23,1554.4332536588115
1999-06-24,1524.7772980176735
1999-06-25,1488.2973374826563
1999-06-28,1520.7464350396451
1999-06-29,1534.8881495535852
1999-06-30,1574.3204488191614
1999-07-01,1599.0052332968305
1999-07-02,1620.8052339547264
1999-07-05,1632.5728112232848
1999-07-06,1624.4338033248716
1999-07-07,1629.6146580933812
1999-07-08,1612.5389043729833
1999-07-09,1607.6555068439125
1999-07-12,1566.9203585096277
1999-07-13,1585.560000358895
1999-07-14,1587.6629352427044
1999-07-15,1592.1226425896366
1999-07-16,1609.4237592170891
1999-07-19,1625.182309113631
1999-07-20,1558.1697866196591
1999-07-21,1554.2790413261087
1999-07-22,1533.885582718603
1999-07-23,1495.0083040230745
1999-07-26,1432.3245504793422
1999-07-27,1435.600004763963
1999-07-28,1457.18732224222
1999-07-29,1410.4517022000075
1999-07-30,1413.3811846899318
1999-08-02,1388.8132535886548
1999-08-03,1395.7077637299658
