Date,EM GCC COUNTRIES
2014-06-02,979.1637022295572
2014-06-03,954.4813467792166
2014-06-04,939.8179690552406
2014-06-05,951.2681733009973
2014-06-06,949.582358245367
2014-06-09,913.0276206705679
2014-06-10,908.7802293829478
2014-06-11,900.76138284572
2014-06-12,913.1053056099353
2014-06-13,914.6519222904841
2014-06-16,865.833296671221
2014-06-17,854.8266799386005
2014-06-18,865.7663684329592
2014-06-19,863.6413473114819
2014-06-20,867.2357442856708
2014-06-23,842.979405563664
2014-06-24,821.9454697370387
2014-06-25,823.1048239296435
2014-06-26,813.1264348466299
2014-06-27,810.0812167977206
2014-06-30,767.0697509534563
2014-07-01,800.7578638965822
2014-07-02,841.8416848497016
2014-07-03,838.5528536046767
2014-07-04,839.8540646850374
2014-07-07,853.6313186978709
2014-07-08,856.3348047647144
2014-07-09,860.840395110447
2014-07-10,880.6091719544083
2014-07-11,880.7386828260836
2014-07-14,880.3349343792956
2014-07-15,895.6436161367528
2014-07-16,910.4127474661263
2014-07-17,915.7293563050248
2014-07-18,916.3055211911117
2014-07-21,891.7391743168557
2014-07-22,898.4514047493905
2014-07-23,891.8927309405509
2014-07-24,877.2988050360766
2014-07-25,879.6499370975148
2014-07-28,883.7808661601448
2014-07-29,885.675762026096
2014-07-30,887.8273083329202
2014-07-31,901.1816806838367
2014-08-01,897.893431197389
2014-08-04,896.9420586170409
2014-08-05,904.0057266104574
2014-08-06,891.242127859429
2014-08-07,893.4041005805321
2014-08-08,889.2083080920628
2014-08-11,901.1892354488001
2014-08-12,907.0413437661716
2014-08-13,919.0046319873865
2014-08-14,920.7045006529252
2014-08-15,920.5150873176771
2014-08-18,925.7137414791343
2014-08-19,934.2064547666713
2014-08-20,935.9172199210108
2014-08-21,941.2763308223645
2014-08-22,945.0520504489826
2014-08-25,949.3336535531688
2014-08-26,955.6774770807667
2014-08-27,954.4187624477989
2014-08-28,919.6367910990291
2014-08-29,919.8984056235498
2014-09-01,958.5291540579891
2014-09-02,962.9762912039505
2014-09-03,973.8412793923803
2014-09-04,989.8439299716938
2014-09-05,990.4550154707696
2014-09-08,992.4553050564738
2014-09-09,992.2902855617541
2014-09-10,979.8092614111858
2014-09-11,987.8369908703706
2014-09-12,988.0660456680682
2014-09-15,994.7735712355202
2014-09-16,992.1459358239345
2014-09-17,992.7255243971642
2014-09-18,1020.60307803637
2014-09-19,1027.0809527966962
2014-09-22,1010.2069370619565
2014-09-23,1004.0577218085739
2014-09-24,1004.5810355756284
2014-09-25,1005.7449434333546
2014-09-26,1009.8303713571833
2014-09-29,1002.0919441187316
2014-09-30,1000.84841467012
2014-10-01,1004.4681818011999
2014-10-02,996.7719287933102
2014-10-03,1008.0776409783584
2014-10-06,1003.4546615922054
2014-10-07,1002.9019203574827
2014-10-08,988.2862167004869
2014-10-09,990.5029636647902
2014-10-10,997.2959857849412
2014-10-13,956.9245587929075
2014-10-14,953.8880455666688
2014-10-15,935.8480144364058
2014-10-16,906.8178195583748
2014-10-17,907.7344971001612
2014-10-20,904.6826713536104
2014-10-21,920.0381547122366
2014-10-22,940.1659212132026
2014-10-23,951.9682674726271
2014-10-24,950.493349124396
2014-10-27,952.5431667018051
2014-10-28,949.3345174497847
2014-10-29,957.2434441971282
2014-10-30,942.402440697112
2014-10-31,949.3339715256781
2014-11-03,976.9512989477018
2014-11-04,968.9345637134766
2014-11-05,947.1152772130087
2014-11-06,951.2218654526156
2014-11-07,952.9459263494002
2014-11-10,975.7705479434917
2014-11-11,977.3692739168735
2014-11-12,970.0023819601075
2014-11-13,978.6342704216877
2014-11-14,978.2279406274358
