Date,EM ASEAN
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,993.9555060797094
1999-01-05,1051.7656855424912
1999-01-06,1114.1048934864598
1999-01-07,1171.1817934341989
1999-01-08,1152.2327421870116
1999-01-11,1154.6682664416273
1999-01-12,1147.1593302756514
1999-01-13,1068.7132231100798
1999-01-14,1054.7907703343135
1999-01-15,1061.834679507329
1999-01-18,1094.8688920575523
1999-01-19,1086.5466390776307
1999-01-20,1114.4677794637414
1999-01-21,1095.355954948279
1999-01-22,1046.582371624832
1999-01-25,988.0818399057509
1999-01-26,1013.0849620573188
1999-01-27,1037.7257766945208
1999-01-28,1033.912363180082
1999-01-29,1032.4676860237018
1999-02-01,1033.6277326263958
1999-02-02,1013.9665566049129
1999-02-03,1024.607690130363
1999-02-04,1016.4066236186363
1999-02-05,1004.5576288067824
1999-02-08,976.580230195119
1999-02-09,954.3781143692665
1999-02-10,952.2909449093115
1999-02-11,961.775429836709
1999-02-12,1005.9879608130516
1999-02-15,1013.2215071765271
1999-02-16,1018.4891076092384
1999-02-17,995.797372141004
1999-02-18,995.0133315701564
1999-02-19,1005.1007436433372
1999-02-22,1001.6381997564441
1999-02-23,1010.096484386947
1999-02-24,1007.7345489996565
1999-02-25,995.5612591056904
1999-02-26,1015.0704987757883
1999-03-01,1020.9983991669554
1999-03-02,1026.8813682685625
1999-03-03,1032.9278923782545
1999-03-04,1030.2743306082393
1999-03-05,1027.1488346790009
1999-03-08,1031.8614561620825
1999-03-09,1009.5806399712699
1999-03-10,996.5228989532975
1999-03-11,1018.0823335931148
1999-03-12,1016.4071830506816
1999-03-15,1039.883255301593
1999-03-16,1052.981190965908
1999-03-17,1045.9950025564442
1999-03-18,1059.3143658948081
1999-03-19,1079.0727480326507
1999-03-22,1078.493044587078
1999-03-23,1088.9941028071291
1999-03-24,1076.5613371225695
1999-03-25,1087.2107910008046
1999-03-26,1101.0631869668052
1999-03-29,1095.281298733249
1999-03-30,1093.4314465732589
1999-03-31,1081.6922312110398
1999-04-01,1090.235042539806
1999-04-02,1094.347081166886
1999-04-05,1100.5855548584345
1999-04-06,1096.156813953503
1999-04-07,1118.7346265495635
1999-04-08,1134.0798613975944
1999-04-09,1155.8549913472389
1999-04-12,1160.9688562463605
1999-04-13,1178.9280127148559
1999-04-14,1188.5086816667717
1999-04-15,1212.7659910350073
1999-04-16,1334.0166047517146
1999-04-19,1408.203446174249
1999-04-20,1364.2974636252977
1999-04-21,1348.9715286566407
1999-04-22,1355.7520179014368
1999-04-23,1363.91930227653
1999-04-26,1405.4429212607636
1999-04-27,1412.3010473347224
1999-04-28,1417.2111702358277
1999-04-29,1451.5328294664298
1999-04-30,1500.2358420267958
1999-05-03,1534.8543959736119
1999-05-04,1674.5090806796125
1999-05-05,1658.654318636319
1999-05-06,1653.7026221539568
1999-05-07,1616.714851082044
1999-05-10,1629.852170942614
1999-05-11,1640.787745821653
1999-05-12,1637.550001101975
1999-05-13,1608.843245526855
1999-05-14,1601.1756725642285
1999-05-17,1573.518821846057
1999-05-18,1595.6915517407524
1999-05-19,1577.1264538049245
1999-05-20,1567.3937573985265
1999-05-21,1572.967033086304
1999-05-24,1581.3691559697602
1999-05-25,1573.4346553107537
1999-05-26,1561.1586987712292
1999-05-27,1564.617137169653
1999-05-28,1524.276842610495
1999-05-31,1544.8588359503876
1999-06-01,1561.811020716464
1999-06-02,1582.7436744742379
1999-06-03,1579.8246877382915
1999-06-04,1617.7571647957736
1999-06-07,1660.934032434987
1999-06-08,1725.322844628455
1999-06-09,1734.5526370234668
1999-06-10,1725.5166115963889
1999-06-11,1713.9957032173174
1999-06-14,1754.8147780882066
1999-06-15,1762.5158309705052
1999-06-16,1782.0983835955208
1999-06-17,1821.6227597035725
1999-06-18,1844.1431426231327
1999-06-21,1919.736876226323
1999-06-22,1965.9008316452928
1999-06-23,1929.3804791400664
1999-06-24,1892.7010103966436
1999-06-25,1839.386167211351
1999-06-28,1853.9358575695421
1999-06-29,1855.4295739601816
1999-06-30,1831.7883509349697
1999-07-01,1866.3564774995032
1999-07-02,1896.4335223731366
1999-07-05,1931.853486124407
1999-07-06,1934.1119439074307
1999-07-07,1892.7687471495794
1999-07-08,1878.0502661169573
1999-07-09,1876.5557475409912
1999-07-12,1909.1723756787376
1999-07-13,1878.421192329526
1999-07-14,1849.177949584708
1999-07-15,1844.4372818278996
1999-07-16,1830.2333210855988
1999-07-19,1826.9346817957567
1999-07-20,1770.784734306094
1999-07-21,1753.7317744856202
1999-07-22,1726.004563573494
1999-07-23,1678.537270967065
1999-07-26,1570.4737081575756
1999-07-27,1530.516589883702
1999-07-28,1580.9823366937835
1999-07-29,1580.1445786885147
1999-07-30,1547.899097621316
1999-08-02,1546.6910260119546
1999-08-03,1580.7018022856769
1999-08-04,1554.8329321672784
