Date,EM EASTERN EUROPE ex RUSSIA
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,988.0599255419746
2001-01-03,969.9130328961427
2001-01-04,1007.1448002712846
2001-01-05,1000.428842246206
2001-01-08,988.3698688655675
2001-01-09,1002.9079625222099
2001-01-10,983.5934236142689
2001-01-11,971.1822756681161
2001-01-12,990.3989224214178
2001-01-15,1000.2462358969607
2001-01-16,996.7581619151712
2001-01-17,1007.4627755994059
2001-01-18,1001.5966744905282
2001-01-19,1031.308439244933
2001-01-22,1013.1313129815248
2001-01-23,1004.7833395073415
2001-01-24,1018.3498527498894
2001-01-25,1017.6932647415468
2001-01-26,1006.6745768521367
2001-01-29,1021.9783186550687
2001-01-30,1029.4105637659682
2001-01-31,1035.2473912688515
2001-02-01,1027.414439531347
2001-02-02,1031.877390094987
2001-02-05,1001.3574077559559
2001-02-06,1005.8513379259664
2001-02-07,987.7752975540604
2001-02-08,997.3414831818567
2001-02-09,976.2959185430394
2001-02-12,968.6243824000176
2001-02-13,981.2803276763872
2001-02-14,962.292831851549
2001-02-15,982.1782494540375
2001-02-16,946.7188677440502
2001-02-19,945.1330236133747
2001-02-20,946.7424438161505
2001-02-21,917.3941134008494
2001-02-22,903.6597460045055
2001-02-23,902.8598622971843
2001-02-26,920.0111772048268
2001-02-27,904.2822439436035
2001-02-28,906.5590053001722
2001-03-01,887.5427865689827
2001-03-02,890.5998885903975
2001-03-05,911.102866412253
2001-03-06,928.5954669615879
2001-03-07,924.3335539506644
2001-03-08,911.9334179263494
2001-03-09,890.9762124694918
2001-03-12,860.13611500746
2001-03-13,868.1588978338399
2001-03-14,848.3455886153829
2001-03-15,867.1601180044821
2001-03-16,858.9247365077384
2001-03-19,866.4561741453973
2001-03-20,877.3459448371425
2001-03-21,860.9202348401283
2001-03-22,851.2788101358175
2001-03-23,861.5509648589865
2001-03-26,878.825259929204
2001-03-27,867.9226027623998
2001-03-28,875.0435723345252
2001-03-29,861.8685235160455
2001-03-30,860.0972114336246
2001-04-02,853.5528929961796
2001-04-03,829.5074272842913
