Date,EM EUROPE & MIDDLE EAST
2000-12-29,100.0
2001-01-01,99.86623692585574
2001-01-02,96.79217305585603
2001-01-03,97.21946575640432
2001-01-04,100.1602885248063
2001-01-05,97.07662801151439
2001-01-08,96.19667499975044
2001-01-09,97.77720807000601
2001-01-10,99.71538063524552
2001-01-11,101.02830359914589
2001-01-12,101.06059581667817
2001-01-15,100.19530441925049
2001-01-16,99.51937408659585
2001-01-17,102.87823582734761
2001-01-18,102.38133738419278
2001-01-19,104.81009256587231
2001-01-22,102.12108936111565
2001-01-23,101.67298744295994
2001-01-24,102.89644948557
2001-01-25,103.47339199766449
2001-01-26,103.7938543545101
2001-01-29,103.60972586576231
2001-01-30,103.77863129529881
2001-01-31,104.31338201460139
2001-02-01,103.388742124775
2001-02-02,101.81381067890474
2001-02-05,99.54918395136627
2001-02-06,101.36288658770066
2001-02-07,99.33397659412336
2001-02-08,100.41843927330149
2001-02-09,98.77117242229237
2001-02-12,98.11957336902515
2001-02-13,99.8104886130053
2001-02-14,101.54666169433892
2001-02-15,103.99803957779277
2001-02-16,102.04886118179311
2001-02-19,98.99863699385733
2001-02-20,100.01742481155512
2001-02-21,94.02881985056032
2001-02-22,90.13228232734406
2001-02-23,89.04666600326482
2001-02-26,92.1441615438991
2001-02-27,90.23973611555768
2001-02-28,89.2693320506897
2001-03-01,89.9718402143795
2001-03-02,89.46376965873729
2001-03-05,90.21148604699064
2001-03-06,92.01350940437973
2001-03-07,92.51049357939809
2001-03-08,92.15918983474623
2001-03-09,92.02777239502245
2001-03-12,88.42033400147015
2001-03-13,88.91046551610329
2001-03-14,85.57442674278842
2001-03-15,86.59332375428721
2001-03-16,86.71330483267012
2001-03-19,86.18642349310522
2001-03-20,86.15682563759898
2001-03-21,85.15419580188714
2001-03-22,85.0102224607713
2001-03-23,84.98604007666786
2001-03-26,85.7484086957505
2001-03-27,85.01279065403381
2001-03-28,84.1024234916975
2001-03-29,81.37307547234272
2001-03-30,82.95519309838781
2001-04-02,81.53919460346701
2001-04-03,78.26637573278576
2001-04-04,77.47322761772274
2001-04-05,81.50009219846723
2001-04-06,80.77759082316263
2001-04-09,81.0277916886446
2001-04-10,83.44297175213796
2001-04-11,85.32068241492425
2001-04-12,86.04477393498138
2001-04-13,86.27793611375215
2001-04-16,87.51484310481601
2001-04-17,86.79938728948042
2001-04-18,90.50290372451832
2001-04-19,91.42078479959532
2001-04-20,89.52681696408627
2001-04-23,88.72495617423576
2001-04-24,87.96069085575812
2001-04-25,88.2529919124785
2001-04-26,89.09905131856398
2001-04-27,93.00171004681023
2001-04-30,93.46658541624838
2001-05-01,93.26663306025864
2001-05-02,93.56070544822592
2001-05-03,93.3118200926554
2001-05-04,93.38090630719616
2001-05-07,92.94509826447167
2001-05-08,94.53788343954795
2001-05-09,92.8114879759256
2001-05-10,93.20933936915836
2001-05-11,92.5454182402066
2001-05-14,91.38278137641775
2001-05-15,90.53714918419426
2001-05-16,90.80449341671061
2001-05-17,93.12645168444332
2001-05-18,95.01439585725896
2001-05-21,96.50384140916651
2001-05-22,97.25838603193216
2001-05-23,96.51247387414286
2001-05-24,96.56694383299408
2001-05-25,96.89371246998516
2001-05-28,95.64544529660576
2001-05-29,94.87637101741572
2001-05-30,93.21917397549119
2001-05-31,94.49108735849028
2001-06-01,96.05789666621273
2001-06-04,95.97740619944163
2001-06-05,94.26622493791194
2001-06-06,94.88712383485692
2001-06-07,94.64170257952371
2001-06-08,94.86483504909411
2001-06-11,93.19624571665976
2001-06-12,91.70769446961687
2001-06-13,90.59173189025297
2001-06-14,90.8482211161161
2001-06-15,90.847274523295
2001-06-18,89.59766797504112
2001-06-19,90.2346214413545
2001-06-20,90.37468553641327
2001-06-21,90.65461043484856
2001-06-22,91.31406260114152
2001-06-25,89.68197464296884
2001-06-26,90.02329354099555
2001-06-27,91.16421973726591
2001-06-28,91.51123239424213
2001-06-29,91.43097479439113
2001-07-02,91.4403106388042
2001-07-03,89.26391973123222
2001-07-04,89.69650565959867
2001-07-05,90.55838840442922
2001-07-06,86.33854260848034
2001-07-09,85.35228315119831
2001-07-10,83.655527263139
2001-07-11,79.39047185631952
2001-07-12,83.24759604509809
2001-07-13,82.9428910394596
2001-07-16,82.2918968548221
2001-07-17,81.86586861354311
2001-07-18,80.12584455493416
2001-07-19,82.05707761475259
2001-07-20,80.46282881672342
2001-07-23,81.95546864421208
2001-07-24,81.02553982393043
2001-07-25,80.66576864277145
2001-07-26,83.47627848571477
2001-07-27,83.44920727420106
2001-07-30,83.31923570223285
2001-07-31,82.930521418531
2001-08-01,83.29978704913744
2001-08-02,82.93585330133654
2001-08-03,82.07778612956331
2001-08-06,81.62440588091212
2001-08-07,80.72417210640093
2001-08-08,80.32616507292292
2001-08-09,78.89272144836137
2001-08-10,78.38059480458311
2001-08-13,77.95845862013971
2001-08-14,78.04229671912391
2001-08-15,76.02548800620379
2001-08-16,75.71412741590777
2001-08-17,75.18545853606092
2001-08-20,75.37465822356398
2001-08-21,75.41891760189915
2001-08-22,75.38857474682857
2001-08-23,75.91682106125978
2001-08-24,76.98192766733546
2001-08-27,78.24216214141292
2001-08-28,77.98373197410241
2001-08-29,76.80279357367367
2001-08-30,76.20144583349067
2001-08-31,76.34170328469997
2001-09-03,76.1542684167978
2001-09-04,76.46104724633379
2001-09-05,76.84465346325841
2001-09-06,76.88020189626049
2001-09-07,75.42801038935268
2001-09-10,75.07430918238757
2001-09-11,72.07668113982022
2001-09-12,70.92121073109732
2001-09-13,70.60045661579059
