Date,HONG KONG-LISTED SOUTHBOUND
1999-05-31,1000.0
1999-06-01,1016.0968624466682
1999-06-02,1034.683754511542
1999-06-03,1034.7901350884433
1999-06-04,1033.0578179787676
1999-06-07,1066.01218507568
1999-06-08,1056.5695925986577
1999-06-09,1059.3350040679068
1999-06-10,1049.577026118252
1999-06-11,1062.3361332596014
1999-06-14,1070.2037136315425
1999-06-15,1066.520141101284
1999-06-16,1094.434135344319
1999-06-17,1111.6610020700891
1999-06-18,1104.298969486622
1999-06-21,1151.7931704121395
1999-06-22,1152.8095382182162
1999-06-23,1150.052920245232
1999-06-24,1131.481123252771
1999-06-25,1119.9619707899833
1999-06-28,1132.4570497545847
1999-06-29,1128.094249424859
1999-06-30,1114.1244008950096
1999-07-01,1121.145666971635
1999-07-02,1173.7100494814217
1999-07-05,1194.063765523436
1999-07-06,1180.0103919641106
1999-07-07,1172.935638005813
1999-07-08,1173.6705376724553
1999-07-09,1171.2724173002464
1999-07-12,1164.40139373408
1999-07-13,1153.6404949558894
1999-07-14,1118.462471836713
1999-07-15,1124.8802880145352
1999-07-16,1112.7492346268948
1999-07-19,1115.3974012346434
1999-07-20,1096.8054500285652
1999-07-21,1074.0931441257542
1999-07-22,1071.5846996179396
1999-07-23,1053.6408257310818
1999-07-26,1014.887568244931
1999-07-27,1032.4438923105504
1999-07-28,1039.5660885031841
1999-07-29,1027.8507987588569
1999-07-30,1035.9412306364009
1999-08-02,1061.9901814603925
1999-08-03,1066.1151708520138
1999-08-04,1065.9511564468924
1999-08-05,1035.8669013299698
1999-08-06,1031.9463232286848
1999-08-09,1022.4514349498066
1999-08-10,995.0749723892329
1999-08-11,987.2164597168739
1999-08-12,1012.5748280886154
1999-08-13,1008.0491454909496
1999-08-16,1028.3190697232474
1999-08-17,1026.5087352051055
1999-08-18,1042.4974480584362
1999-08-19,1063.6964733778009
1999-08-20,1073.0564764203857
1999-08-23,1082.4188688797794
1999-08-24,1093.2882240448832
1999-08-25,1091.7366210889238
1999-08-26,1105.3285584851462
1999-08-27,1083.4521768759223
1999-08-30,1105.0458690705464
1999-08-31,1073.5956787446496
1999-09-01,1075.550785206721
1999-09-02,1051.9948809371233
1999-09-03,1049.397930155935
1999-09-06,1068.4749655875912
1999-09-07,1067.8020153040488
1999-09-08,1064.6740935967402
1999-09-09,1105.5696911083987
1999-09-10,1113.794756281955
1999-09-13,1120.9748104858236
1999-09-14,1111.8914049231585
1999-09-15,1087.7194004654284
1999-09-16,1087.3606618698918
1999-09-17,1088.610409145409
1999-09-20,1084.5342166367893
1999-09-21,1072.436181658207
1999-09-22,1052.8915398040733
1999-09-23,1064.5131531202153
1999-09-24,1050.3979368721712
1999-09-27,1034.872599051055
1999-09-28,1033.3333295821255
1999-09-29,1022.830361399693
1999-09-30,1008.5159578054837
1999-10-01,1003.9017678083103
1999-10-04,1011.0953065439953
1999-10-05,1019.9840064180621
1999-10-06,1019.0993110727452
1999-10-07,1024.238840102212
1999-10-08,1035.543851242012
1999-10-11,1025.3435116363648
1999-10-12,999.4492330594643
1999-10-13,974.2387151430696
1999-10-14,974.1064762751491
1999-10-15,950.2744481616842
1999-10-18,953.3473331507664
1999-10-19,945.1970087694274
1999-10-20,981.4442219972443
1999-10-21,980.3639503715691
1999-10-22,1018.5105681566774
1999-10-25,1031.4546322230387
1999-10-26,1025.6593250797557
1999-10-27,1025.9217614544075
1999-10-28,1032.9001313630697
1999-10-29,1071.3639766287135
1999-11-01,1076.5243119432262
1999-11-02,1073.0456465612137
1999-11-03,1065.3035395999102
