Date,ASIA APEX 50
2002-05-31,532.8052818005674
2002-06-03,534.6519244488264
2002-06-04,529.2861045958892
2002-06-05,534.9041033503598
2002-06-06,529.7601595628519
2002-06-07,522.5705658436177
2002-06-10,528.0705359120209
2002-06-11,526.3150129343716
2002-06-12,520.6381830150366
2002-06-13,523.6756156169279
2002-06-14,517.4004088266458
2002-06-17,515.8130709726184
2002-06-18,513.224853474147
2002-06-19,497.221009625043
2002-06-20,495.2839955349772
2002-06-21,490.58955732264906
2002-06-24,486.7266121949611
2002-06-25,489.38610165315185
2002-06-26,462.2870341364137
2002-06-27,469.4572313856978
2002-06-28,476.1457827000235
2002-07-01,473.6034739026616
2002-07-02,473.2654487010892
2002-07-03,480.197778261653
2002-07-04,491.2916159154908
2002-07-05,502.5869579141842
2002-07-08,499.1058222472694
2002-07-09,501.0549111381
2002-07-10,498.739372548129
2002-07-11,484.88092256251525
2002-07-12,496.6144953807623
2002-07-15,485.8200669581648
2002-07-16,477.60674794335995
2002-07-17,475.5103691597399
2002-07-18,475.2256409999728
2002-07-19,464.3137208505533
2002-07-22,456.84232215442825
2002-07-23,474.6085168391503
2002-07-24,459.9054056261202
2002-07-25,453.87943404963204
2002-07-26,442.9703075465839
2002-07-29,449.2260496377349
2002-07-30,456.7874145612217
2002-07-31,460.41412792712606
2002-08-01,455.8590596305649
2002-08-02,449.03458351557293
2002-08-05,432.36977419082285
2002-08-06,434.0185645144024
2002-08-07,443.06900187651695
2002-08-08,442.1905025211472
2002-08-09,445.3138562916104
2002-08-12,441.4742557305993
2002-08-13,449.8730280881107
2002-08-14,445.86564720602735
2002-08-15,454.9948176660525
2002-08-16,454.30147332050524
2002-08-19,456.6620025776805
2002-08-20,466.4429788522768
2002-08-21,466.4474163172813
2002-08-22,470.9750431666006
2002-08-23,466.6538843460281
2002-08-26,462.26816846718395
2002-08-27,454.24424560110697
2002-08-28,449.42655777691357
2002-08-29,446.0806242856783
2002-08-30,448.3175694167386
2002-09-02,444.9032287990447
