Date,BRIC WITH BRAZIL + INDIA + RUSSIA DR
2010-02-26,1000.0
2010-03-01,1033.3309973401747
2010-03-02,1037.3664633633423
2010-03-03,1029.8330799948108
2010-03-04,1026.979804799615
2010-03-05,1044.950303121992
2010-03-08,1051.1814414645262
2010-03-09,1060.5512864856448
2010-03-10,1059.7923867799648
2010-03-11,1059.3776938641088
2010-03-12,1052.8183189839788
2010-03-15,1051.3933360104943
2010-03-16,1049.4480640734348
2010-03-17,1060.9706609496561
2010-03-18,1063.2526740381245
2010-03-19,1061.719662971409
2010-03-22,1053.2741874610167
2010-03-23,1057.1765951464117
2010-03-24,1064.6997065282528
2010-03-25,1056.304617972365
2010-03-26,1057.7850153012387
2010-03-29,1072.375636294014
2010-03-30,1084.541681941777
2010-03-31,1077.3764899002233
2010-04-01,1100.1561837394588
2010-04-02,1100.1771109934011
2010-04-05,1106.5369912502044
2010-04-06,1119.9188205718067
2010-04-07,1128.1638984935735
2010-04-08,1126.2938615420971
2010-04-09,1130.1424301965858
2010-04-12,1109.5283980368554
2010-04-13,1107.696509947838
2010-04-14,1111.5500844230544
2010-04-15,1114.1976524955892
2010-04-16,1095.7656932517746
2010-04-19,1081.2766793000555
2010-04-20,1094.3518594897107
2010-04-21,1092.4715365485174
2010-04-22,1098.198894439495
2010-04-23,1095.1614161032192
2010-04-26,1108.2015514660984
2010-04-27,1080.023063937536
2010-04-28,1081.002903359154
2010-04-29,1088.4705388275704
2010-04-30,1089.3730417474865
2010-05-03,1087.6712422235214
2010-05-04,1070.2277544483425
2010-05-05,1060.567125588472
2010-05-06,1046.2470249372905
2010-05-07,1034.572534097524
2010-05-10,1077.2934434902465
2010-05-11,1071.3248863352492
2010-05-12,1081.3169722284051
2010-05-13,1095.3824678148248
2010-05-14,1086.5156210260143
2010-05-17,1072.8929015847937
2010-05-18,1068.7832705398148
2010-05-19,1041.7672954580144
2010-05-20,1009.9107303581599
2010-05-21,1008.2609209054389
2010-05-24,1025.1070022421106
2010-05-25,1001.063485077995
2010-05-26,1028.6771292758415
2010-05-27,1064.3436910695514
2010-05-28,1067.5321108137562
2010-05-31,1074.8153053658705
2010-06-01,1057.1710465101105
2010-06-02,1077.9276401801174
2010-06-03,1086.1218461304109
2010-06-04,1083.7800101836044
2010-06-07,1069.654212905507
2010-06-08,1076.4335983485705
2010-06-09,1071.1683590126731
2010-06-10,1086.5206061093534
2010-06-11,1097.6278594426556
2010-06-14,1087.5770256953813
2010-06-15,1098.891267778797
2010-06-16,1099.3652151614147
2010-06-17,1095.6417974811468
2010-06-18,1097.9224456127765
2010-06-21,1130.9481827958639
2010-06-22,1125.0868805098064
2010-06-23,1125.4063557684156
2010-06-24,1104.1003633467985
2010-06-25,1107.067119221447
2010-06-28,1100.5640143253895
2010-06-29,1076.522133290482
2010-06-30,1066.668679771643
2010-07-01,1046.9628499573723
2010-07-02,1033.4028138387955
2010-07-05,1036.4690592552536
2010-07-06,1043.2213814412821
2010-07-07,1051.5427651091095
2010-07-08,1056.6407593498739
2010-07-09,1077.8178430847447
2010-07-12,1079.473304365973
2010-07-13,1075.5505357936754
