Date,EM ASIA WITH PARTIAL A SHARES
2008-11-27,1069.2162120771932
2008-11-28,1096.1058023401138
2008-12-30,1090.384174358437
2008-12-31,1111.711511511308
2009-01-29,1101.1964151598488
2009-01-30,1130.1248434749984
2009-02-26,1072.0443396791115
2009-02-27,1068.182657534832
2009-03-30,1180.5533872543517
2009-03-31,1183.9951348598306
2009-04-29,1318.2021913234369
2009-04-30,1382.7819212259487
2009-05-28,1493.329686314498
2009-05-29,1488.6661933164858
2009-06-29,1500.179363470215
2009-06-30,1500.1829464333869
2009-07-30,1658.5013576548304
2009-07-31,1673.2297069360407
2009-08-28,1619.8124903102296
2009-08-31,1603.3126684631322
2009-09-29,1720.7688843013234
2009-09-30,1718.3942189570766
2009-10-29,1664.6996312713868
2009-10-30,1687.6523961381308
2009-11-27,1673.7446167702028
2009-11-30,1710.316006074859
2009-12-30,1855.871369740979
2009-12-31,1870.8813477214671
2010-01-28,1827.3586873281747
2010-01-29,1815.2534169666308
2010-02-25,1851.237617747229
2010-02-26,1850.777464482824
2010-03-30,2034.4405727551473
2010-03-31,2010.5020739813986
2010-04-29,2074.214943317215
2010-04-30,2093.11190126198
2010-05-28,2045.2977025587015
2010-05-31,2071.936975797705
2010-06-29,2122.5903991209593
2010-06-30,2103.0741373310366
2010-07-29,2088.324526662452
2010-07-30,2089.5005672591865
2010-08-30,2136.139644883164
2010-08-31,2110.527117546466
2010-09-29,2190.3030184217973
2010-09-30,2184.5603975288996
2010-10-28,2212.1991182463016
2010-10-29,2204.091348204363
2010-11-29,2312.5174602343986
2010-11-30,2308.892923726123
2010-12-30,2391.471772582647
2010-12-31,2379.8192135574986
2011-01-28,2333.2983352187716
2011-01-31,2295.561238252912
2011-02-25,2192.918331528871
2011-02-28,2191.7839494130785
2011-03-30,2277.0860216728734
2011-03-31,2283.7380315753917
2011-04-28,2275.703083797829
2011-04-29,2267.2054835750387
2011-05-30,2278.6436054899104
2011-05-31,2304.0816832045357
2011-06-29,2221.1779158908807
2011-06-30,2235.8987455086376
2011-07-28,2307.969983418273
2011-07-29,2271.9236132642022
2011-08-30,1994.8512748767494
2011-08-31,2031.7371255455055
2011-09-29,1892.3089479190949
2011-09-30,1904.7790592998047
2011-10-28,2035.666537727908
2011-10-31,2051.923163525655
2011-11-29,1973.6818942985758
2011-11-30,1946.8595714821272
2011-12-29,2040.0166722443505
2011-12-30,2031.9720482966748
2012-01-30,2189.4274710494296
2012-01-31,2227.669671749131
2012-02-28,2262.815763898532
2012-02-29,2304.9310092389883
2012-03-29,2229.6780457499735
2012-03-30,2241.716032855307
2012-04-27,2225.5874042960263
2012-04-30,2253.3147225978846
2012-05-30,2184.2677233504933
2012-05-31,2184.2669039549723
2012-06-28,2172.7656468091127
2012-06-29,2180.8876483351974
2012-07-30,2264.704673349115
2012-07-31,2291.293742569855
2012-08-30,2241.929480696388
2012-08-31,2221.68063749547
2012-09-27,2312.1722551879443
2012-09-28,2335.023636408455
2012-10-30,2290.362828618729
2012-10-31,2308.8527893242717
2012-11-29,2352.373991966908
2012-11-30,2363.1884599412037
2012-12-28,2406.0431158671045
2012-12-31,2416.4644970656527
2013-01-30,2382.118625837868
2013-01-31,2373.9504420030876
2013-02-27,2430.079737749751
2013-02-28,2462.953720410181
2013-03-28,2440.4844680621395
2013-03-29,2447.8096334195
2013-04-29,2405.577499169702
2013-04-30,2419.0715423067877
2013-05-30,2440.617718601864
2013-05-31,2442.44342847097
2013-06-27,2228.469047804029
2013-06-28,2289.4279136803452
2013-07-30,2292.250327272688
2013-07-31,2270.5701345392085
2013-08-29,2228.184824789217
2013-08-30,2261.5226138691273
2013-09-27,2350.29453356375
2013-09-30,2317.708188478282
2013-10-30,2400.4682696764426
