Date,ZHONG HUA WITH PARTIAL A SHARES
2008-11-27,1060.2150879346418
2008-11-28,1101.4496399092882
2008-12-30,1053.3754706929058
2008-12-31,1086.1913628128873
2009-01-29,1075.2807520427275
2009-01-30,1116.6474183454336
2009-02-26,1089.309904760936
2009-02-27,1085.9046460520929
2009-03-30,1148.6172892277784
2009-03-31,1150.6524380683802
2009-04-29,1257.4406674618879
2009-04-30,1299.5221151861656
2009-05-28,1418.4391729896327
2009-05-29,1426.7561949188728
2009-06-29,1493.4770855050224
2009-06-30,1476.7089206936319
2009-07-30,1621.5567298553904
2009-07-31,1633.7106752441393
2009-08-28,1524.3391006699492
2009-08-31,1494.7152333024462
2009-09-29,1563.5333284081407
2009-09-30,1552.2483370513612
2009-10-29,1577.387874385866
2009-10-30,1620.2432068417131
2009-11-27,1569.8248402583986
2009-11-30,1615.9077336256014
2009-12-30,1683.2624117851383
2009-12-31,1707.2257868487238
2010-01-28,1627.4480310862123
2010-01-29,1619.9464461758091
2010-02-25,1694.5039128667254
2010-02-26,1696.3916313134278
2010-03-30,1831.8755586290822
2010-03-31,1803.781715272796
2010-04-29,1795.1767276573232
2010-04-30,1816.6027775594453
2010-05-28,1841.0875947073841
2010-05-31,1853.8665946061833
2010-06-29,1902.483176357535
2010-06-30,1888.4046238365097
2010-07-29,1856.6850363102503
2010-07-30,1863.4704682527713
2010-08-30,1893.066302545271
2010-08-31,1878.3213299743413
2010-09-29,1935.6480053025434
2010-09-30,1929.7859575288426
2010-10-28,1969.3019759122283
2010-10-29,1963.598766926052
2010-11-29,2075.136612025493
2010-11-30,2075.1391892677416
2010-12-30,2020.8767554303704
2010-12-31,2008.2661433540427
2011-01-28,1991.8988684421665
2011-01-31,1967.8808370547936
2011-02-25,1890.8263843748477
2011-02-28,1910.0038164708817
2011-03-30,1934.856224501657
2011-03-31,1932.0120133530763
2011-04-28,1890.212642807657
2011-04-29,1883.1150730781958
2011-05-30,1929.1874180711202
2011-05-31,1951.265928291727
2011-06-29,1850.3186829246895
2011-06-30,1863.7399047153322
2011-07-28,1904.5609454895048
2011-07-29,1881.5270243192547
2011-08-30,1686.2678344114572
2011-08-31,1723.4397131010141
2011-09-29,1560.8306107408634
2011-09-30,1543.4532493919853
2011-10-28,1686.6731842923098
2011-10-31,1693.9343865540125
2011-11-29,1650.8618462832646
2011-11-30,1614.7800163710137
2011-12-29,1716.962975288718
2011-12-30,1711.952982084278
2012-01-30,1846.1199850929545
2012-01-31,1871.2053525640745
