Date,AC ASEAN
2000-12-29,999.99999989009
2001-01-01,999.99999989009
2001-01-02,972.4186548721308
2001-01-03,960.5700703489675
2001-01-04,983.0380395936323
2001-01-05,1000.1205382469207
2001-01-08,1004.0756686038934
2001-01-09,1021.7858205682785
2001-01-10,1018.3124761065137
2001-01-11,992.6720754476906
2001-01-12,1005.2721533927075
2001-01-15,1018.3447555374889
2001-01-16,1010.618351304516
2001-01-17,1018.3767550939115
2001-01-18,996.8079267712178
2001-01-19,1022.3377834894602
2001-01-22,1041.966435263951
2001-01-23,1036.2093031502984
2001-01-24,1055.8767293134483
2001-01-25,1064.6384252818295
2001-01-26,1056.943702069398
2001-01-29,1066.345990491943
2001-01-30,1063.2508310104795
2001-01-31,1077.68217033476
2001-02-01,1063.1710929947067
2001-02-02,1078.7576985709654
2001-02-05,1061.3368221076855
2001-02-06,1067.8947109371757
2001-02-07,1062.4992338565144
2001-02-08,1085.6424352085548
2001-02-09,1078.0077525498668
2001-02-12,1076.277822898567
2001-02-13,1082.337154873014
2001-02-14,1076.0411676168126
2001-02-15,1095.0126158155429
2001-02-16,1080.5191557635928
2001-02-19,1063.8995482029693
2001-02-20,1084.9926532671575
2001-02-21,1075.018373930412
2001-02-22,1075.9004326034596
2001-02-23,1079.8610854449878
2001-02-26,1080.3001931523768
2001-02-27,1065.3460302358087
2001-02-28,1062.0119000805257
2001-03-01,1031.9806820578465
2001-03-02,1023.8469925972088
2001-03-05,1026.884020106683
2001-03-06,1027.1576246744842
2001-03-07,1029.4289028698456
2001-03-08,1018.7168702068216
2001-03-09,1018.0523064041993
2001-03-12,1002.9769247804198
2001-03-13,993.8217424274358
2001-03-14,994.1079331392084
2001-03-15,991.2024938534277
2001-03-16,987.3908950157136
2001-03-19,970.394603618916
2001-03-20,959.0616324128833
2001-03-21,969.4798066341307
2001-03-22,968.7466404430955
2001-03-23,969.3604146100768
2001-03-26,966.6135016803479
2001-03-27,948.2531956519352
2001-03-28,949.435916028297
2001-03-29,943.9049609633613
2001-03-30,951.9861929750926
2001-04-02,943.508720853717
2001-04-03,927.061706642467
2001-04-04,880.5209933732862
2001-04-05,898.0173342395436
2001-04-06,883.185984643216
2001-04-09,845.720920527441
2001-04-10,865.4222281391133
2001-04-11,881.5624790314699
2001-04-12,867.1035205532779
2001-04-13,874.4830022533031
2001-04-16,882.8194817711744
2001-04-17,872.1320884110619
2001-04-18,892.7194907368169
2001-04-19,884.2566539900057
2001-04-20,871.7571707802783
2001-04-23,882.8227072671816
2001-04-24,885.5342450933333
2001-04-25,878.5129188839251
2001-04-26,875.503691678296
2001-04-27,895.2263626502594
2001-04-30,910.9413378344219
2001-05-01,909.1656998544022
2001-05-02,927.5042179946796
2001-05-03,922.6348234184319
2001-05-04,896.9405799605601
