Date,EM WITH BRAZIL + INDIA + RUSSIA DR
2010-02-26,1000.0
2010-03-01,1026.7859387602825
2010-03-02,1032.1635872610289
2010-03-03,1028.4497357365371
2010-03-04,1029.5224128946616
2010-03-05,1044.3719643232241
2010-03-08,1054.7584662212491
2010-03-09,1060.332581906522
2010-03-10,1059.5751698499664
2010-03-11,1055.768412083803
2010-03-12,1052.43729862481
2010-03-15,1049.9868077344815
2010-03-16,1049.140145090288
2010-03-17,1067.157010403908
2010-03-18,1073.6400709949928
2010-03-19,1075.3651691036846
2010-03-22,1067.6310293058884
2010-03-23,1071.8462810599938
2010-03-24,1083.3469694744276
2010-03-25,1081.2989995796434
2010-03-26,1080.7355622462092
2010-03-29,1087.3351139312574
2010-03-30,1098.0290530752764
2010-03-31,1089.0852221423033
2010-04-01,1108.2688057519158
2010-04-02,1109.795140731138
2010-04-05,1119.0041719455237
2010-04-06,1134.448818736431
2010-04-07,1141.406637178654
2010-04-08,1134.1792304080736
2010-04-09,1134.9309773590899
2010-04-12,1118.1524408985715
2010-04-13,1113.337677867236
2010-04-14,1121.2604732948762
2010-04-15,1128.0605380428153
2010-04-16,1115.3282708644301
2010-04-19,1097.2966924253117
2010-04-20,1110.3607449021358
2010-04-21,1118.9479398848614
2010-04-22,1122.2686530457513
2010-04-23,1120.9744649097524
2010-04-26,1137.1780484832395
2010-04-27,1120.0557122836926
2010-04-28,1115.035452628564
2010-04-29,1119.5271555044444
2010-04-30,1121.7783065447227
2010-05-03,1120.7766846623056
2010-05-04,1112.948860720853
2010-05-05,1103.8824463097199
2010-05-06,1090.5203219789723
2010-05-07,1073.9541566740018
2010-05-10,1108.689103307811
2010-05-11,1107.8643809119835
2010-05-12,1117.3982831109058
2010-05-13,1137.2936260544552
2010-05-14,1133.226018971684
2010-05-17,1117.2715526492818
2010-05-18,1114.149557158278
2010-05-19,1087.6103202381967
2010-05-20,1053.8286390169105
2010-05-21,1040.5691141972504
2010-05-24,1058.187730055602
2010-05-25,1031.241903587508
2010-05-26,1061.0842594571175
2010-05-27,1087.492289651898
2010-05-28,1093.5088877538385
2010-05-31,1104.9587128077485
2010-06-01,1085.4530534370863
2010-06-02,1097.9541391700952
2010-06-03,1114.187226125885
2010-06-04,1114.5564028413985
2010-06-07,1095.6772762462674
2010-06-08,1099.5837892837817
2010-06-09,1092.0704642115315
2010-06-10,1102.687808194883
2010-06-11,1115.4331711332309
2010-06-14,1114.2485964373507
2010-06-15,1120.8577222823908
2010-06-16,1126.2875919757112
2010-06-17,1125.2479262317954
2010-06-18,1130.0902134389771
2010-06-21,1160.9449818040334
2010-06-22,1154.9645501564803
2010-06-23,1151.5917069446807
2010-06-24,1134.9969949841818
2010-06-25,1131.2143440125574
2010-06-28,1130.434304519364
2010-06-29,1112.5092168170336
2010-06-30,1098.3970352770064
2010-07-01,1071.0617393598461
2010-07-02,1061.9361790163564
2010-07-05,1069.9961042303019
2010-07-06,1078.1370005551682
2010-07-07,1082.1785885859165
2010-07-08,1091.7751359199556
2010-07-09,1110.9471154274922
2010-07-12,1113.565056101846
2010-07-13,1109.508954566183
2010-07-14,1111.6400763367692
2010-07-15,1092.2334816912407
2010-07-16,1076.9649784192936
2010-07-19,1071.3096282807928
2010-07-20,1091.171049094481
2010-07-21,1108.175561073981
2010-07-22,1110.7100586108652
2010-07-23,1128.480058941244
2010-07-26,1124.7843735382826
2010-07-27,1125.3897373206305
2010-07-28,1123.5296369810187
2010-07-29,1119.646727438836
2010-07-30,1121.8405281915616
2010-08-02,1134.1796262756875
2010-08-03,1128.99370803463
2010-08-04,1137.0774425234752
2010-08-05,1136.3105572010152
2010-08-06,1124.4113235542789
2010-08-09,1134.0539135712927
2010-08-10,1132.108097070874
2010-08-11,1125.408636428334
2010-08-12,1122.5148799090082
2010-08-13,1135.406813854775
2010-08-16,1135.0355185397896
2010-08-17,1141.1523235185605
2010-08-18,1142.5860844948434
2010-08-19,1141.9269082306082
2010-08-20,1150.6011784347095
2010-08-23,1150.0610269842805
2010-08-24,1133.4564977200832
2010-08-25,1125.7716414077956
2010-08-26,1119.3855549494392
2010-08-27,1126.1512741765016
2010-08-30,1132.1801077693872
2010-08-31,1127.4527724481347
2010-09-01,1140.3173856909827
2010-09-02,1148.5476089198605
2010-09-03,1155.3098172323284
2010-09-06,1162.4285943578257
2010-09-07,1167.0487497275876
2010-09-08,1165.3260267746045
2010-09-09,1171.673604167362
2010-09-10,1177.317940957632
2010-09-13,1189.1719050667834
2010-09-14,1180.4276134385284
2010-09-15,1176.8761512596245
2010-09-16,1164.969797797767
2010-09-17,1174.8663959354492
2010-09-20,1178.8720063406881
2010-09-21,1176.3086135010667
2010-09-22,1154.8237365465093
2010-09-23,1161.1733560841246
2010-09-24,1155.22968080256
2010-09-27,1164.3524888124375
2010-09-28,1158.5190655477636
2010-09-29,1163.8378346568306
2010-09-30,1166.0304990686873
2010-10-01,1166.459843254104
2010-10-04,1176.3298128488532
2010-10-05,1170.5812544394369
2010-10-06,1176.5581476201824
2010-10-07,1167.515542965902
2010-10-08,1167.6750786487753
2010-10-11,1176.4184851945672
2010-10-12,1172.7799068734394
2010-10-13,1181.9428298566636
2010-10-14,1181.8912383338015
2010-10-15,1183.1855611727121
2010-10-18,1176.4957601751512
2010-10-19,1178.370425974337
2010-10-20,1167.004534583267
2010-10-21,1168.5555315919135
2010-10-22,1175.1521875582064
2010-10-25,1183.4285680451524
2010-10-26,1194.055058086868
2010-10-27,1180.4209293452168
2010-10-28,1177.5462717431856
2010-10-29,1178.3841300851882
2010-11-01,1196.110694747448
2010-11-02,1190.8711369845519
2010-11-03,1199.5384180132014
2010-11-04,1203.0493417743078
2010-11-05,1225.696556645725
2010-11-08,1234.5755252351487
2010-11-09,1232.1739942319148
2010-11-10,1246.8201217616495
2010-11-11,1241.0656698302566
2010-11-12,1217.8271409274507
2010-11-15,1221.30399007782
2010-11-16,1208.7341731989138
2010-11-17,1201.1191825895564
2010-11-18,1216.2037149950936
2010-11-19,1214.3487807592833
2010-11-22,1221.5168006150893
2010-11-23,1210.4527839731288
2010-11-24,1222.963955418268
2010-11-25,1229.084275091635
2010-11-26,1223.4178400296105
2010-11-29,1234.7790527463599
2010-11-30,1233.3263978465072
2010-12-01,1252.2657906668912
2010-12-02,1263.5328066781908
2010-12-03,1253.0741874265964
2010-12-06,1266.3358311354662
2010-12-07,1263.1632072043365
2010-12-08,1261.968578806545
2010-12-09,1269.5457495142339
2010-12-10,1263.709976645675
2010-12-13,1255.041938298173
2010-12-14,1262.4382260385291
2010-12-15,1257.460427749982
2010-12-16,1262.821974656275
2010-12-17,1270.7471946903759
2010-12-20,1270.909431874149
2010-12-21,1281.3679545080252
2010-12-22,1288.835144014679
2010-12-23,1293.4777622501629
2010-12-24,1285.6704758308233
2010-12-27,1282.4741311115836
2010-12-28,1283.4833479085355
2010-12-29,1296.54309157495
2010-12-30,1291.4954697960077
2010-12-31,1284.2573142323824
2011-01-03,1303.468776271393
2011-01-04,1313.3194758726788
2011-01-05,1325.524553315114
2011-01-06,1331.025906630359
