Date,EM LATIN AMERICA ex BRAZIL SMALL VALUE
1996-05-31,1000.0
1996-06-28,995.8901687413088
1996-07-31,954.3994457252965
1996-08-30,941.5850732149848
1996-09-30,976.6796910895185
1996-10-31,918.9961805765212
1996-11-29,911.155602204149
1996-12-31,896.9130843896305
1997-01-01,896.9130843896305
1997-01-02,890.2412774894698
1997-01-03,898.883701564358
1997-01-06,904.5770903781431
1997-01-07,907.2209664502252
1997-01-08,915.631362797143
1997-01-09,919.2325792566645
1997-01-10,923.0444999005123
1997-01-13,929.8093910492034
1997-01-14,943.3222377251885
1997-01-15,948.4131261359589
1997-01-16,949.4122949424176
1997-01-17,957.3516876946056
1997-01-20,958.4532532097802
1997-01-21,963.7281002734012
1997-01-22,961.5575777104197
1997-01-23,961.6018022187444
1997-01-24,957.0323792233879
1997-01-27,949.5932120867565
1997-01-28,954.1767258143875
1997-01-29,951.1184866427016
1997-01-30,960.9380681982421
1997-01-31,961.8387200543052
1997-02-03,964.3159818446061
1997-02-04,968.3700051288371
1997-02-05,968.8935834987997
1997-02-06,971.5834385498731
1997-02-07,973.690814428169
1997-02-10,974.7866879039041
1997-02-11,973.667303034762
1997-02-12,978.8360709953412
1997-02-13,980.2479173701208
1997-02-14,983.297852680064
1997-02-17,991.0955024821275
1997-02-18,993.4075027798689
1997-02-19,999.4061343913869
1997-02-20,999.9673619973678
1997-02-21,1007.022879939827
1997-02-24,1016.7446507741007
1997-02-25,1021.2271503569044
1997-02-26,1016.5591176715147
1997-02-27,1003.0220573595246
1997-02-28,996.852977750618
1997-03-03,990.3522949716114
1997-03-04,990.8297628464092
1997-03-05,986.3270515854919
1997-03-06,985.2687400934838
1997-03-07,991.2753030543071
1997-03-10,998.2388155268326
1997-03-11,996.1720725014118
1997-03-12,989.7329291253983
1997-03-13,986.0479848970604
1997-03-14,986.7753801057501
1997-03-17,981.7963785948219
1997-03-18,984.6409986074606
1997-03-19,984.5175246931841
1997-03-20,985.0714706059923
1997-03-21,984.0975182705687
1997-03-24,984.0162237094339
1997-03-25,985.8782221916367
1997-03-26,985.7369866729942
1997-03-27,986.084927664379
1997-03-28,986.0658726776463
1997-03-31,975.8419534241309
1997-04-01,974.0404410068406
1997-04-02,975.2623066306354
1997-04-03,975.1386390813124
1997-04-04,974.6092207543599
1997-04-07,977.830671063766
1997-04-08,973.5051371365294
1997-04-09,972.2433856075156
1997-04-10,971.4122065938247
1997-04-11,966.106478535121
1997-04-14,964.0416472168042
1997-04-15,970.4087022704941
1997-04-16,973.607016930704
1997-04-17,974.3837434994974
1997-04-18,973.3425452024555
1997-04-21,970.017716820029
1997-04-22,970.8031125588354
1997-04-23,974.3863081517595
1997-04-24,975.2217229248813
1997-04-25,976.2132248439348
1997-04-28,974.2219603671334
1997-04-29,976.2193608043979
1997-04-30,977.8838371692965
1997-05-01,978.3998599334366
1997-05-02,985.7064669333375
1997-05-05,983.0521409338537
1997-05-06,980.4731513001591
1997-05-07,976.1591864322336
1997-05-08,981.3193619101705
1997-05-09,987.5539433576638
1997-05-12,988.4351640930829
1997-05-13,991.7798642629157
1997-05-14,993.5152311153489
1997-05-15,993.9809477188921
1997-05-16,995.943805249055
1997-05-19,995.9930445818113
1997-05-20,999.8248593044882
1997-05-21,1004.4070213276393
1997-05-22,1007.4180643962236
1997-05-23,1007.0749981214607
1997-05-26,1009.7772919495046
1997-05-27,1007.456897489495
1997-05-28,1005.4699524899964
1997-05-29,1005.9864186211089
1997-05-30,1007.5636312111291
1997-06-02,1016.747074349377
1997-06-03,1012.8298323334932
1997-06-04,1019.2891043507572
1997-06-05,1015.295756304448
1997-06-06,1019.5474377993281
1997-06-09,1020.8452666329182
1997-06-10,1019.2183922799842
1997-06-11,1027.1764206487885
1997-06-12,1036.6287320862298
1997-06-13,1045.223302699726
1997-06-16,1042.7373907250571
1997-06-17,1045.788332142935
1997-06-18,1050.3006362159174
1997-06-19,1057.130539593937
1997-06-20,1063.0116104759124
1997-06-23,1057.15013750574
1997-06-24,1058.777879940822
1997-06-25,1056.986367365273
1997-06-26,1056.8603848575258
1997-06-27,1066.4507095788422
1997-06-30,1068.5681948858266
1997-07-01,1074.7383062376418
1997-07-02,1082.508294880776
1997-07-03,1092.6800253949605
1997-07-04,1103.8213861369845
1997-07-07,1123.4623474152884
1997-07-08,1128.3860877790055
1997-07-09,1124.2618783980768
1997-07-10,1123.0540366371451
1997-07-11,1128.2239542737034
1997-07-14,1124.0586561856244
1997-07-15,1098.9167976563037
1997-07-16,1107.4999974953737
1997-07-17,1103.0268120691328
1997-07-18,1089.601964872654
1997-07-21,1081.227369740649
1997-07-22,1088.3341023816254
1997-07-23,1096.40041422856
1997-07-24,1102.8185424343262
1997-07-25,1110.7779357204015
1997-07-28,1114.3003130254162
1997-07-29,1114.6341789436522
1997-07-30,1119.9946191458027
1997-07-31,1133.493191988857
