Date,EM EUROPE SMALL VALUE
1996-11-29,148.24794826999587
1996-12-31,156.0462965331664
1997-01-01,156.0462965331664
1997-01-02,159.34197280956047
1997-01-03,160.8539487433667
1997-01-06,162.6289005970503
1997-01-07,165.1648790646983
1997-01-08,168.2565611223145
1997-01-09,168.85028052003295
1997-01-10,168.7851302530937
1997-01-13,168.3165050152213
1997-01-14,170.04114505204547
1997-01-15,171.137213869147
1997-01-16,173.38255565038233
1997-01-17,172.8109217106726
1997-01-20,172.2631696072741
1997-01-21,174.0020971997715
1997-01-22,172.66242979152355
1997-01-23,177.74642724676232
1997-01-24,186.01134720401598
1997-01-27,194.98245762972385
1997-01-28,184.114830330433
1997-01-29,186.78662775202568
1997-01-30,191.1335043841857
1997-01-31,190.90198639574353
1997-02-03,188.68593700671536
1997-02-04,182.49116589206167
1997-02-05,184.75716493576718
1997-02-06,189.50409153175957
1997-02-07,190.05120098123194
1997-02-10,191.35602824444248
1997-02-11,190.15073257752118
1997-02-12,190.37957139889568
1997-02-13,190.52707089878714
1997-02-14,188.29238469606133
1997-02-17,188.30800911892413
1997-02-18,191.72692168401224
1997-02-19,191.1044547809737
1997-02-20,191.85529920023657
1997-02-21,189.92057609042303
1997-02-24,191.7459781101995
1997-02-25,191.67325484434875
1997-02-26,189.7237611516243
1997-02-27,186.5037050334189
1997-02-28,185.6927085658041
1997-03-03,181.18883758567355
1997-03-04,175.22469856556071
1997-03-05,171.23995445946002
1997-03-06,176.14155427329464
1997-03-07,174.38621486444134
1997-03-10,176.51667200470138
1997-03-11,175.18988561925622
1997-03-12,172.42019126133135
1997-03-13,174.9076768046399
1997-03-14,173.56220461332114
1997-03-17,175.65528512466184
1997-03-18,177.87694589193381
1997-03-19,177.74363937773762
1997-03-20,176.21590144645234
1997-03-21,177.51468856551062
1997-03-24,176.3027019924344
1997-03-25,174.99590721759702
1997-03-26,175.57776700722997
1997-03-27,174.12717114605638
1997-03-28,174.19405392438773
1997-03-31,176.1992403300309
1997-04-01,173.9217421996581
1997-04-02,173.4011058653865
1997-04-03,171.36099466243218
1997-04-04,170.87105289414163
1997-04-07,167.98227747152922
1997-04-08,168.6719332641559
1997-04-09,168.1352320871415
1997-04-10,166.85201940349236
1997-04-11,165.35223480338797
1997-04-14,164.4759531149312
1997-04-15,165.62759415627522
1997-04-16,166.9064636743073
1997-04-17,169.14083225100677
1997-04-18,168.30906344916988
1997-04-21,169.74855846116932
1997-04-22,169.13912718991122
1997-04-23,169.85720109424946
1997-04-24,165.83901452602933
1997-04-25,163.869710721961
1997-04-28,161.28075803293348
1997-04-29,161.13951442361454
1997-04-30,161.55484317602335
1997-05-01,163.12622391355015
1997-05-02,160.59888356545144
1997-05-05,158.3265359553551
1997-05-06,160.5292968420497
1997-05-07,159.7813932541812
1997-05-08,158.91072000045048
1997-05-09,157.77825760866568
1997-05-12,155.29825983406235
1997-05-13,154.92157039467585
1997-05-14,154.57739016632405
1997-05-15,156.88564566003896
1997-05-16,155.98634054284523
1997-05-19,155.6072437501111
1997-05-20,156.85522236428486
1997-05-21,155.39607479833316
1997-05-22,152.38919528478257
1997-05-23,152.49828280596716
1997-05-26,151.44976177673658
1997-05-27,150.89356487571465
1997-05-28,151.85304560139048
1997-05-29,150.43488997185375
1997-05-30,150.7046252317305
1997-06-02,151.146538370815
1997-06-03,151.82688336380423
1997-06-04,151.84773780165702
1997-06-05,152.54077127346045
1997-06-06,152.1413332293703
1997-06-09,153.85166912532154
1997-06-10,152.8390477144077
1997-06-11,153.8489915377296
1997-06-12,151.75985145372758
1997-06-13,149.75019659833274
1997-06-16,150.07651458520496
1997-06-17,148.3244083743324
1997-06-18,149.7112080313618
1997-06-19,150.99432633096208
1997-06-20,150.79803058709302
1997-06-23,155.4059675690768
1997-06-24,151.68170651998278
1997-06-25,151.29669837932076
1997-06-26,151.96687600241745
1997-06-27,154.34352181703937
1997-06-30,156.49709952504247
1997-07-01,157.57676761182802
1997-07-02,159.4222960357584
1997-07-03,160.906716956438
1997-07-04,162.75075468000006
1997-07-07,163.8064580527515
1997-07-08,161.7517917316956
1997-07-09,163.9894884970228
1997-07-10,165.59531677736058
1997-07-11,164.02947358538245
1997-07-14,163.13753944783534
1997-07-15,161.0005391575465
1997-07-16,160.41470826028328
1997-07-17,162.23938527318677
1997-07-18,162.9295165121874
1997-07-21,161.00510037692706
1997-07-22,159.9597385405436
1997-07-23,158.1715641517033
1997-07-24,158.21908699274866
1997-07-25,155.85765491075603
1997-07-28,153.93825848998196
1997-07-29,154.733239223932
1997-07-30,156.32125143503367
1997-07-31,157.26717926844964
1997-08-01,155.28006060805535
1997-08-04,156.73417735513775
1997-08-05,155.22836021846675
1997-08-06,157.37294122988067
1997-08-07,158.42873965945483
1997-08-08,159.6883539670602
1997-08-11,160.25562017862322
1997-08-12,159.45942856797143
1997-08-13,158.619567942233
1997-08-14,157.24609802328118
1997-08-15,157.61903547276856
1997-08-18,154.5263536269061
1997-08-19,154.42271607378024
1997-08-20,152.94900736301386
1997-08-21,155.694015888279
1997-08-22,156.08481094679354
1997-08-25,155.0176881034619
1997-08-26,155.76263824063048
1997-08-27,155.37045418184692
1997-08-28,156.84282603627307
1997-08-29,156.23405877729448
1997-09-01,154.3925912248181
1997-09-02,154.58352067398113
1997-09-03,156.69848467806347
1997-09-04,158.69338070212527
1997-09-05,160.19563483136827
1997-09-08,162.54505257701797
1997-09-09,164.30447960575606
1997-09-10,166.03972079079392
1997-09-11,165.7533165503212
1997-09-12,166.7209214685677
1997-09-15,168.90734598459176
1997-09-16,167.917159729293
1997-09-17,171.72556072232243
1997-09-18,170.93868370950153
1997-09-19,171.37790522849144
1997-09-22,170.9155980784499
1997-09-23,172.06177890150286
1997-09-24,174.64300218228414
1997-09-25,177.09265015394217
1997-09-26,179.3452792454212
1997-09-29,181.4187203270481
1997-09-30,178.97558846390135
1997-10-01,178.01472858633227
1997-10-02,182.95946394902268
1997-10-03,183.8145754507611
1997-10-06,185.67040727135955
1997-10-07,185.87274768683534
1997-10-08,189.25632522945534
1997-10-09,189.55428481792003
1997-10-10,187.81813359556736
