Date,EM (EMERGING MARKETS) SMALL VALUE
1994-05-31,332.8213832369728
1994-06-30,337.72721717641394
1994-07-29,344.6796814786991
1994-08-31,381.3112000098053
1994-09-30,395.2345183797632
1994-10-31,410.10590678492764
1994-11-30,403.18769932442797
1994-12-30,395.4607126713684
1995-01-31,366.5089529263856
1995-02-28,352.76766144940706
1995-03-31,353.62675162356874
1995-04-28,353.7459436827719
1995-05-31,378.4611506611866
1995-06-30,375.8027918328388
1995-07-31,381.2659466751868
1995-08-31,357.5008846302617
1995-09-29,347.39948438323665
1995-10-31,330.8456646283133
1995-11-30,309.0315704704116
1995-12-29,310.83404471477286
1996-01-31,316.5764705681174
1996-02-29,326.12040120614205
1996-03-29,318.8132758838658
1996-04-30,328.65508038888544
1996-05-31,327.91668106567766
1996-06-28,324.5592958502669
1996-07-31,304.1100444629626
1996-08-30,298.38911964273626
1996-09-30,299.65013917591625
1996-10-31,289.9902450875823
1996-11-29,286.1887611166673
1996-12-31,285.7335433367487
1997-01-01,285.65228597764826
1997-01-02,287.62960094932424
1997-01-03,288.60220109909835
1997-01-06,287.8969977208118
1997-01-07,288.2731050189438
1997-01-08,289.8912414944278
1997-01-09,292.12608682242603
1997-01-10,293.90263968674185
1997-01-13,296.53061175343265
1997-01-14,299.23091113546354
1997-01-15,303.11969424003735
1997-01-16,304.4908660663125
1997-01-17,303.1333502396875
1997-01-20,306.2389829619966
1997-01-21,304.40229107672553
1997-01-22,304.34707248717785
1997-01-23,304.15437649437644
1997-01-24,305.38880699576725
1997-01-27,306.7303006720612
1997-01-28,304.76242641112464
1997-01-29,303.5320165144993
1997-01-30,305.23619776091823
1997-01-31,304.5828911656218
1997-02-03,303.40177562298385
1997-02-04,302.6878788315668
1997-02-05,303.628315035627
1997-02-06,305.3644021974104
1997-02-07,305.97178078904375
1997-02-10,307.42045247077476
1997-02-11,308.21026874662965
1997-02-12,309.5694820025211
1997-02-13,309.58459812759594
1997-02-14,308.690575911172
1997-02-17,310.88564309922793
1997-02-18,311.17720182693216
1997-02-19,313.2873609095641
1997-02-20,314.0947055222432
1997-02-21,313.65893662630066
1997-02-24,314.2207557302763
1997-02-25,315.53924940561114
1997-02-26,314.42370053054077
1997-02-27,313.22726910238976
1997-02-28,314.22982118756113
1997-03-03,314.59342880444325
1997-03-04,313.87294011879544
1997-03-05,312.78261022207704
1997-03-06,313.5906023034665
1997-03-07,315.6461046946761
1997-03-10,315.4506435259109
1997-03-11,315.1858759134489
1997-03-12,314.6681580822039
1997-03-13,313.78453520904617
1997-03-14,312.1450440222947
1997-03-17,314.09285456543853
1997-03-18,315.01551080764875
1997-03-19,313.1929698133746
1997-03-20,313.67543003025634
1997-03-21,310.6601329900478
1997-03-24,306.270854764416
1997-03-25,306.9810526578131
1997-03-26,310.1711736893431
1997-03-27,310.62393175279993
1997-03-28,310.8905084307114
1997-03-31,309.2440716746113
1997-04-01,309.1329914541145
1997-04-02,310.88200745106155
1997-04-03,311.09697929574384
1997-04-04,311.2675616225564
1997-04-07,311.0776665338239
1997-04-08,310.1329616469477
1997-04-09,312.5722350733963
1997-04-10,310.7025566076074
1997-04-11,310.4327629776451
1997-04-14,310.7739765215841
1997-04-15,311.2556229848708
1997-04-16,311.8031991311664
1997-04-17,311.2112195104921
1997-04-18,309.75093597938775
1997-04-21,310.9380410295597
1997-04-22,310.2426092604071
1997-04-23,312.2453857228897
1997-04-24,310.9578614947694
1997-04-25,311.0572780498485
1997-04-28,309.6733229464184
1997-04-29,308.5207351913069
1997-04-30,308.8249411772068
1997-05-01,309.35603848422505
1997-05-02,306.6626101644483
1997-05-05,306.17043388840517
1997-05-06,306.74531812300796
1997-05-07,305.69935142659915
1997-05-08,305.80321029215946
