Date,EM EASTERN EUROPE SMALL VALUE
1996-11-29,116.20537724328122
1996-12-31,124.557925244228
1997-01-01,124.557925244228
1997-01-02,125.08782677062888
1997-01-03,124.8392993008451
1997-01-06,125.72065998708209
1997-01-07,127.15070351942124
1997-01-08,128.99819447558994
1997-01-09,130.56176894517384
1997-01-10,129.9765607586382
1997-01-13,129.69306551344943
1997-01-14,129.63212506030533
1997-01-15,131.52085020128547
1997-01-16,133.4884244226328
1997-01-17,132.1318582199848
1997-01-20,132.54798676330088
1997-01-21,133.73359498308167
1997-01-22,132.13257884638347
1997-01-23,132.77047697380962
1997-01-24,133.3308798225786
1997-01-27,133.29710392726116
1997-01-28,131.6769680234132
1997-01-29,130.93628084943435
1997-01-30,131.32716540750988
1997-01-31,132.26117450593514
1997-02-03,132.33278197161926
1997-02-04,132.22564214156304
1997-02-05,132.79491374000267
1997-02-06,134.2972677107892
1997-02-07,135.0745330172495
1997-02-10,136.5942000626322
1997-02-11,135.10196012407292
1997-02-12,134.50059605743905
1997-02-13,133.72800498310616
1997-02-14,134.75481797694573
1997-02-17,134.797563992879
1997-02-18,135.60877644149323
1997-02-19,133.85891139008496
1997-02-20,134.00391199367957
1997-02-21,134.56742282896954
1997-02-24,136.05624442667937
1997-02-25,136.95738589815545
1997-02-26,137.42604732130562
1997-02-27,135.19872070373322
1997-02-28,132.62738473437244
1997-03-03,132.18042256080454
1997-03-04,131.42084856219498
1997-03-05,130.88425600568047
1997-03-06,129.78010432412816
1997-03-07,129.58157022179807
1997-03-10,130.28708331302124
1997-03-11,129.26785634697393
1997-03-12,129.91432810287685
1997-03-13,129.26323895068865
1997-03-14,126.99619304212484
1997-03-17,126.31593222723416
1997-03-18,126.85142708506153
1997-03-19,124.9277870157656
1997-03-20,123.14445803892833
1997-03-21,124.81087469907699
1997-03-24,124.33838160369989
1997-03-25,125.047191251668
1997-03-26,125.33585945702943
1997-03-27,127.80485006556825
1997-03-28,127.5841603149789
1997-03-31,127.86744987762447
1997-04-01,126.47282231327867
1997-04-02,125.60391467731974
1997-04-03,124.53215433735181
1997-04-04,123.970954905956
1997-04-07,122.7289354937248
1997-04-08,123.16670419160182
1997-04-09,123.68495072908635
1997-04-10,123.59420837968378
1997-04-11,123.0329038619245
1997-04-14,121.75131501452161
1997-04-15,121.090672749012
1997-04-16,122.670523030044
1997-04-17,123.91458627412607
1997-04-18,124.06310587749066
1997-04-21,125.3017295789806
1997-04-22,125.16498686849677
1997-04-23,126.1893872467973
1997-04-24,125.29365828677916
1997-04-25,123.42730303283044
1997-04-28,121.89746210806358
1997-04-29,122.0585922462397
1997-04-30,122.89997866679947
1997-05-01,123.37230741094731
1997-05-02,122.54316726546837
1997-05-05,122.34361003127694
1997-05-06,123.29691737623175
1997-05-07,120.90431493282422
1997-05-08,120.4877886815708
1997-05-09,120.65058500892421
1997-05-12,120.22833229309565
1997-05-13,119.87735278848027
1997-05-14,120.20767870704232
1997-05-15,120.9995285784874
1997-05-16,121.50451546764255
1997-05-19,121.1747171200212
1997-05-20,121.96126290262347
1997-05-21,120.00548847350906
1997-05-22,117.51140985854896
1997-05-23,118.51191123954705
1997-05-26,117.37618372089837
1997-05-27,113.45836110138163
1997-05-28,114.97897823018012
1997-05-29,115.53849494833005
1997-05-30,114.97983964429862
1997-06-02,114.36620646524776
1997-06-03,114.95806692023073
1997-06-04,114.83597575097366
1997-06-05,113.79285249126232
1997-06-06,114.38746747400138
1997-06-09,116.67633920989381
1997-06-10,116.49806042987308
1997-06-11,116.92693001929332
1997-06-12,116.78910708538251
1997-06-13,116.32754318052514
1997-06-16,116.43048006697236
1997-06-17,116.65714608439015
1997-06-18,117.17191102669175
1997-06-19,116.11714754864997
1997-06-20,115.44453442900034
1997-06-23,115.61245636708296
1997-06-24,115.01269418846852
1997-06-25,115.46018599898804
1997-06-26,113.88535849731014
1997-06-27,112.95931697003057
1997-06-30,112.91895882438274
1997-07-01,113.7398369633781
1997-07-02,113.82259841453578
1997-07-03,114.94240852025871
1997-07-04,116.29461848235933
1997-07-07,117.6197274944283
1997-07-08,116.66535218196958
1997-07-09,116.87241567813858
1997-07-10,116.47230669254883
1997-07-11,114.65283976777317
1997-07-14,112.47810670186165
1997-07-15,110.36862733790275
1997-07-16,111.49907978637955
1997-07-17,112.2655278722302
1997-07-18,112.90795702769053
1997-07-21,112.18332987562984
1997-07-22,111.59487147142036
1997-07-23,112.08294101025633
1997-07-24,111.6824508270639
1997-07-25,111.66494990822918
1997-07-28,111.14719712038072
1997-07-29,111.40811450520502
1997-07-30,111.31123375557597
1997-07-31,111.70198987817874
1997-08-01,110.51730475641028
1997-08-04,110.71235818245631
1997-08-05,110.5052975351205
1997-08-06,112.47988303300053
1997-08-07,113.17371366886506
