Date,EM FAR EAST SMALL VALUE
1998-05-29,270.6566573630206
1998-06-01,259.02450881689754
1998-06-02,257.8598334058341
1998-06-03,259.12499107815296
1998-06-04,254.55307799123267
1998-06-05,255.91784436102265
1998-06-08,255.41069540919722
1998-06-09,253.23236622188423
1998-06-10,243.53139705962107
1998-06-11,241.54610411393787
1998-06-12,236.68120239953132
1998-06-15,230.0920253096334
1998-06-16,229.832684751568
1998-06-17,238.56273079945507
1998-06-18,249.8163627589413
1998-06-19,249.6381759732319
1998-06-22,244.7600657478919
1998-06-23,243.17971548566825
1998-06-24,241.7398168922083
1998-06-25,242.10558340142458
1998-06-26,239.28598221537922
1998-06-29,234.33534760451175
1998-06-30,235.3501035106745
1998-07-01,237.42889309196045
1998-07-02,238.0583619518615
1998-07-03,238.60869844408865
1998-07-06,238.83019000248808
1998-07-07,239.50306947993855
1998-07-08,239.9404573486974
1998-07-09,237.61278305367472
1998-07-10,234.25925111717928
1998-07-13,231.58353906955136
1998-07-14,233.3208497246513
1998-07-15,236.92477585556674
1998-07-16,241.43481888461747
1998-07-17,245.64250770384595
1998-07-20,247.41742033803104
1998-07-21,246.75206186798212
1998-07-22,244.8164148974562
1998-07-23,241.80739380123885
1998-07-24,244.7874068083452
1998-07-27,243.196830690306
1998-07-28,241.02509561380518
1998-07-29,239.31569338188032
1998-07-30,239.42578302236163
1998-07-31,239.55125894060188
1998-08-03,233.36214327468088
1998-08-04,232.42901151329502
1998-08-05,227.89292349111247
1998-08-06,222.67568237379112
1998-08-07,221.52484265559602
1998-08-10,214.5951697531697
1998-08-11,213.15928648089755
1998-08-12,213.2258390425761
1998-08-13,213.48118897003494
1998-08-14,213.90973281025916
1998-08-17,211.40151762965175
1998-08-18,209.34206878358623
1998-08-19,217.5468293866851
1998-08-20,220.27657887420014
1998-08-21,215.81070460202218
1998-08-24,210.67004554987375
1998-08-25,210.0459658987584
1998-08-26,207.97965636622945
1998-08-27,206.35434507472354
1998-08-28,202.53503314090273
1998-08-31,199.1843351528208
1998-09-01,198.86748552130246
1998-09-02,205.51253192428518
1998-09-03,209.31276767037957
1998-09-04,224.72613207713155
1998-09-07,251.76349308517314
1998-09-08,230.87479872599232
1998-09-09,236.62347362227467
1998-09-10,233.09877531792952
1998-09-11,227.213300502781
1998-09-14,234.03515230092788
1998-09-15,234.75074670865789
1998-09-16,240.8117520100019
1998-09-17,238.97890966877694
1998-09-18,239.90062819682996
1998-09-21,234.70588678046207
1998-09-22,234.87315071295077
1998-09-23,231.76436554151505
1998-09-24,238.65449037489014
1998-09-25,238.38824512035595
1998-09-28,238.9513973101384
1998-09-29,238.68995513517692
1998-09-30,213.9209204443934
1998-10-01,211.2633207394815
1998-10-02,208.94732149392138
1998-10-05,208.56114173043719
1998-10-06,214.2095889859411
1998-10-07,217.33448023355857
1998-10-08,224.36550560462265
1998-10-09,229.91040219684635
1998-10-12,237.00212896123023
1998-10-13,233.00489600551285
1998-10-14,231.47636338014948
1998-10-15,237.28205969597238
1998-10-16,242.0498646225484
1998-10-19,244.8669353149664
1998-10-20,252.85583779883177
1998-10-21,255.30798211537763
1998-10-22,254.49813209574756
1998-10-23,252.77017965308784
1998-10-26,251.47059021559787
1998-10-27,248.21814334456954
1998-10-28,249.24483647368686
1998-10-29,251.9091493234717
1998-10-30,250.24383407848342
1998-11-02,255.45785303305024
1998-11-03,256.1907488806459
1998-11-04,259.10877090164865
1998-11-05,263.8357155601801
1998-11-06,268.7416487726782
1998-11-09,271.89402331621505
1998-11-10,264.7229104048653
1998-11-11,268.217860495775
1998-11-12,262.78841135115806
1998-11-13,264.14459271725684
1998-11-16,270.02878431766203
1998-11-17,272.4112286893787
1998-11-18,274.6249936445816
1998-11-19,280.13738336760673
1998-11-20,286.31719281302554
1998-11-23,298.00709912917125
1998-11-24,299.8313602004794
1998-11-25,302.4292728906758
1998-11-26,302.97481577933235
1998-11-27,302.8906369692971
1998-11-30,304.9632028412754
1998-12-01,302.1596176851911
1998-12-02,302.8986973292425
1998-12-03,303.5347183927004
1998-12-04,306.18506610593835
1998-12-07,323.9438423476077
1998-12-08,323.5117242989072
1998-12-09,329.98660073191974
1998-12-10,339.34932659940165
1998-12-11,342.8830331842674
1998-12-14,351.328724130195
1998-12-15,365.07175732256644
1998-12-16,347.94014516539045
1998-12-17,329.98274930624063
1998-12-18,327.23432879588114
1998-12-21,339.72272242617083
1998-12-22,329.14990805219577
1998-12-23,324.9177839969989
1998-12-24,325.7278861069943
1998-12-25,327.377993828665
1998-12-28,324.80684720045144
1998-12-29,322.2750134026883
1998-12-30,323.6224496532328
1998-12-31,323.7158742599878
1999-01-01,323.7158742599878
1999-01-04,333.59886876923855
1999-01-05,340.12348607904175
1999-01-06,349.7776691337073
1999-01-07,357.50874131933546
1999-01-08,357.6314407004157
1999-01-11,367.53702162447445
1999-01-12,368.8769962281916
1999-01-13,366.5261044866022
1999-01-14,351.809453075232
1999-01-15,358.49204812677726
1999-01-18,361.46787657072457
1999-01-19,356.8884717494244
1999-01-20,353.30909859124444
1999-01-21,338.51948893014963
1999-01-22,323.85885568898505
1999-01-25,311.20738240382
1999-01-26,307.24687489528014
1999-01-27,319.22462799114146
1999-01-28,320.8538409334202
1999-01-29,321.8095453110244
1999-02-01,324.69751844032805
1999-02-02,319.09546308948876
1999-02-03,313.52572021219305
1999-02-04,307.9162884509885
1999-02-05,305.46137715157596
1999-02-08,308.2951895188932
1999-02-09,298.7540681195523
1999-02-10,301.3479143028342
1999-02-11,302.0719670138503
1999-02-12,311.70338805112686
1999-02-15,311.6716374406125
1999-02-16,311.17889174409845
1999-02-17,310.26355578441644
1999-02-18,306.77468658137855
1999-02-19,298.3793501027542
1999-02-22,296.582009021892
1999-02-23,294.0012910506961
1999-02-24,289.5814242442564
1999-02-25,288.3970947390151
1999-02-26,296.1686097633147
1999-03-01,298.478925866822
1999-03-02,300.8150192083329
1999-03-03,299.63580264416595
1999-03-04,298.77613092927595
1999-03-05,300.2190769631512
1999-03-08,309.35988764816824
1999-03-09,307.8414172625523
1999-03-10,308.1827775929216
1999-03-11,312.26101818682776
1999-03-12,315.3833840811628
1999-03-15,320.1639932507261
1999-03-16,322.0996945676959
1999-03-17,321.6237049833246
1999-03-18,319.25201987563605
1999-03-19,328.16617005648243
1999-03-22,329.4762682617584
1999-03-23,331.7439057000498
1999-03-24,333.1258032437396
1999-03-25,336.0536476290855
1999-03-26,336.4879521571443
1999-03-29,333.43180711280814
1999-03-30,336.73895573745045
1999-03-31,336.61866685806814
1999-04-01,340.3960258127652
1999-04-02,346.12386251480734
1999-04-05,346.01342476517897
1999-04-06,354.2254830872564
1999-04-07,356.6594067064087
1999-04-08,361.04240392870395
1999-04-09,364.47793923092695
1999-04-12,364.13581674602705
1999-04-13,366.5698640407673
1999-04-14,370.30466271478593
1999-04-15,383.4391899950526
1999-04-16,388.6732992195981
1999-04-19,399.4081217066508
1999-04-20,409.6353055931332
1999-04-21,403.17928594513813
1999-04-22,402.5459530624192
1999-04-23,409.2342350400171
1999-04-26,422.4040418768161
1999-04-27,430.94841037071484
1999-04-28,435.17366297237373
1999-04-29,435.090358210444
1999-04-30,445.07887475066497
1999-05-03,453.3627988148199
1999-05-04,473.2915890527892
1999-05-05,477.26663369632774
1999-05-06,488.5671235024715
1999-05-07,482.89330710350174
1999-05-10,490.8548539304256
1999-05-11,482.75760247858665
1999-05-12,473.6456367618375
1999-05-13,458.51337377143744
1999-05-14,451.344286345364
1999-05-17,440.07805135795473
1999-05-18,443.75908139973194
1999-05-19,446.163306335155
1999-05-20,437.60075291375585
1999-05-21,437.57298724249716
1999-05-24,435.2147372343019
1999-05-25,437.54924931553154
1999-05-26,446.17014406383436
1999-05-27,448.5448957904669
1999-05-28,446.90461536554244
1999-05-31,443.17336281235043
1999-06-01,444.6648574554308
1999-06-02,449.25546015342906
1999-06-03,452.24760436322
1999-06-04,455.4632137480698
1999-06-07,465.07622736599905
1999-06-08,481.9786140565612
1999-06-09,477.1163309834202
1999-06-10,485.425810625097
1999-06-11,489.8825897429578
1999-06-14,490.5258980000208
1999-06-15,480.37081182133556
1999-06-16,480.6605622217599
1999-06-17,484.32682766775866
1999-06-18,483.6035112315369
1999-06-21,490.69998322273443
1999-06-22,501.39220309807337
1999-06-23,510.6457144430902
1999-06-24,511.8826835581486
1999-06-25,508.8124836382317
1999-06-28,511.8874161427785
1999-06-29,512.7205953444358
1999-06-30,504.91218109370425
1999-07-01,507.94714586645995
1999-07-02,514.2503624316315
1999-07-05,526.8442246648895
1999-07-06,529.0539844550957
1999-07-07,530.4948028808757
1999-07-08,536.1283963076904
1999-07-09,542.0225393145139
1999-07-12,540.0060921545764
1999-07-13,527.8348273324767
1999-07-14,511.17813844469265
1999-07-15,513.6692240617707
1999-07-16,511.562863228789
1999-07-19,510.06776964210195
1999-07-20,513.0213132546747
1999-07-21,501.3260649761961
1999-07-22,497.9446802637166
1999-07-23,477.34228593737515
1999-07-26,456.16261857337787
1999-07-27,465.09147589104526
1999-07-28,476.819783120994
1999-07-29,483.53886281584755
1999-07-30,476.9755378218186
1999-08-02,474.2817714587682
1999-08-03,480.1911151233513
1999-08-04,479.4681484980504
1999-08-05,463.2602776833943
1999-08-06,460.168907458906
1999-08-09,460.45205292547877
1999-08-10,453.06795492004517
1999-08-11,439.55140473206563
1999-08-12,445.76042582977624
1999-08-13,438.87403050051876
1999-08-16,442.8855627692738
1999-08-17,432.6699316326325
1999-08-18,435.72345561299403
1999-08-19,453.44600020875515
1999-08-20,452.7254257808905
1999-08-23,462.09326496388695
1999-08-24,458.84285411704263
1999-08-25,467.60809777909975
1999-08-26,462.0921195041749
1999-08-27,453.44468811432733
1999-08-30,447.38712612791636
1999-08-31,448.82733474695044
1999-09-01,438.51510365927294
1999-09-02,429.45289504613095
1999-09-03,426.7374019419283
1999-09-06,425.8843188179711
1999-09-07,426.23567862942514
1999-09-08,416.3202920258289
1999-09-09,421.05039739452394
1999-09-10,433.1984161482768
1999-09-13,440.8847005842363
1999-09-14,438.68303619313235
1999-09-15,431.49685969124863
1999-09-16,425.70518411362593
1999-09-17,424.0590712171493
1999-09-20,422.9663337742591
1999-09-21,423.55341845628317
1999-09-22,417.82035854753644
1999-09-23,413.1842114740415
