Date,EM GCC COUNTRIES SMALL VALUE
2014-05-30,1000.0
2014-06-02,1022.8589932563052
2014-06-03,1012.7383978924765
2014-06-04,1008.048633491458
2014-06-05,1023.2541044999955
2014-06-06,1023.2410752544797
2014-06-09,976.7140908352467
2014-06-10,951.8840862848868
2014-06-11,956.2008614585841
2014-06-12,970.9397626870169
2014-06-13,970.9333882292736
2014-06-16,917.8932581446545
2014-06-17,923.7907609441605
2014-06-18,921.8995132100438
2014-06-19,931.6891476063066
2014-06-20,931.6891476063066
2014-06-23,893.224473319927
2014-06-24,845.2586385968414
2014-06-25,864.5890862671323
2014-06-26,857.9918499913196
2014-06-27,857.9862027393432
2014-06-30,821.3697091491324
2014-07-01,853.1343117443075
2014-07-02,899.827079210462
2014-07-03,901.2386366856831
2014-07-04,901.2448813460027
2014-07-07,930.9682226346214
2014-07-08,935.1410980480389
2014-07-09,937.11062136033
2014-07-10,949.913033677717
2014-07-11,949.913033677717
2014-07-14,962.867682811609
2014-07-15,971.3925197932115
2014-07-16,975.5660545129699
2014-07-17,991.699849780761
2014-07-18,991.699849780761
2014-07-21,976.451114815389
2014-07-22,978.3158138932406
2014-07-23,970.2955527855407
2014-07-24,968.4255501130186
2014-07-25,968.4255501130186
2014-07-28,972.6830071559716
2014-07-29,972.7033841213913
2014-07-30,972.7033841213915
2014-07-31,975.5503710757479
2014-08-01,975.5503710757479
2014-08-04,982.4823372298239
2014-08-05,996.1000353676982
2014-08-06,985.39395116621
2014-08-07,987.4799900241949
2014-08-08,987.4799900241949
2014-08-11,1001.8601334262287
2014-08-12,1005.4056382597488
2014-08-13,1007.6383576349614
2014-08-14,1002.9342753045686
2014-08-15,1002.9133217224863
2014-08-18,1001.4219311679163
2014-08-19,1009.3069125944144
2014-08-20,1008.1630440357305
2014-08-21,1012.0587560898555
2014-08-22,1012.0222579346225
2014-08-25,1021.0754651228791
2014-08-26,1014.0235726658036
2014-08-27,1012.311393763856
2014-08-28,998.459711204333
