Date,AC FAR EAST ex JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1004.7685135079814
1999-01-05,1025.4058436753821
1999-01-06,1068.6128596246763
1999-01-07,1101.2979246435445
1999-01-08,1110.9563601639022
1999-01-11,1121.2288866244896
1999-01-12,1109.0523187934052
1999-01-13,1061.0116886750752
1999-01-14,1027.7203535755145
1999-01-15,1058.2484111159658
1999-01-18,1068.081547219705
1999-01-19,1058.5077334800158
1999-01-20,1061.2322089018483
1999-01-21,1042.86833302092
1999-01-22,1016.6752477313104
1999-01-25,979.8203099888235
1999-01-26,984.1747802218284
1999-01-27,1010.184501513475
1999-01-28,1012.3971684499891
1999-01-29,1020.7541770633403
1999-02-01,1025.0935386147974
1999-02-02,1007.10170337325
1999-02-03,993.9263810645281
1999-02-04,989.2334005370122
1999-02-05,977.6573067829479
1999-02-08,967.8135703671999
1999-02-09,957.4647064326557
1999-02-10,956.592982527073
1999-02-11,964.9108887628873
1999-02-12,985.5697164450337
1999-02-15,989.1022644095716
1999-02-16,994.9010856975755
1999-02-17,986.4696046351434
1999-02-18,977.5171373072499
1999-02-19,977.1658994518533
1999-02-22,979.403859915554
1999-02-23,978.5314202493815
1999-02-24,976.7399124589182
1999-02-25,969.2915263955065
1999-02-26,1023.3577217537133
1999-03-01,1025.995381546815
1999-03-02,1020.7480915097647
1999-03-03,1021.6575012476458
1999-03-04,1024.7040330335126
1999-03-05,1024.5415145777024
1999-03-08,1031.9513529057538
1999-03-09,1030.0502763102475
1999-03-10,1021.2519826362052
1999-03-11,1036.2274940484936
1999-03-12,1036.2581158598205
1999-03-15,1043.755015219701
1999-03-16,1050.651984934229
1999-03-17,1046.6195724177499
1999-03-18,1049.99771408784
1999-03-19,1079.271804040667
1999-03-22,1082.9818684855236
1999-03-23,1088.0709386352812
1999-03-24,1075.6540273525418
1999-03-25,1089.056368543243
1999-03-26,1102.4681248841416
1999-03-29,1100.2902048513076
1999-03-30,1102.5873457705186
1999-03-31,1103.597962825767
1999-04-01,1127.4454651684803
1999-04-02,1151.267362828714
1999-04-05,1152.969352264031
1999-04-06,1169.0252195707862
1999-04-07,1171.3559069893845
1999-04-08,1179.9292056990487
1999-04-09,1209.9097233488922
1999-04-12,1198.3149752433055
1999-04-13,1220.205748649501
1999-04-14,1229.57793638608
1999-04-15,1274.7484359247683
1999-04-16,1313.4592442246233
1999-04-19,1370.8643571486318
1999-04-20,1369.8214777867524
1999-04-21,1360.554831226542
1999-04-22,1381.0839657608587
1999-04-23,1388.1816599904093
1999-04-26,1428.0548500096645
1999-04-27,1438.5922122318213
1999-04-28,1446.8629384653402
1999-04-29,1456.9102694140165
1999-04-30,1488.8378919095253
1999-05-03,1519.256644509553
1999-05-04,1565.7483302272765
1999-05-05,1579.5098199924478
1999-05-06,1605.69215154066
1999-05-07,1584.1724527982299
1999-05-10,1588.979871155542
1999-05-11,1608.5909730337876
1999-05-12,1618.9827177854158
1999-05-13,1601.176208398487
1999-05-14,1602.576328074044
1999-05-17,1570.7632719663952
1999-05-18,1589.1199372872766
1999-05-19,1594.2088354021378
1999-05-20,1597.280640740379
1999-05-21,1609.255962721124
1999-05-24,1608.6609575304515
1999-05-25,1621.7411839815827
1999-05-26,1649.4287144997395
1999-05-27,1668.9930834614197
1999-05-28,1647.3156715819673
1999-05-31,1639.6018297684666
1999-06-01,1665.9822088266794
1999-06-02,1682.2686579610859
1999-06-03,1694.4033375053175
1999-06-04,1712.6244606912148
1999-06-07,1748.3318370484744
1999-06-08,1783.1090169667063
1999-06-09,1771.4757885979814
1999-06-10,1802.5460348656006
1999-06-11,1835.063980796555
1999-06-14,1881.1456135579313
1999-06-15,1864.4555022197137
1999-06-16,1902.294503763148
1999-06-17,1932.6478158388945
1999-06-18,1929.6003549261584
1999-06-21,1990.7600250134958
1999-06-22,2041.820630632798
1999-06-23,2068.405522161453
1999-06-24,2066.234521907747
1999-06-25,2030.3071508323535
1999-06-28,2081.3812113959993
1999-06-29,2111.576678275467
1999-06-30,2083.7923638311945
1999-07-01,2119.8722056560946
1999-07-02,2152.6210512634975
1999-07-05,2173.480631681606
1999-07-06,2184.751004115101
1999-07-07,2171.8585750889592
1999-07-08,2200.4755590993964
1999-07-09,2226.4149921327635
1999-07-12,2232.6817525372917
1999-07-13,2180.2885628163813
1999-07-14,2140.0250189218687
1999-07-15,2144.597239394484
1999-07-16,2131.4096243735717
1999-07-19,2122.097032168637
1999-07-20,2081.7920861249795
1999-07-21,2048.1863026778065
1999-07-22,2023.1602642438072
1999-07-23,1963.2711867002513
1999-07-26,1839.015324860629
1999-07-27,1872.8529215158387
1999-07-28,1913.1154802664987
1999-07-29,1913.7883340333528
1999-07-30,1893.8755274248945
1999-08-02,1867.12301901473
1999-08-03,1891.0705381330413
