Date,AC PACIFIC EX JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1010.7337023231884
1999-01-05,1030.0622341229857
1999-01-06,1071.651380876242
1999-01-07,1108.2403629795974
1999-01-08,1113.1291015689726
1999-01-11,1123.2302391249748
1999-01-12,1114.0187633130427
1999-01-13,1064.810158377952
1999-01-14,1030.297906698624
1999-01-15,1060.8636207820734
1999-01-18,1072.1293720670951
1999-01-19,1063.8380625438856
1999-01-20,1067.6413221679275
1999-01-21,1042.2985860139731
1999-01-22,1009.1106653613406
1999-01-25,971.4771285981432
1999-01-26,976.3254672552813
1999-01-27,1004.0404396379896
1999-01-28,1008.8462979133893
1999-01-29,1017.8695266680572
1999-02-01,1025.5683304621616
1999-02-02,1013.5772492676757
1999-02-03,1005.6937568745042
1999-02-04,998.249824613438
1999-02-05,991.7196932570067
1999-02-08,994.2848099229012
1999-02-09,972.6904013606915
1999-02-10,970.9078774657088
1999-02-11,976.0481423070944
1999-02-12,993.921166219179
1999-02-15,996.9062716910415
1999-02-16,999.6596855221229
1999-02-17,990.7449219566201
1999-02-18,984.791569115231
1999-02-19,987.6094231177481
1999-02-22,993.6479669215289
1999-02-23,993.7450194939694
1999-02-24,992.6487436035337
1999-02-25,981.569492498565
1999-02-26,1003.2718764435479
1999-03-01,1010.9186946300662
1999-03-02,1007.6401512117615
1999-03-03,1012.4832350054888
1999-03-04,1015.541833452549
1999-03-05,1017.5343247930651
1999-03-08,1026.4785152529632
1999-03-09,1022.0742993123534
1999-03-10,1014.8569182885661
1999-03-11,1032.500260706856
1999-03-12,1031.448017683924
1999-03-15,1041.88319750845
1999-03-16,1049.9829350236369
1999-03-17,1045.802554638453
1999-03-18,1048.4598729570123
1999-03-19,1077.436521921491
1999-03-22,1086.1340497580707
1999-03-23,1094.1420227525148
1999-03-24,1083.6875950591639
1999-03-25,1093.6550613947568
1999-03-26,1106.6690749825573
1999-03-29,1104.074192588488
1999-03-30,1104.9659825442266
1999-03-31,1101.8713845739844
1999-04-01,1118.9856894475674
1999-04-02,1135.6154491135985
1999-04-05,1142.042047428635
1999-04-06,1153.1455919224472
1999-04-07,1156.801112378145
1999-04-08,1166.023951893424
1999-04-09,1192.7395683174905
1999-04-12,1182.6432067179971
1999-04-13,1202.5584711475758
1999-04-14,1214.43420986005
1999-04-15,1256.279981980092
1999-04-16,1295.4346534326412
1999-04-19,1350.5443193742988
1999-04-20,1349.1728887255615
1999-04-21,1342.4659508697175
1999-04-22,1356.335190263221
1999-04-23,1360.7206823920815
1999-04-26,1389.9358255575278
1999-04-27,1405.515753279826
1999-04-28,1414.4363657717206
1999-04-29,1421.9022615579233
1999-04-30,1456.9321533052134
1999-05-03,1490.2501482233656
1999-05-04,1537.7040138143334
1999-05-05,1544.5133135512797
1999-05-06,1572.3070273463286
1999-05-07,1553.4772508264844
1999-05-10,1550.8303663987801
1999-05-11,1558.3985568402427
1999-05-12,1570.8502620475967
1999-05-13,1548.6139573615028
1999-05-14,1545.1355270113725
1999-05-17,1507.7389835179579
1999-05-18,1512.8667854107969
1999-05-19,1514.8594005774037
1999-05-20,1510.6886670445806
1999-05-21,1521.5610854250333
1999-05-24,1535.7495506070886
1999-05-25,1540.012549825175
1999-05-26,1566.3581738477171
1999-05-27,1585.0392136955813
1999-05-28,1568.9674547353702
1999-05-31,1567.4152444165966
1999-06-01,1579.9688914699732
1999-06-02,1602.5072864147446
1999-06-03,1617.018430807589
1999-06-04,1639.438888177034
1999-06-07,1680.0530097463497
1999-06-08,1701.3447975405322
1999-06-09,1692.2074999631336
1999-06-10,1715.0948306235525
1999-06-11,1740.8488051186087
1999-06-14,1774.4292223539967
1999-06-15,1760.215657130183
1999-06-16,1787.3812995328415
1999-06-17,1817.8129138398099
1999-06-18,1816.7594531285088
1999-06-21,1874.326830547998
1999-06-22,1918.9827702556915
1999-06-23,1943.852328219513
1999-06-24,1939.689511249463
1999-06-25,1904.3594995614244
1999-06-28,1947.2372071095278
1999-06-29,1970.278479870681
1999-06-30,1948.9779998293127
1999-07-01,1976.1086548282979
1999-07-02,2003.9767734387917
1999-07-05,2024.5755516481286
1999-07-06,2031.5405499237768
1999-07-07,2020.1815969104202
1999-07-08,2037.9498263646024
1999-07-09,2050.639088593721
1999-07-12,2048.872105477828
1999-07-13,2004.0275945648973
1999-07-14,1953.3563761033315
1999-07-15,1956.4602475168645
1999-07-16,1950.4495260809322
1999-07-19,1945.5707082445817
1999-07-20,1913.2674451369633
1999-07-21,1870.8730766128247
1999-07-22,1856.7403379331563
1999-07-23,1807.331515963932
1999-07-26,1715.3171847110057
1999-07-27,1723.4722530853956
1999-07-28,1775.7071755061977
1999-07-29,1784.6482239702743
1999-07-30,1770.7965758118448
1999-08-02,1765.6634903003007
1999-08-03,1783.596803673128
