Date,ACWI ex USA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0000691818698
1999-01-04,1007.9254015290887
1999-01-05,1016.1683797563377
1999-01-06,1039.1657325372285
1999-01-07,1048.1986800328953
1999-01-08,1056.0251458819516
1999-01-11,1060.5177943370475
1999-01-12,1044.0416742406003
1999-01-13,998.7799017372881
1999-01-14,991.0438058397139
1999-01-15,1007.5580310064535
1999-01-18,1015.735513384341
1999-01-19,1011.8341219291531
1999-01-20,1018.6036762065451
1999-01-21,1010.2556590922792
1999-01-22,991.9364252592201
1999-01-25,984.3851676354831
1999-01-26,989.8904195133518
1999-01-27,1001.8810333525448
1999-01-28,1005.3974125120019
1999-01-29,1014.930001096344
1999-02-01,1027.655273872789
1999-02-02,1026.4168682382463
1999-02-03,1021.8084754672874
1999-02-04,1023.0783862380904
1999-02-05,1018.6860864049036
1999-02-08,1020.2186884845582
1999-02-09,1005.8886072390503
1999-02-10,1003.2017732622737
1999-02-11,1012.1363579885757
1999-02-12,1021.1888452239441
1999-02-15,1025.4301720928038
1999-02-16,1028.0314522668316
1999-02-17,1018.8398180300188
1999-02-18,1016.3334419554976
1999-02-19,1021.7688830259001
1999-02-22,1030.1205856426293
1999-02-23,1031.4251303137025
1999-02-24,1032.4117881780662
1999-02-25,1025.9988441487608
1999-02-26,1036.5046349960196
1999-03-01,1038.8655359808986
1999-03-02,1034.2103380244896
1999-03-03,1038.0552994716807
1999-03-04,1042.5469998723704
1999-03-05,1058.9424473650433
1999-03-08,1064.8508933003009
1999-03-09,1071.1539692728988
1999-03-10,1075.1567750613403
1999-03-11,1090.7283711264056
1999-03-12,1089.4249443076067
1999-03-15,1099.3618897557817
1999-03-16,1109.5764284559598
1999-03-17,1105.5589142047158
1999-03-18,1103.7573803039822
1999-03-19,1126.2314937640383
1999-03-22,1128.0466583173645
1999-03-23,1124.523613495524
1999-03-24,1111.8331525368033
1999-03-25,1129.2792510757095
1999-03-26,1137.7683498190506
1999-03-29,1142.513594445911
1999-03-30,1139.4504409203598
1999-03-31,1145.2128864918714
1999-04-01,1148.590810565456
1999-04-02,1153.2190389158955
1999-04-05,1157.6061696749614
1999-04-06,1167.1270548931857
1999-04-07,1171.4399275247174
1999-04-08,1176.833040364584
1999-04-09,1185.6079534371809
1999-04-12,1177.2860946071485
1999-04-13,1191.4519513736043
1999-04-14,1203.6623294893034
1999-04-15,1221.8780292510196
1999-04-16,1246.912422292184
1999-04-19,1274.1064409238543
1999-04-20,1264.0136134587378
1999-04-21,1260.3853526017956
1999-04-22,1266.8601405687073
1999-04-23,1268.5962007790029
1999-04-26,1278.5016783336112
1999-04-27,1282.5402780189431
1999-04-28,1291.7795258087012
1999-04-29,1299.5755879246194
1999-04-30,1311.6826926027913
1999-05-03,1326.27211282933
1999-05-04,1338.756528537846
1999-05-05,1336.2598840526616
1999-05-06,1351.5776093583281
1999-05-07,1347.6336595187965
1999-05-10,1353.0951338259495
1999-05-11,1359.7668627006653
1999-05-12,1360.5463240059921
1999-05-13,1362.727540356528
1999-05-14,1354.0090164072537
1999-05-17,1332.298847172408
1999-05-18,1339.8688541943782
1999-05-19,1337.6343996794567
1999-05-20,1339.1669031855668
1999-05-21,1340.939120023183
1999-05-24,1341.1735061395716
1999-05-25,1328.8190975643995
1999-05-26,1342.73771160623
1999-05-27,1340.6583241876856
1999-05-28,1334.0005815683087
1999-05-31,1341.4452528621398
1999-06-01,1346.284887339693
1999-06-02,1357.91201940879
