Date,AC ASIA ex JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1009.68144082891
1999-01-05,1027.7702908537944
1999-01-06,1063.6920957940501
1999-01-07,1096.557424120068
1999-01-08,1108.1397318436989
1999-01-11,1119.5006188248283
1999-01-12,1108.464722317112
1999-01-13,1063.5727376264244
1999-01-14,1029.2391570869793
1999-01-15,1052.6599628705706
1999-01-18,1064.1734058587824
1999-01-19,1052.3785920643509
1999-01-20,1054.6766097581435
1999-01-21,1038.1770218927059
1999-01-22,1010.0869779069037
1999-01-25,978.3826515687331
1999-01-26,982.0034955268591
1999-01-27,1009.2288813750563
1999-01-28,1010.4251505950028
1999-01-29,1016.2070754451512
1999-02-01,1017.4571506958008
1999-02-02,1002.1599693511546
1999-02-03,996.6071312178268
1999-02-04,986.6304509238349
1999-02-05,978.040665575398
1999-02-08,980.3391844129688
1999-02-09,963.362062698666
1999-02-10,966.1530964314824
1999-02-11,970.6001852358789
1999-02-12,989.303748598953
1999-02-15,994.703873470244
1999-02-16,1002.5903298769092
1999-02-17,995.8316299931599
1999-02-18,991.6783732126567
1999-02-19,990.3693305519059
1999-02-22,995.8025713182602
1999-02-23,997.9796279485961
1999-02-24,997.4836332983124
1999-02-25,987.5991904960183
1999-02-26,1007.1853369337811
1999-03-01,1021.3624435704131
1999-03-02,1019.9588711778558
1999-03-03,1027.6098793974145
1999-03-04,1030.2089168151035
1999-03-05,1031.342521133621
1999-03-08,1043.6902026106814
1999-03-09,1044.9188316193233
1999-03-10,1042.396549307784
1999-03-11,1053.308703504979
1999-03-12,1051.4462508841464
1999-03-15,1063.3638492823227
1999-03-16,1069.6859072253785
1999-03-17,1066.6830620992455
1999-03-18,1068.4269246972237
1999-03-19,1097.3142687943687
1999-03-22,1112.5499951230356
1999-03-23,1121.3239287926385
1999-03-24,1108.8401121691074
1999-03-25,1115.9033643810649
1999-03-26,1128.4133411502569
1999-03-29,1126.6722573102697
1999-03-30,1130.1836449475943
1999-03-31,1130.3809633378073
1999-04-01,1142.4219912663636
1999-04-02,1156.5116974238979
1999-04-05,1155.9964493608484
1999-04-06,1165.7301182038505
1999-04-07,1168.952514054866
1999-04-08,1175.0203021337115
1999-04-09,1192.8626457083103
1999-04-12,1180.897038729521
1999-04-13,1196.190132876437
1999-04-14,1206.8315647711886
1999-04-15,1241.9175135845428
1999-04-16,1280.8928655398447
1999-04-19,1324.9660166797855
1999-04-20,1327.1931534527703
1999-04-21,1323.2902162700548
1999-04-22,1331.6741364409525
1999-04-23,1333.8762505411287
1999-04-26,1354.711267217325
1999-04-27,1367.71792332985
1999-04-28,1379.0539306954954
1999-04-29,1387.3958821971394
1999-04-30,1417.9802769228932
1999-05-03,1452.0544784426688
1999-05-04,1500.413720459039
1999-05-05,1510.3731494519564
1999-05-06,1534.01659297422
1999-05-07,1521.3317428534483
1999-05-10,1528.9945807779281
1999-05-11,1539.9010491440888
1999-05-12,1548.0333602383791
1999-05-13,1534.4003549744252
1999-05-14,1535.2696702922951
1999-05-17,1504.4355872520664
1999-05-18,1511.8430743877325
1999-05-19,1524.2665606117987
1999-05-20,1522.1766342389235
1999-05-21,1526.085149176734
1999-05-24,1550.1588105621393
1999-05-25,1553.5113201445872
1999-05-26,1569.3800093585191
1999-05-27,1575.1356016895595
1999-05-28,1554.0620117654796
1999-05-31,1567.1433398615652
1999-06-01,1571.1787902876
1999-06-02,1594.336446236923
1999-06-03,1609.0394462493014
1999-06-04,1632.74317703521
1999-06-07,1668.9810558917225
1999-06-08,1689.8715742442023
1999-06-09,1676.1254931478402
1999-06-10,1698.4600684930324
1999-06-11,1715.7235455577922
1999-06-14,1739.882363197288
1999-06-15,1722.455802127844
1999-06-16,1756.6398370038798
1999-06-17,1789.451001887275
1999-06-18,1785.5072126027976
1999-06-21,1848.5797829502296
1999-06-22,1890.9380418279645
1999-06-23,1906.7513123894284
1999-06-24,1901.2782000736215
1999-06-25,1865.0016590684886
1999-06-28,1912.1648821010335
1999-06-29,1934.981602843223
1999-06-30,1914.7205318147655
1999-07-01,1932.693936332872
1999-07-02,1961.5327545012021
1999-07-05,1992.216712461843
1999-07-06,1999.6022419549558
1999-07-07,1994.4558372529443
1999-07-08,2009.5364119500032
1999-07-09,2029.5114123908436
1999-07-12,2052.039277959122
1999-07-13,2010.6305712565793
1999-07-14,1967.4108035506629
1999-07-15,1963.102689155256
1999-07-16,1959.7699055390506
1999-07-19,1964.1307951065623
1999-07-20,1925.2557137487627
1999-07-21,1892.6207548626528
1999-07-22,1883.0214824247478
1999-07-23,1834.6126070259702
1999-07-26,1749.6399165633745
1999-07-27,1756.963626456549
1999-07-28,1802.605941355304
1999-07-29,1807.1084110962772
1999-07-30,1793.4391584933762
1999-08-02,1790.5777961307952
1999-08-03,1804.752241021972
