Date,AC FAR EAST EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,994.1712649441041
1999-01-05,1005.0775845721424
1999-01-06,1034.0524324430246
1999-01-07,1065.6745007863735
1999-01-08,1067.903862198999
1999-01-11,1082.959320372542
1999-01-12,1066.1993672678761
1999-01-13,1024.0516721166248
1999-01-14,1009.0600843404751
1999-01-15,1029.7058786813327
1999-01-18,1034.4578090743269
1999-01-19,1029.9150225011413
1999-01-20,1038.796918265646
1999-01-21,1028.6211664011066
1999-01-22,1000.493511738712
1999-01-25,982.5141012962118
1999-01-26,990.4024081036682
1999-01-27,1007.0843928786129
1999-01-28,1007.380961528749
1999-01-29,1018.3488095087296
1999-02-01,1026.5492278806646
1999-02-02,1025.6563663692234
1999-02-03,1014.4736516072719
1999-02-04,1008.786505333882
1999-02-05,997.4071751049248
1999-02-08,998.1180906935023
1999-02-09,977.8030502667493
1999-02-10,979.1893759685528
1999-02-11,983.0776281776552
1999-02-12,996.6905761929863
1999-02-15,999.394626546921
1999-02-16,998.4689149453943
1999-02-17,984.8083777418396
1999-02-18,977.0222644383897
1999-02-19,975.6500311599793
1999-02-22,986.8457265883922
1999-02-23,988.8335661553685
1999-02-24,987.495906814291
1999-02-25,987.5594227432586
1999-02-26,1008.5400067190833
1999-03-01,1009.7368171154809
1999-03-02,997.1637170296019
1999-03-03,1000.9658192226638
1999-03-04,999.1651690663177
1999-03-05,1018.0650726243944
1999-03-08,1020.8721995501685
1999-03-09,1024.3316746913058
1999-03-10,1032.5907885597107
1999-03-11,1052.192434902069
1999-03-12,1052.2350877771444
1999-03-15,1073.372564943554
1999-03-16,1097.1185441575562
1999-03-17,1091.4374165555546
1999-03-18,1080.9114692210774
1999-03-19,1119.1427948784362
1999-03-22,1121.7483224643515
1999-03-23,1123.9182133443303
1999-03-24,1108.9162306562873
1999-03-25,1127.4465921827689
1999-03-26,1136.0462951038226
1999-03-29,1137.202182713095
1999-03-30,1129.6343975415555
1999-03-31,1139.6068720372139
1999-04-01,1154.3654012766585
1999-04-02,1162.5377293525892
1999-04-05,1166.417041815915
1999-04-06,1184.7879502995652
1999-04-07,1188.7455377712565
1999-04-08,1203.5784336024874
1999-04-09,1221.4229077968375
1999-04-12,1209.316263414075
1999-04-13,1230.3972024889365
1999-04-14,1248.1784849774951
1999-04-15,1274.990155400755
1999-04-16,1308.2849293360382
1999-04-19,1347.061405841591
1999-04-20,1341.26913221373
1999-04-21,1325.9785030750154
1999-04-22,1333.0753948927322
1999-04-23,1340.6647883105009
1999-04-26,1365.9383323824757
1999-04-27,1370.773821792391
1999-04-28,1381.948371438053
1999-04-29,1387.1031137765362
1999-04-30,1405.1708075804822
1999-05-03,1424.5217539150308
1999-05-04,1450.2050230447858
1999-05-05,1452.480555395608
1999-05-06,1484.4150967199641
1999-05-07,1470.5677151339607
1999-05-10,1473.1325543750318
1999-05-11,1473.6830764793658
1999-05-12,1487.2640110847203
1999-05-13,1469.0750866988203
1999-05-14,1458.1911832565347
1999-05-17,1418.3585689409442
1999-05-18,1420.6655813767338
1999-05-19,1409.859470599841
1999-05-20,1409.9367247256675
1999-05-21,1424.0906234234233
1999-05-24,1435.4212773463605
1999-05-25,1437.9253228863374
1999-05-26,1464.6839081901605
1999-05-27,1477.9176516871898
1999-05-28,1466.3404449014618
1999-05-31,1469.1488899263081
1999-06-01,1488.3163956303792
1999-06-02,1508.434968550383
1999-06-03,1505.492765538892
1999-06-04,1518.6413637895585
1999-06-07,1553.5122008401147
1999-06-08,1570.3298846557452
1999-06-09,1571.4751365470954
1999-06-10,1597.135139746584
1999-06-11,1621.600758122997
1999-06-14,1631.5223359531694
1999-06-15,1626.7102130870776
1999-06-16,1648.1756245202387
1999-06-17,1677.8232830231582
1999-06-18,1668.1191516107012
1999-06-21,1707.242570486627
1999-06-22,1737.4668093104392
1999-06-23,1743.38922163957
1999-06-24,1738.3481439704306
1999-06-25,1709.1907623111636
1999-06-28,1744.5181728251814
1999-06-29,1765.0011800619159
1999-06-30,1746.3287602454475
1999-07-01,1773.5754762553386
1999-07-02,1792.285123016772
1999-07-05,1801.424878030418
1999-07-06,1805.051862902202
1999-07-07,1798.376153124558
1999-07-08,1805.7992703769637
1999-07-09,1815.1940015494338
1999-07-12,1823.0911591619647
1999-07-13,1798.2648413539928
1999-07-14,1773.007814721721
1999-07-15,1774.2695601508563
1999-07-16,1765.0581400487958
1999-07-19,1782.5425454018405
1999-07-20,1747.5486002622729
1999-07-21,1722.4647415724353
1999-07-22,1702.5546332871252
1999-07-23,1671.0383137020563
1999-07-26,1604.5770090775165
1999-07-27,1608.5496912239687
1999-07-28,1643.5562431418748
1999-07-29,1655.2776589144921
1999-07-30,1656.4070089922363
1999-08-02,1655.4421289711836
1999-08-03,1665.5810954017056
