Date,AC ASEAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,992.3451604135631
1999-01-05,1038.283327363831
1999-01-06,1090.9710898337012
1999-01-07,1131.4599809922913
1999-01-08,1136.086039201861
1999-01-11,1142.9097278543513
1999-01-12,1138.5923293976998
1999-01-13,1060.679373547219
1999-01-14,1038.676923417918
1999-01-15,1056.0130181802442
1999-01-18,1072.7784480039747
1999-01-19,1068.522482402302
1999-01-20,1084.2941641650345
1999-01-21,1063.105436803198
1999-01-22,1027.1131336189421
1999-01-25,957.9996422723985
1999-01-26,980.9465511697426
1999-01-27,1006.8966017383628
1999-01-28,1011.463136274398
1999-01-29,1021.2246427721664
1999-02-01,1022.2419109226017
1999-02-02,1013.765794853811
1999-02-03,1014.7324092489933
1999-02-04,1008.3717188372169
1999-02-05,996.1021465622076
1999-02-08,971.3675406359097
1999-02-09,956.8861360289181
1999-02-10,954.9819237543807
1999-02-11,960.3383309059105
1999-02-12,973.4570530292553
1999-02-15,977.8691908890031
1999-02-16,982.6692065638132
1999-02-17,967.8943360521334
1999-02-18,965.8374167274834
1999-02-19,977.7553819310317
1999-02-22,969.6569113809925
1999-02-23,980.6620114129131
1999-02-24,984.2529407120462
1999-02-25,971.4787996896789
1999-02-26,992.372123250345
1999-03-01,991.893372384905
1999-03-02,981.7570410987296
1999-03-03,980.1970869843001
1999-03-04,983.905557875786
1999-03-05,979.5289467667018
1999-03-08,969.9734036439328
1999-03-09,947.4179668841208
1999-03-10,935.5101472819503
1999-03-11,947.5601682057251
1999-03-12,944.3663406036842
1999-03-15,964.3727936236156
1999-03-16,967.4242642232441
1999-03-17,963.5301895207233
1999-03-18,969.3280007353485
1999-03-19,986.3423050880123
1999-03-22,978.9095870792496
1999-03-23,984.9269668778209
1999-03-24,972.0447259517717
1999-03-25,987.5523680096524
1999-03-26,989.8549754002626
1999-03-29,1000.1445464760064
1999-03-30,1002.1294478282753
1999-03-31,998.3210927877907
1999-04-01,1001.6856158034095
1999-04-02,1004.8663739850799
1999-04-05,1011.6298818231865
1999-04-06,1014.1900847957367
1999-04-07,1021.7315781792113
1999-04-08,1030.4400732288452
1999-04-09,1057.4234381208057
1999-04-12,1050.8300967956602
1999-04-13,1079.1928409518503
1999-04-14,1111.6964414801052
1999-04-15,1149.8570809694052
1999-04-16,1227.7935373973405
1999-04-19,1273.5496929246253
1999-04-20,1244.4410460383306
1999-04-21,1251.568836469525
1999-04-22,1281.910655885179
1999-04-23,1274.9284577451451
1999-04-26,1296.4101964602385
1999-04-27,1306.4496610123795
1999-04-28,1328.4803537670437
1999-04-29,1377.2395932081993
1999-04-30,1462.62082406286
1999-05-03,1542.027630571109
1999-05-04,1642.2241123536517
1999-05-05,1682.3058105998227
1999-05-06,1711.7306677384636
1999-05-07,1661.486409654223
1999-05-10,1658.793047067083
1999-05-11,1703.5807383592
1999-05-12,1755.0980258538693
1999-05-13,1745.201582275232
1999-05-14,1778.6210065007897
1999-05-17,1729.0949357906122
1999-05-18,1719.526822460526
1999-05-19,1712.7769438330527
1999-05-20,1746.1553666813295
1999-05-21,1775.6114749053509
1999-05-24,1835.7167484675263
1999-05-25,1865.8523892634103
1999-05-26,1875.0332561195005
1999-05-27,1914.070933271334
1999-05-28,1866.7078824515731
1999-05-31,1867.2216687736038
1999-06-01,1873.334723257974
1999-06-02,1878.2848161875854
1999-06-03,1906.5265284612724
1999-06-04,1927.3764341112465
1999-06-07,1973.8080988873467
1999-06-08,2063.4396250463346
1999-06-09,2079.6868889053026
1999-06-10,2090.4840915397795
1999-06-11,2150.059495237418
1999-06-14,2263.470166231325
1999-06-15,2285.3498967002156
1999-06-16,2299.4389626039456
1999-06-17,2364.708211867426
1999-06-18,2399.007608807814
1999-06-21,2497.7715998708263
1999-06-22,2583.3608218810014
1999-06-23,2634.4069867070452
1999-06-24,2634.1652180252613
1999-06-25,2564.067479181616
1999-06-28,2633.8669895725293
1999-06-29,2659.775278742727
1999-06-30,2590.6139691520407
1999-07-01,2611.4295068914794
1999-07-02,2602.4051844284036
1999-07-05,2579.347610061759
1999-07-06,2660.7284418708214
1999-07-07,2621.9133033478624
1999-07-08,2633.640992196614
1999-07-09,2638.881826837506
1999-07-12,2647.4552679197895
1999-07-13,2603.607691820655
1999-07-14,2579.776161938634
1999-07-15,2572.5870089010864
1999-07-16,2574.9751600607856
1999-07-19,2588.0047347727036
1999-07-20,2517.8825439321304
1999-07-21,2467.5282109020086
1999-07-22,2434.7223600092916
1999-07-23,2354.6681940768253
1999-07-26,2205.6000912140908
1999-07-27,2170.1751979898436
1999-07-28,2292.9134501910867
1999-07-29,2317.6688308880284
1999-07-30,2280.636699186934
1999-08-02,2266.182624610325
1999-08-03,2288.5977417278436
1999-08-04,2258.172457606404
1999-08-05,2197.3949431902324
