Date,AC ASIA PACIFIC EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,994.7877033868078
1999-01-05,1005.4917511730811
1999-01-06,1033.1366407097448
1999-01-07,1059.5611224397014
1999-01-08,1068.8021331396317
1999-01-11,1085.171173442254
1999-01-12,1069.2150145347125
1999-01-13,1030.0864662751787
1999-01-14,1017.0842558940079
1999-01-15,1033.527201638435
1999-01-18,1038.3837665881724
1999-01-19,1034.1513647675308
1999-01-20,1042.5582514595098
1999-01-21,1039.6395864898052
1999-01-22,1019.1955295086436
1999-01-25,1005.0678668274583
1999-01-26,1010.2713529401333
1999-01-27,1024.760486614307
1999-01-28,1022.6493587250415
1999-01-29,1032.1483140826429
1999-02-01,1038.091289038663
1999-02-02,1031.497985150026
1999-02-03,1023.6106914944291
1999-02-04,1021.7148140172297
1999-02-05,1010.5287601147603
1999-02-08,1006.1954486476982
1999-02-09,994.9008307585095
1999-02-10,993.36434838975
1999-02-11,1000.5813950234261
1999-02-12,1014.1859441317036
1999-02-15,1016.9349806833116
1999-02-16,1018.3573230208168
1999-02-17,1007.2510177528809
1999-02-18,1000.8170752132756
1999-02-19,1003.8646605733336
1999-02-22,1012.9804938256785
1999-02-23,1015.2330488818891
1999-02-24,1011.3621212477593
1999-02-25,1008.0081485642331
1999-02-26,1037.9904538519777
1999-03-01,1041.999805404969
1999-03-02,1032.0137524298746
1999-03-03,1035.643845181065
1999-03-04,1035.2261526199682
1999-03-05,1050.638922386123
1999-03-08,1055.495875166265
1999-03-09,1064.078614474577
1999-03-10,1070.1378722437862
1999-03-11,1083.8482408717277
1999-03-12,1083.3142515555282
1999-03-15,1099.9138639817947
1999-03-16,1115.8375522898853
1999-03-17,1108.4741205066955
1999-03-18,1101.4358219958976
1999-03-19,1134.1772403581383
1999-03-22,1139.1250170044511
1999-03-23,1142.0507822123554
1999-03-24,1125.8741339245219
1999-03-25,1141.4614673112828
1999-03-26,1151.1732036736905
1999-03-29,1152.3212004168233
1999-03-30,1146.0187915416554
1999-03-31,1155.9871960528926
1999-04-01,1170.617950829433
1999-04-02,1179.1966718417614
1999-04-05,1177.075474528188
1999-04-06,1192.7959734472297
1999-04-07,1193.15109846942
1999-04-08,1201.404247081268
1999-04-09,1216.3358459993024
1999-04-12,1203.9933300568414
1999-04-13,1223.742417736351
1999-04-14,1236.7499304279381
1999-04-15,1258.8221066841515
1999-04-16,1294.5888550694913
1999-04-19,1328.0030158036236
1999-04-20,1321.9899576107432
1999-04-21,1308.7838505114971
1999-04-22,1319.3907644770813
1999-04-23,1326.0268109232877
1999-04-26,1346.697368058192
1999-04-27,1347.9453198319882
1999-04-28,1358.6053817130778
1999-04-29,1369.4996996987538
1999-04-30,1383.8496299598617
1999-05-03,1398.7640756592673
1999-05-04,1420.5545075456253
1999-05-05,1423.6269421268833
1999-05-06,1449.9243800035306
1999-05-07,1440.2174396347257
1999-05-10,1447.9347475092243
1999-05-11,1456.422924781869
1999-05-12,1464.6637623951258
1999-05-13,1457.8391743165382
1999-05-14,1454.747797610758
1999-05-17,1426.09515847883
1999-05-18,1438.6254165957105
1999-05-19,1433.1214625821378
1999-05-20,1435.595378235606
1999-05-21,1444.4193548951885
1999-05-24,1451.1149510593675
1999-05-25,1452.3833183631052
1999-05-26,1469.0525443096285
1999-05-27,1473.420864514106
1999-05-28,1458.2003091151603
1999-05-31,1463.5021002664625
1999-06-01,1477.0545384960315
1999-06-02,1494.0783636965607
1999-06-03,1494.5739595017822
1999-06-04,1508.6317510296078
1999-06-07,1533.7746379379882
1999-06-08,1550.088822424916
1999-06-09,1548.8750257934505
1999-06-10,1570.926049180513
1999-06-11,1588.83825712643
1999-06-14,1599.129422086999
1999-06-15,1590.7037587771315
1999-06-16,1618.2626370760154
1999-06-17,1642.6923498817532
1999-06-18,1629.1958896184824
1999-06-21,1664.7749721973817
1999-06-22,1692.005110252632
1999-06-23,1694.2471580627364
1999-06-24,1689.3193068645676
1999-06-25,1664.8530580970428
1999-06-28,1700.6712579583034
1999-06-29,1718.6170333004577
1999-06-30,1702.3522614355911
1999-07-01,1731.5503288564848
1999-07-02,1755.161560028635
1999-07-05,1769.6856715417805
1999-07-06,1775.8449987929891
1999-07-07,1770.242678801507
1999-07-08,1784.0939096716563
1999-07-09,1798.41084601033
1999-07-12,1820.1227617221737
1999-07-13,1795.5348371707169
1999-07-14,1782.9396017633023
1999-07-15,1783.2874052865827
1999-07-16,1771.315206070837
1999-07-19,1786.5593747659054
1999-07-20,1747.6453642526296
1999-07-21,1730.7359865702406
1999-07-22,1712.8160465775995
1999-07-23,1685.3311021677798
1999-07-26,1614.8605093351712
1999-07-27,1627.4618189868334
1999-07-28,1648.4938118361763
1999-07-29,1649.9823044140344
1999-07-30,1647.481814875079
1999-08-02,1634.9720521448583
