Date,ACWI ex JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0000669490556
1999-01-04,1011.4810097505722
1999-01-05,1021.9462651092434
1999-01-06,1047.6887371887044
1999-01-07,1053.097589943045
1999-01-08,1064.5446910254263
1999-01-11,1064.2433568645445
1999-01-12,1048.82828967115
1999-01-13,1005.6031622136113
1999-01-14,992.5412833428262
1999-01-15,1013.6321895520836
1999-01-18,1022.1610825941219
1999-01-19,1017.5802655305307
1999-01-20,1021.4510989578316
1999-01-21,1009.0448355817423
1999-01-22,992.4227382924754
1999-01-25,984.200004924264
1999-01-26,988.2019072763626
1999-01-27,999.3110898417568
1999-01-28,1006.7851844285163
1999-01-29,1016.0513868323553
1999-02-01,1026.668083682447
1999-02-02,1020.6526279281763
1999-02-03,1020.0162775168775
1999-02-04,1020.8577308112921
1999-02-05,1018.6804250458648
1999-02-08,1021.4820273289295
1999-02-09,1005.9808613130797
1999-02-10,1003.068481484363
1999-02-11,1013.8266585482376
1999-02-12,1019.4685866741171
1999-02-15,1024.17596417977
1999-02-16,1030.0519382233892
1999-02-17,1021.0553054549432
1999-02-18,1021.9293301374066
1999-02-19,1029.9679003843803
1999-02-22,1040.322183751738
1999-02-23,1041.633937248711
1999-02-24,1042.0743587245718
1999-02-25,1030.8408213349337
1999-02-26,1039.7046495880272
1999-03-01,1044.031164881032
1999-03-02,1043.0497835942128
1999-03-03,1046.4437221366559
1999-03-04,1055.6617056077023
1999-03-05,1067.318980693489
1999-03-08,1073.6140681038485
1999-03-09,1076.024697789756
1999-03-10,1075.6788980439553
1999-03-11,1091.0293264762906
1999-03-12,1087.2984877579424
1999-03-15,1092.534024619546
1999-03-16,1096.0898736404142
1999-03-17,1091.58130901831
1999-03-18,1096.9264051446983
1999-03-19,1110.7642267671606
1999-03-22,1113.3347170168088
1999-03-23,1106.4667054352851
1999-03-24,1098.3355193467548
1999-03-25,1114.3282491397201
1999-03-26,1123.973083974225
1999-03-29,1130.6348429671432
1999-03-30,1128.155634450295
1999-03-31,1127.7070299808026
1999-04-01,1129.8866536963449
1999-04-02,1135.9932589361204
1999-04-05,1144.2605714923786
1999-04-06,1147.3422297531092
1999-04-07,1150.8869990179535
1999-04-08,1154.4064945466475
1999-04-09,1164.635057415692
1999-04-12,1159.0849214333898
1999-04-13,1170.4387488112588
1999-04-14,1180.322890446101
1999-04-15,1202.8438099796408
1999-04-16,1225.4434937967756
1999-04-19,1253.0725537325786
1999-04-20,1244.21724734951
1999-04-21,1249.8077645504889
1999-04-22,1257.14406104507
1999-04-23,1255.9427746476108
1999-04-26,1264.069943386318
1999-04-27,1270.6289837578518
1999-04-28,1279.3370039284691
1999-04-29,1287.821504770483
1999-04-30,1299.7231917347835
1999-05-03,1320.236755061314
1999-05-04,1331.813918559286
1999-05-05,1330.8139701627044
1999-05-06,1337.0208875413407
1999-05-07,1334.8763025037579
1999-05-10,1338.7855870804497
1999-05-11,1350.113790252367
1999-05-12,1349.8300014421911
1999-05-13,1354.782365403231
1999-05-14,1344.2230150966218
1999-05-17,1328.647690114425
1999-05-18,1334.7522152791564
1999-05-19,1340.4357542513853
1999-05-20,1342.2881803174123
1999-05-21,1342.6593773228326
1999-05-24,1339.0563072605753
1999-05-25,1324.1940095356047
1999-05-26,1338.7037669050094
1999-05-27,1332.95456926748
1999-05-28,1329.2062567938312
1999-05-31,1335.915054210347
1999-06-01,1336.8909268379289
1999-06-02,1348.821254100058
1999-06-03,1357.5280599315429
1999-06-04,1374.6238735525587
1999-06-07,1390.1526894561564
1999-06-08,1384.6674744089844
1999-06-09,1380.987757451162
1999-06-10,1380.7882463951196
1999-06-11,1387.0907975333184
1999-06-14,1395.1788672349917
1999-06-15,1393.7412673721437
1999-06-16,1415.2682223363379
1999-06-17,1426.618339658197
1999-06-18,1425.5829750892735
1999-06-21,1446.9391642594057
1999-06-22,1452.8683257700632
1999-06-23,1448.3342579931764
1999-06-24,1436.9718331465117
1999-06-25,1419.4621510459176
1999-06-28,1439.4729873347287
1999-06-29,1449.775807476591
1999-06-30,1452.7178382264008
1999-07-01,1472.2910323407978
1999-07-02,1485.9574025385566
1999-07-05,1500.6006350533185
1999-07-06,1498.5537233572907
1999-07-07,1496.3247755024306
1999-07-08,1501.2771330571063
1999-07-09,1508.592358729423
1999-07-12,1514.569289263452
1999-07-13,1493.9623132432534
1999-07-14,1487.3055652146984
1999-07-15,1491.0366632704304
1999-07-16,1491.5590502220182
1999-07-19,1495.6702535550753
1999-07-20,1460.8084730559176
1999-07-21,1442.499577586283
1999-07-22,1438.195491828275
1999-07-23,1424.3994915320484
1999-07-26,1385.926732449154
1999-07-27,1391.0123003858125
1999-07-28,1403.614307691398
1999-07-29,1388.4908721969066
1999-07-30,1390.9155844692373
1999-08-02,1386.3566760360027
1999-08-03,1389.1649057725404
1999-08-04,1379.1762907258812
1999-08-05,1358.7464090045323
1999-08-06,1354.6369383909798
1999-08-09,1365.3529523348361
1999-08-10,1348.5897808763755
1999-08-11,1352.4333321858833
1999-08-12,1365.9471641123348
1999-08-13,1379.189311763355
1999-08-16,1389.7882622101727
1999-08-17,1392.675668023449
1999-08-18,1392.3766212104479
1999-08-19,1384.1831279511534
1999-08-20,1393.020818260296
1999-08-23,1416.9181989558053
1999-08-24,1419.6062926572297
1999-08-25,1433.0065218540879
1999-08-26,1430.4688117580508
1999-08-27,1424.180395590546
1999-08-30,1419.728344299982
1999-08-31,1399.9378159216183
1999-09-01,1399.0384556662757
1999-09-02,1377.2299547406112
1999-09-03,1397.2611229017898
1999-09-06,1408.154188039407
1999-09-07,1403.7048905316447
1999-09-08,1396.24461231062
1999-09-09,1409.2568199699188
1999-09-10,1429.04044159295
1999-09-13,1438.326845871738
1999-09-14,1428.76408498455
1999-09-15,1419.9192108224115
1999-09-16,1409.6045844425296
1999-09-17,1413.2404385818397
1999-09-20,1414.3610035160773
1999-09-21,1393.4828183143188
1999-09-22,1384.2179857403344
1999-09-23,1383.9107640331688
1999-09-24,1370.4927535667684
1999-09-27,1374.804998599974
1999-09-28,1365.7367477281157
1999-09-29,1352.5647686055756
1999-09-30,1351.5851241021307
1999-10-01,1348.5102117715971
1999-10-04,1359.0860461663258
1999-10-05,1361.5997388351086
1999-10-06,1367.4733877087767
1999-10-07,1372.708882903788
1999-10-08,1382.2541646906664
1999-10-11,1382.3157244335243
1999-10-12,1368.8996699474146
1999-10-13,1349.6368902181382
1999-10-14,1345.1982734446067
1999-10-15,1316.3605539444748
1999-10-18,1306.9489270970446
1999-10-19,1318.7884962904868
1999-10-20,1333.1771726469653
1999-10-21,1330.1088543404906
1999-10-22,1350.8231529306609
1999-10-25,1349.6197667587483
1999-10-26,1355.7217352419946
1999-10-27,1356.3722905102345
1999-10-28,1371.0587448095002
1999-10-29,1388.6088412842291
1999-11-01,1393.7568688943904
1999-11-02,1398.380714262339
1999-11-03,1403.0997636510385
1999-11-04,1414.6642545053837
1999-11-05,1423.5372790827657
1999-11-08,1427.891293091892
1999-11-09,1428.8936610289898
1999-11-10,1430.3383036000077
1999-11-11,1437.8183928172145
1999-11-12,1451.9852470477817
1999-11-15,1461.8210241629035
1999-11-16,1467.8897514756013
1999-11-17,1453.1698141595928
1999-11-18,1466.1930738567119
1999-11-19,1472.178142429504
1999-11-22,1468.232527502986
1999-11-23,1466.1448670655232
1999-11-24,1469.0824762279694
1999-11-25,1473.5409203023264
1999-11-26,1476.3534008864872
1999-11-29,1479.980088919274
1999-11-30,1476.899958987319
1999-12-01,1483.8857658734662
1999-12-02,1501.2777014586252
1999-12-03,1517.974202115003
