Date,AC ASIA PACIFIC ex JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1009.7077730484444
1999-01-05,1026.6146281778242
1999-01-06,1061.8369402401959
1999-01-07,1093.680784379627
1999-01-08,1104.7519541203446
1999-01-11,1117.0011229044042
1999-01-12,1106.8803394897875
1999-01-13,1062.6145471840905
1999-01-14,1031.7998125002937
1999-01-15,1054.3601534213637
1999-01-18,1065.2848900814363
1999-01-19,1055.98081939516
1999-01-20,1059.6551932066345
1999-01-21,1043.8753369580477
1999-01-22,1016.8023869385468
1999-01-25,987.4573361562391
1999-01-26,990.655000471039
1999-01-27,1015.7350090357639
1999-01-28,1017.1190635512405
1999-01-29,1023.8586732047319
1999-02-01,1027.460210657997
1999-02-02,1013.5735522127342
1999-02-03,1009.9001599987531
1999-02-04,1002.555003311571
1999-02-05,995.6031935383955
1999-02-08,998.3588428506671
1999-02-09,981.6179330801205
1999-02-10,981.1336590591578
1999-02-11,986.6569079196066
1999-02-12,1003.642854114185
1999-02-15,1007.8998326242548
1999-02-16,1013.650362484091
1999-02-17,1006.6287217251611
1999-02-18,1003.0661601875083
1999-02-19,1006.1624228496598
1999-02-22,1012.4698163610727
1999-02-23,1014.491272064807
1999-02-24,1012.5016286336476
1999-02-25,1000.8200547971439
1999-02-26,1017.2233440452623
1999-03-01,1030.8166265948214
1999-03-02,1029.3875826517196
1999-03-03,1036.7449579289212
1999-03-04,1039.6544054442677
1999-03-05,1042.021776822257
1999-03-08,1053.7335339872418
1999-03-09,1055.821195692661
1999-03-10,1052.6461429164942
1999-03-11,1064.050360519262
1999-03-12,1062.0488625663556
1999-03-15,1073.0894338094986
1999-03-16,1078.2320846056973
1999-03-17,1073.6034074064953
1999-03-18,1075.708681307345
1999-03-19,1102.7750143536462
1999-03-22,1117.222409636408
1999-03-23,1126.140193956812
1999-03-24,1113.7766449491016
1999-03-25,1120.5863184070527
1999-03-26,1133.2303072971774
1999-03-29,1131.511371078641
1999-03-30,1133.1820803100027
1999-03-31,1132.6225877400316
1999-04-01,1144.504459820487
1999-04-02,1156.7928926602813
1999-04-05,1156.7713489722682
1999-04-06,1165.2118304383814
1999-04-07,1167.0534485812454
1999-04-08,1171.7221664909791
1999-04-09,1189.5275337836429
1999-04-12,1178.3304984624085
1999-04-13,1194.37956684718
1999-04-14,1204.3747464932424
1999-04-15,1236.7666092985344
1999-04-16,1276.533749282916
1999-04-19,1319.4127581744242
1999-04-20,1319.4113064364112
1999-04-21,1315.1045063270362
1999-04-22,1324.91206812277
1999-04-23,1327.1470918875405
1999-04-26,1345.4377697598754
1999-04-27,1357.5325410826288
1999-04-28,1368.0917594633079
1999-04-29,1378.197767972735
1999-04-30,1407.241493601585
1999-05-03,1437.6317350516592
1999-05-04,1481.0206368645695
1999-05-05,1487.6736679266378
1999-05-06,1510.9075638613788
1999-05-07,1499.3658434354286
1999-05-10,1504.3132152706958
1999-05-11,1513.9944706939089
1999-05-12,1521.679768035984
1999-05-13,1510.049685226531
1999-05-14,1511.1163925054223
1999-05-17,1481.850613006293
1999-05-18,1489.8990950512716
1999-05-19,1498.5421225384848
1999-05-20,1495.4737528162532
1999-05-21,1499.4092372765465
1999-05-24,1520.7030804459887
1999-05-25,1521.1221088395257
1999-05-26,1535.4307456644067
1999-05-27,1540.6488090425376
1999-05-28,1521.7053155361425
1999-05-31,1532.5104498462722
1999-06-01,1534.4075881526949
1999-06-02,1556.7343250252752
1999-06-03,1571.2558187215657
1999-06-04,1594.5945461612675
1999-06-07,1627.3958806621874
1999-06-08,1644.058386590154
1999-06-09,1633.1204195311186
1999-06-10,1651.9611635566598
1999-06-11,1667.099445444296
1999-06-14,1688.6254297496566
1999-06-15,1672.5282890677624
1999-06-16,1703.735008006685
1999-06-17,1732.4230705206921
1999-06-18,1726.6335221531224
1999-06-21,1781.5760126410403
1999-06-22,1819.3291952858303
1999-06-23,1833.456181711081
1999-06-24,1827.9520211783579
1999-06-25,1795.8874964824001
1999-06-28,1838.3196830284144
1999-06-29,1857.554954555895
1999-06-30,1840.2967751483566
1999-07-01,1861.056344089612
1999-07-02,1889.7210262384556
1999-07-05,1917.4705441782835
1999-07-06,1924.550806552778
1999-07-07,1918.5098616116445
1999-07-08,1934.1325793801775
1999-07-09,1950.0277244459066
1999-07-12,1969.8145382991083
1999-07-13,1932.0680970387516
1999-07-14,1894.321612638479
1999-07-15,1891.9555983745868
1999-07-16,1887.2050932175553
1999-07-19,1890.946395833302
1999-07-20,1854.1396490396908
1999-07-21,1822.5395041600866
1999-07-22,1814.0583546078014
1999-07-23,1772.9680458536589
1999-07-26,1694.7510467597
1999-07-27,1700.2663061979006
1999-07-28,1740.9759250570437
1999-07-29,1743.9298971435353
1999-07-30,1731.9258686467153
1999-08-02,1727.5426091695676
