Date,AC EUROPE EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001959288636
1999-01-04,1025.2445677827352
1999-01-05,1031.2989631384964
1999-01-06,1048.601457648595
1999-01-07,1040.7785295856168
1999-01-08,1046.4808079851114
1999-01-11,1042.1758177268925
1999-01-12,1029.2124492230103
1999-01-13,985.539167180997
1999-01-14,989.3505091598286
1999-01-15,993.0873872724346
1999-01-18,1009.4501580505839
1999-01-19,1006.2951043110053
1999-01-20,1010.182129559012
1999-01-21,1005.6131325893487
1999-01-22,989.2686472019249
1999-01-25,986.875498711576
1999-01-26,993.1947508246211
1999-01-27,1004.2717920022093
1999-01-28,1011.1800701377471
1999-01-29,1019.8048868987731
1999-02-01,1031.3457140960722
1999-02-02,1032.4698954028775
1999-02-03,1030.4233782666065
1999-02-04,1035.9961219991815
1999-02-05,1036.5693597268494
1999-02-08,1038.9632043919596
1999-02-09,1029.1811157003144
1999-02-10,1022.0076466303163
1999-02-11,1033.0145893688193
1999-02-12,1040.96153652176
1999-02-15,1045.1855909532544
1999-02-16,1050.8976976475922
1999-02-17,1046.7272738195147
1999-02-18,1044.9255669086679
1999-02-19,1050.1768126179936
1999-02-22,1055.1295820775001
1999-02-23,1053.9585800255027
1999-02-24,1062.253236638971
1999-02-25,1056.9840212930987
1999-02-26,1060.770212063834
1999-03-01,1062.8303266689895
1999-03-02,1065.975390748298
1999-03-03,1066.0056205822211
1999-03-04,1064.1112005289394
1999-03-05,1079.0471975530297
1999-03-08,1081.2938162706168
1999-03-09,1084.8215025070822
1999-03-10,1082.6458540780488
1999-03-11,1098.7356972371733
1999-03-12,1101.8828499240317
1999-03-15,1096.4555032412309
1999-03-16,1097.372403840875
1999-03-17,1097.5954633076008
1999-03-18,1097.8985726847682
1999-03-19,1111.9515444499036
1999-03-22,1107.31756051603
1999-03-23,1096.853550620724
1999-03-24,1081.4973277046618
1999-03-25,1099.072764023232
1999-03-26,1102.8694477315032
1999-03-29,1107.9952759494208
1999-03-30,1108.6971086117803
1999-03-31,1110.8383377924415
1999-04-01,1104.496096595797
1999-04-02,1108.339120532308
1999-04-05,1109.0837652866294
1999-04-06,1117.3997955945724
1999-04-07,1126.7664791950788
1999-04-08,1128.77785195045
1999-04-09,1131.6640662996203
1999-04-12,1122.576953783031
1999-04-13,1127.7699853479362
1999-04-14,1139.4987051852893
1999-04-15,1145.8600859312496
1999-04-16,1153.7081882484456
1999-04-19,1169.425462368817
1999-04-20,1159.1352937628544
1999-04-21,1162.7635414339247
1999-04-22,1169.861964646939
1999-04-23,1171.1239176793008
1999-04-26,1178.3880133888727
1999-04-27,1191.1514179038452
1999-04-28,1191.1317711902313
1999-04-29,1192.8594630579794
1999-04-30,1200.7456122586234
1999-05-03,1208.882616696699
1999-05-04,1214.551310644471
1999-05-05,1211.511924240835
1999-05-06,1214.7786673707642
1999-05-07,1211.538393113233
1999-05-10,1214.1345532845094
1999-05-11,1224.9696769619663
1999-05-12,1216.2177485040477
1999-05-13,1221.1604434070466
1999-05-14,1216.7201908705115
1999-05-17,1201.592587996436
1999-05-18,1213.4373723849833
1999-05-19,1224.3140771530552
1999-05-20,1233.1224291786739
1999-05-21,1231.265155317021
1999-05-24,1227.116890422317
1999-05-25,1213.006903643477
1999-05-26,1211.8469056919705
1999-05-27,1207.0271796251186
1999-05-28,1203.6377613264315
1999-05-31,1206.3191832618186
1999-06-01,1211.0073665561129
1999-06-02,1213.5593563167927
1999-06-03,1220.504301003456
1999-06-04,1228.9200333860963
1999-06-07,1236.2288572924087
1999-06-08,1234.6677565353866
1999-06-09,1236.32026022678
1999-06-10,1232.9898377470847
1999-06-11,1241.9852864605884
1999-06-14,1241.0938708683486
1999-06-15,1241.6018347605273
1999-06-16,1246.8521707757398
1999-06-17,1250.8505582601547
1999-06-18,1254.5972347035943
1999-06-21,1263.6848056454114
1999-06-22,1257.6557980111563
