Date,UNITED ARAB EMIRATES SMALL CAP
2002-05-31,197.6705423636796
2002-06-03,196.88028166659666
2002-06-04,195.71718123275048
2002-06-05,196.9537718799847
2002-06-06,195.43224954047056
2002-06-07,195.39089478206392
2002-06-10,199.0441489573225
2002-06-11,199.99434597979413
2002-06-12,198.88652881094367
2002-06-13,198.73897949817567
2002-06-14,197.61702843627808
2002-06-17,197.4727578503801
2002-06-18,201.67790721595736
2002-06-19,200.15037037064076
2002-06-20,198.31085759063777
2002-06-21,197.35440104395389
2002-06-24,193.92373191057138
2002-06-25,194.85874226562598
2002-06-26,191.194897126841
2002-06-27,192.45819250811115
2002-06-28,193.92195533176638
2002-07-01,195.6291182674577
2002-07-02,194.65255523999255
2002-07-03,196.53018287583924
2002-07-04,197.6433233785218
2002-07-05,198.85149903383822
2002-07-08,194.8833734412207
2002-07-09,193.6464682110453
2002-07-10,194.77939002474824
2002-07-11,194.4151507934273
2002-07-12,194.89599867864158
2002-07-15,192.78452184084594
2002-07-16,192.32410304899062
2002-07-17,194.14841668209561
2002-07-18,194.0424825261679
2002-07-19,192.794980910277
2002-07-22,196.724400180717
2002-07-23,194.7226634749634
2002-07-24,196.13316278296975
2002-07-25,193.69633119204644
2002-07-26,196.17713946919562
2002-07-29,198.38893886995754
2002-07-30,194.47504252369316
2002-07-31,196.60102583221283
2002-08-01,197.04507413198877
2002-08-02,198.55867209676344
2002-08-05,203.67230917964392
2002-08-06,207.0561841454613
2002-08-07,205.72341949660776
2002-08-08,206.12131157161863
2002-08-09,205.33701616559748
2002-08-12,207.94305613250654
2002-08-13,207.9855954985644
2002-08-14,208.93990867340833
2002-08-15,210.08887464931217
2002-08-16,210.39469295212476
2002-08-19,209.52533553117527
2002-08-20,210.0904920748896
2002-08-21,205.65575100525257
2002-08-22,209.95233890619298
2002-08-23,210.31160754545462
2002-08-26,210.72546002730462
2002-08-27,209.57870846021126
2002-08-28,210.95214347864624
2002-08-29,209.53727543602974
2002-08-30,210.24731511400668
2002-09-02,210.69891260892032
2002-09-03,208.92120490954983
2002-09-04,213.2270600438498
2002-09-05,215.2926543310503
2002-09-06,219.26928580295984
2002-09-09,220.01760702080819
2002-09-10,225.93509018147748
2002-09-11,226.01564827230814
2002-09-12,217.87295846070444
2002-09-13,214.86761991592687
2002-09-16,203.32261119109896
2002-09-17,203.92052631455212
2002-09-18,207.18873109145906
2002-09-19,208.56481739241062
2002-09-20,209.24505843611928
2002-09-23,209.18124799898493
2002-09-24,209.39992050902347
2002-09-25,209.31810055990854
2002-09-26,209.07298554558147
2002-09-27,208.4276371724642
2002-09-30,206.9861025054124
2002-10-01,207.76679742229717
2002-10-02,199.065248236024
2002-10-03,203.39868650720874
2002-10-04,206.58057958309269
2002-10-07,206.50760482797625
2002-10-08,206.53941759360387
2002-10-09,205.24640235669045
2002-10-10,205.5693297521662
2002-10-11,205.43378495166007
2002-10-14,205.5968625374589
2002-10-15,206.94554923790497
2002-10-16,206.58057958309266
2002-10-17,209.09491429246086
2002-10-18,209.25345419738323
2002-10-21,209.67423276945814
2002-10-22,209.35880026710367
2002-10-23,209.55182687186763
2002-10-24,209.59888781928433
2002-10-25,208.48985482103143
2002-10-28,205.58350837780588
2002-10-29,206.36029577223474
2002-10-30,206.71693939833423
2002-10-31,205.7346860170885
2002-11-01,204.06153589158657
2002-11-04,204.3355938133891
2002-11-05,203.2428901031571
2002-11-06,204.70201216883876
2002-11-07,202.5564693970811
2002-11-08,201.96881496936572
2002-11-11,202.3784474904513
2002-11-12,202.50592146880146
2002-11-13,205.15567610662998
2002-11-14,205.31135501864614
2002-11-15,204.8523877570545
2002-11-18,208.84919955175496
2002-11-19,208.5605115428888
2002-11-20,207.83900875894398
2002-11-21,209.7358766174647
2002-11-22,210.03740838258946
2002-11-25,212.30090455291258
2002-11-26,212.6044175130747
2002-11-27,213.28112535439857
2002-11-28,211.73256933470986
2002-11-29,212.18187407379517
2002-12-02,218.3974682502606
2002-12-03,217.7215669337517
2002-12-04,217.13371870303055
2002-12-05,217.01436080458802
2002-12-06,209.96584940540967
2002-12-09,210.05963533248539
2002-12-10,211.82088989796293
2002-12-11,212.67483542312297
2002-12-12,211.4716933352333
2002-12-13,212.088781650743
2002-12-16,206.64687461128528
2002-12-17,203.89701250353139
2002-12-18,204.34919626212385
2002-12-19,204.71070017212668
2002-12-20,204.41446060020155
2002-12-23,206.89842802195594
2002-12-24,208.31603708671815
2002-12-25,208.04886822577177
2002-12-26,207.53120113604726
2002-12-27,206.13390873737322
2002-12-30,205.21265242914188
2002-12-31,202.68682809433378
2003-01-01,202.68682809433378
