Date,INDONESIA SMALL CAP
1998-12-31,302.15451831018487
1999-01-01,302.15451831018487
1999-01-04,293.10810991300343
1999-01-05,305.33619851069216
1999-01-06,315.6234731679933
1999-01-07,329.469443871145
1999-01-08,327.2755990990362
1999-01-11,324.07466494084184
1999-01-12,327.7875651481666
1999-01-13,305.2770932981169
1999-01-14,295.7460791856025
1999-01-15,303.593981662624
1999-01-18,306.1117167413695
1999-01-19,305.86116219787726
1999-01-20,305.0027015707442
1999-01-21,296.7940640662782
1999-01-22,288.52863674506875
1999-01-25,259.3907798339466
1999-01-26,266.8975035180581
1999-01-27,275.0819443692727
1999-01-28,280.0991891873605
1999-01-29,293.23867565685396
1999-02-01,293.72254178652
1999-02-02,295.41852854551286
1999-02-03,309.5797835746306
1999-02-04,302.986462013847
1999-02-05,296.9841110963654
1999-02-08,292.04215466170245
1999-02-09,291.9403117233397
1999-02-10,299.48934401209596
1999-02-11,305.4803083125754
1999-02-12,301.57926760525044
1999-02-15,304.47292234412316
1999-02-16,300.1058503700133
1999-02-17,302.3541932095482
1999-02-18,297.68098268411984
1999-02-19,302.8470529295866
1999-02-22,297.13640265789934
1999-02-23,300.7283208982265
1999-02-24,304.5759184340862
1999-02-25,304.09910632445786
1999-02-26,303.27465191066887
1999-03-01,306.1473493272472
1999-03-02,297.26336991516496
1999-03-03,298.6687408970583
1999-03-04,293.3610431301445
1999-03-05,290.2015132387283
1999-03-08,285.1613965764055
1999-03-09,280.05753330260507
1999-03-10,274.06706234771104
1999-03-11,267.898984748324
1999-03-12,272.3061336269641
1999-03-15,283.60784234564704
1999-03-16,283.86957948009524
1999-03-17,284.85917846352794
1999-03-18,285.4166328245133
1999-03-19,294.2139208371062
1999-03-22,290.63116873926634
1999-03-23,291.73251882236315
1999-03-24,285.7686524018333
1999-03-25,293.20294572812185
1999-03-26,291.65924167421815
1999-03-29,299.55406896265174
1999-03-30,306.84314096488197
1999-03-31,307.63977404091304
1999-04-01,299.0929023730865
1999-04-02,301.50618537471104
1999-04-05,306.35448118738674
1999-04-06,304.3115400944952
1999-04-07,305.25889250755307
1999-04-08,301.59046974537483
