Date,CHILE SMALL CAP
1998-12-31,181.6776236262966
1999-01-01,181.65850022309172
1999-01-04,181.85072529648795
1999-01-05,181.94882397494962
1999-01-06,183.57969447487886
1999-01-07,182.84576616622866
1999-01-08,184.97835421874396
1999-01-11,183.24153960257013
1999-01-12,181.7882362997464
1999-01-13,176.4970528531224
1999-01-14,175.86099044696735
1999-01-15,178.1424684489703
1999-01-18,178.8654079543579
1999-01-19,177.00655986598528
1999-01-20,177.58176433923958
1999-01-21,176.10364054148607
1999-01-22,175.12065210932255
1999-01-25,175.9997489649806
1999-01-26,175.07215258082508
1999-01-27,174.8616664365585
1999-01-28,175.4137701183371
1999-01-29,175.26580186694497
1999-02-01,175.5945358502748
1999-02-02,174.3724142115433
1999-02-03,175.67429803241674
1999-02-04,177.35170942966943
1999-02-05,177.17280005835474
1999-02-08,177.46571653893525
1999-02-09,176.64792802015307
1999-02-10,176.83053590559922
1999-02-11,179.23804996837717
1999-02-12,178.9021767807217
1999-02-15,179.13540238382265
1999-02-16,180.97333723390176
1999-02-17,180.47707483580913
1999-02-18,181.84732570102224
1999-02-19,184.71897953427083
1999-02-22,186.22862176672567
1999-02-23,188.31350729829072
1999-02-24,189.39917608871494
1999-02-25,186.54971576944246
1999-02-26,186.58172646178687
1999-03-01,187.43760464161318
1999-03-02,186.46268250846057
1999-03-03,187.5430468907906
1999-03-04,190.68455953634452
1999-03-05,190.14801320682238
1999-03-08,192.10568763275762
1999-03-09,191.8838078615169
1999-03-10,193.19171931725538
1999-03-11,197.14743807485027
1999-03-12,199.36193098922158
1999-03-15,200.17970248135018
1999-03-16,201.87857960541777
1999-03-17,201.03643217409177
1999-03-18,201.54542153617805
1999-03-19,201.98391404519833
1999-03-22,202.23177471911828
1999-03-23,201.91471334181864
1999-03-24,201.8576040310115
1999-03-25,205.48182913099453
1999-03-26,209.55816111936298
1999-03-29,210.12650574272678
1999-03-30,209.88003311205233
1999-03-31,211.17595505999418
1999-04-01,212.46570101251544
1999-04-02,213.12705884409453
1999-04-05,215.61318862723346
1999-04-06,217.05192284081167
1999-04-07,217.53303431998575
1999-04-08,220.3542442490171
1999-04-09,224.75820251760985
1999-04-12,225.08544746302715
1999-04-13,227.33240016068007
1999-04-14,229.32214138165338
1999-04-15,235.02533770711355
1999-04-16,237.50951776083923
1999-04-19,243.16294213202383
1999-04-20,242.6121595208142
1999-04-21,245.8464039774894
1999-04-22,244.05653482225895
1999-04-23,240.8044200853802
1999-04-26,241.83221604938774
1999-04-27,235.6713440934924
1999-04-28,238.32917362646143
1999-04-29,238.57769284888684
1999-04-30,240.57927174419657
1999-05-03,242.62406201649546
1999-05-04,241.80253111547518
1999-05-05,241.3766468174808
1999-05-06,240.52669313434697
1999-05-07,243.2482967496884
1999-05-10,246.68644301401434
1999-05-11,251.4385843124544
1999-05-12,252.28580932410404
1999-05-13,255.17438343544646
1999-05-14,251.7731192754004
1999-05-17,249.24803665200824
1999-05-18,249.16855981944173
1999-05-19,247.850574872387
1999-05-20,246.94004047714714
1999-05-21,248.57555305779024
1999-05-24,244.84476665428983
1999-05-25,241.95127777162892
1999-05-26,246.19330166122904
1999-05-27,247.54357390682608
1999-05-28,246.6083969663061
1999-05-31,248.53207247561866
1999-06-01,246.38864997625842
1999-06-02,247.48691125452044
1999-06-03,247.6183879290979
1999-06-04,250.0749771601817
1999-06-07,251.99816053297155
1999-06-08,249.53128932376615
1999-06-09,248.80210379612285
1999-06-10,248.89749615902753
1999-06-11,247.70088339170852
1999-06-14,248.69094313447448
1999-06-15,248.8758894046433
1999-06-16,250.51947336425098
1999-06-17,249.84546956694075
1999-06-18,244.82987365154767
1999-06-21,245.30787178591822
1999-06-22,251.0575839236927
1999-06-23,249.16945300870077
1999-06-24,246.46106554455898
1999-06-25,241.96564817782695
1999-06-28,243.81500627742463
1999-06-29,244.64049843894432
1999-06-30,245.95360778596302
1999-07-01,250.0697500901006
1999-07-02,254.26525669539507
1999-07-05,256.0422973608707
1999-07-06,256.54395573721786
1999-07-07,257.4421872240004
1999-07-08,258.9736736038245
1999-07-09,259.45331676235503
1999-07-12,257.5799169448354
