Date,PHILIPPINES SMALL CAP
1998-12-31,651.8410209494128
1999-01-01,651.5976172956847
1999-01-04,654.8121201309614
1999-01-05,682.0997961533052
1999-01-06,700.0529922427401
1999-01-07,713.4244278037606
1999-01-08,731.3930529204789
1999-01-11,733.6878438861243
1999-01-12,730.0065510092445
1999-01-13,708.0672155760174
1999-01-14,683.0380233016119
1999-01-15,685.6281833581307
1999-01-18,708.5947205218127
1999-01-19,701.6868723915459
1999-01-20,711.8490236811857
1999-01-21,711.010165815825
1999-01-22,677.0424727272808
1999-01-25,654.529953911595
1999-01-26,668.9606202264197
1999-01-27,671.5377780743715
1999-01-28,677.5575406702084
1999-01-29,681.5206305701565
1999-02-01,681.7643511703147
1999-02-02,686.146780780458
1999-02-03,698.9152353530943
1999-02-04,696.4964439752468
1999-02-05,700.5867949962001
1999-02-08,680.6941563974968
1999-02-09,666.9456340045087
1999-02-10,664.5176706844469
1999-02-11,673.7332413255701
1999-02-12,675.4243887450211
1999-02-15,674.132966068661
1999-02-16,683.8582360640365
1999-02-17,679.2059565029679
1999-02-18,678.7372180022022
1999-02-19,681.4609111783057
1999-02-22,679.6498332429435
1999-02-23,694.7895816926094
1999-02-24,692.9815808649142
1999-02-25,692.7540262585939
1999-02-26,705.7090541187248
1999-03-01,704.4197159838549
1999-03-02,695.3762121230849
1999-03-03,707.5570757163989
1999-03-04,711.5551423556509
1999-03-05,711.8600226892478
1999-03-08,708.6710230812956
1999-03-09,697.5800777238376
1999-03-10,684.5822043624407
1999-03-11,692.7549471491942
1999-03-12,683.3864768190964
1999-03-15,684.3523101622172
1999-03-16,686.2437965148064
1999-03-17,681.1696683707789
1999-03-18,691.8434909743565
1999-03-19,697.5766448477539
1999-03-22,706.5051393071042
1999-03-23,712.976089484897
1999-03-24,710.7282462405861
1999-03-25,714.9330955093742
1999-03-26,728.3499473567579
1999-03-29,726.5800136836684
1999-03-30,725.0063762006577
1999-03-31,723.3084407733259
1999-04-01,721.8057822538334
1999-04-02,724.0380238955969
1999-04-05,745.1922989128111
1999-04-06,752.6859939044216
1999-04-07,764.1497069356684
1999-04-08,781.9244761579843
1999-04-09,786.1986023895315
1999-04-12,794.5246308315541
1999-04-13,802.8511670326885
1999-04-14,801.8783888901664
1999-04-15,803.0519351284545
1999-04-16,814.8424361555155
1999-04-19,856.0347168147459
1999-04-20,844.5176786359494
1999-04-21,840.8170024610432
1999-04-22,864.7007544658945
1999-04-23,874.4757922957547
1999-04-26,888.6713567553331
1999-04-27,896.7571688537508
1999-04-28,914.6762140859835
