Date,SAUDI ARABIA SMALL CAP
2014-08-29,849.9231510901238
2014-09-01,856.9116528694352
2014-09-02,855.4574978252881
2014-09-03,854.9788197963765
2014-09-04,872.1567757365003
2014-09-05,872.6952064349524
2014-09-08,883.9054125195876
2014-09-09,889.7213948432835
2014-09-10,891.5187765573323
2014-09-11,885.0532483994025
2014-09-12,885.2584702068841
2014-09-15,878.2425436830179
2014-09-16,882.3648502077931
2014-09-17,887.9394555851471
2014-09-18,891.5579322056295
2014-09-19,897.2167438932391
2014-09-22,880.5509298697015
2014-09-23,877.7785652209101
2014-09-24,867.4636043634342
2014-09-25,877.5889178829849
2014-09-26,881.1135292549619
2014-09-29,887.8909377641495
2014-09-30,900.3689916352449
2014-10-01,905.8820813385437
2014-10-02,899.0768933438711
2014-10-03,909.2689006417831
2014-10-06,905.0971624531809
2014-10-07,900.8691098686719
2014-10-08,896.9055742732443
2014-10-09,895.0473329223387
2014-10-10,901.1792507346139
2014-10-13,851.525212784881
2014-10-14,841.9143880394422
2014-10-15,818.8521678280717
2014-10-16,781.8277930875071
2014-10-17,782.6134269694004
2014-10-20,818.6513015514536
2014-10-21,846.1823210925743
2014-10-22,858.3704721538921
2014-10-23,855.1609900878883
2014-10-24,853.8905852687656
2014-10-27,862.2239617321447
2014-10-28,855.7026213427678
2014-10-29,845.8153767227001
2014-10-30,848.9843720523871
2014-10-31,855.2295186882321
2014-11-03,877.2121075487423
2014-11-04,845.1673477409994
2014-11-05,846.8625963232702
2014-11-06,857.8784163353332
2014-11-07,859.3760292754952
2014-11-10,872.8394735574327
2014-11-11,864.1188749878892
2014-11-12,859.5668290821344
2014-11-13,851.647405723643
2014-11-14,851.2948432201175
2014-11-17,809.9748512881467
2014-11-18,811.8475777986752
2014-11-19,816.5593601516098
2014-11-20,819.4837883024636
2014-11-21,827.8569757074484
2014-11-24,821.57767666381
2014-11-25,802.623442213379
2014-11-26,784.9387877026911
2014-11-27,791.4521144122546
2014-11-28,792.2671706223616
2014-12-01,769.0113170663492
2014-12-02,782.4694250727379
2014-12-03,790.3500367477403
2014-12-04,794.0251725221773
2014-12-05,803.0757600986234
2014-12-08,794.5311654007992
