Date,EGYPT SMALL CAP
1998-12-31,346.29301458231447
1999-01-01,346.29301458231447
1999-01-04,347.84973403238916
1999-01-05,357.20110292417417
1999-01-06,371.50396860525046
1999-01-07,371.9366420380263
1999-01-08,375.86424960241936
1999-01-11,370.17361017960377
1999-01-12,375.6309401762449
1999-01-13,377.7121307870787
1999-01-14,374.71488374283996
1999-01-15,378.4246471648104
1999-01-18,385.5564516291796
1999-01-19,385.02164109742483
1999-01-20,385.68234153582125
1999-01-21,392.1048016696174
1999-01-22,392.13865634080287
1999-01-25,405.9072318390397
1999-01-26,401.9654379003197
1999-01-27,413.5968959185061
1999-01-28,423.48957758081883
1999-01-29,426.7645594374572
1999-02-01,446.92163190434553
1999-02-02,430.5974424324026
1999-02-03,424.8692787054374
1999-02-04,422.7687273205322
1999-02-05,423.57529659070804
1999-02-08,421.7248571513645
1999-02-09,418.23829323093236
1999-02-10,413.7250560426449
1999-02-11,414.4681522244782
1999-02-12,415.4284331211777
1999-02-15,423.8808290563577
1999-02-16,426.49823797357675
1999-02-17,421.9872730015532
1999-02-18,423.25815480057713
1999-02-19,427.54848412891016
1999-02-22,426.19669452909227
1999-02-23,426.082890913661
1999-02-24,425.554864873789
1999-02-25,420.768518950666
1999-02-26,424.46371857942466
1999-03-01,425.93063099342066
1999-03-02,425.78771293165977
1999-03-03,422.31757150667914
1999-03-04,421.41465179576807
1999-03-05,420.6277125598051
1999-03-08,423.93779166459336
1999-03-09,424.8421611032505
1999-03-10,419.1489100645461
1999-03-11,421.46523302881906
1999-03-12,417.2909014659601
1999-03-15,413.6292589418676
1999-03-16,414.00214576101365
1999-03-17,408.0177067508549
1999-03-18,404.63339114946655
1999-03-19,409.5225904262797
1999-03-22,411.2860339864896
1999-03-23,413.3709525366239
1999-03-24,410.5841414585423
1999-03-25,418.7085276366172
1999-03-26,424.55627281163794
1999-03-29,424.5984926498029
1999-03-30,422.84169153705705
1999-03-31,420.869612226733
1999-04-01,418.3256439750549
1999-04-02,418.4504355585846
1999-04-05,422.225595473157
1999-04-06,415.9927813701935
1999-04-07,414.71511244175775
1999-04-08,413.8346326243388
1999-04-09,415.96105323040825
1999-04-12,413.0264795877633
1999-04-13,415.5971057543103
1999-04-14,418.16796100929827
1999-04-15,421.08741166185996
1999-04-16,422.8704910322195
1999-04-19,425.8110229778776
1999-04-20,421.32060674899674
1999-04-21,422.93129667628443
1999-04-22,422.9511829505252
1999-04-23,420.5709022717638
1999-04-26,421.04160351679366
1999-04-27,417.43220271381404
1999-04-28,415.4136617760175
1999-04-29,417.38647698879237
1999-04-30,414.0370429698332
1999-05-03,419.8641990163476
1999-05-04,411.07837721085497
1999-05-05,404.537145704874
1999-05-06,403.7957161820885
1999-05-07,401.23604137909575
1999-05-10,400.3867157416983
1999-05-11,398.86091149145665
1999-05-12,403.0165013872217
1999-05-13,405.9341741058139
1999-05-14,402.3091586903027
1999-05-17,402.77563957576194
1999-05-18,402.37483111331767
1999-05-19,401.85662034548886
1999-05-20,402.37939724423757
1999-05-21,403.39102024916906
1999-05-24,402.1412089714317
1999-05-25,400.23464841213763
1999-05-26,402.1895991814758
1999-05-27,399.7920644892185
1999-05-28,398.1133468810048
1999-05-31,397.993918737854
1999-06-01,395.1964234382306
1999-06-02,399.0365051396402
1999-06-03,398.3507590496866
1999-06-04,399.5907063095429
1999-06-07,391.99883435506007
1999-06-08,389.840762290044
1999-06-09,394.1785330498738
1999-06-10,387.2831719451435
1999-06-11,386.956683570017
1999-06-14,386.5951904109773
1999-06-15,385.66018313113847
1999-06-16,388.0378356941332
1999-06-17,382.4614424884249
1999-06-18,378.1765564359701
1999-06-21,382.65303716445015
1999-06-22,382.34039611461577
