Date,QATAR DOMESTIC SMALL CAP
2002-05-31,283.6130263332366
2002-06-03,283.309393402172
2002-06-04,282.4964473301539
2002-06-05,284.79626228017634
2002-06-06,282.65824316296846
2002-06-07,282.536333203203
2002-06-10,283.1315700419267
2002-06-11,284.00659972693705
2002-06-12,289.6353297692248
2002-06-13,289.15699616687414
2002-06-14,288.3642422363276
2002-06-17,289.8545210372968
2002-06-18,288.74206892936854
2002-06-19,285.7128209974647
2002-06-20,281.4992948083165
2002-06-21,280.13399200082563
2002-06-24,274.973440241942
2002-06-25,277.09527969118216
2002-06-26,271.64321602109146
2002-06-27,275.2379545100752
2002-06-28,274.157452988389
2002-07-01,280.2677988280519
2002-07-02,282.0488109943491
2002-07-03,284.7142466177981
2002-07-04,286.2327614556642
2002-07-05,287.9745659839738
2002-07-08,288.2583970893231
2002-07-09,288.3629198995384
2002-07-10,294.83320183213954
2002-07-11,297.8077550039577
2002-07-12,297.9131523589821
2002-07-15,297.4338718471029
2002-07-16,295.30503362670686
2002-07-17,295.2044698392016
2002-07-18,293.61425067212303
2002-07-19,291.7106452726408
2002-07-22,292.2076455550821
2002-07-23,296.7224778947711
2002-07-24,296.70304808576464
2002-07-25,297.9335436801859
2002-07-26,301.7494293822461
2002-07-29,306.11994839326934
2002-07-30,301.957169562356
2002-07-31,304.27240343220865
2002-08-01,304.61191588304
2002-08-02,303.75444541711227
2002-08-05,304.1305135175971
2002-08-06,311.9709110743089
2002-08-07,309.90339164916463
2002-08-08,310.1941055354562
2002-08-09,309.02229944637475
2002-08-12,303.6756790417048
2002-08-13,307.4469327438797
2002-08-14,303.3753246953556
2002-08-15,305.24850046830414
2002-08-16,303.88760301471103
2002-08-19,314.32788723951944
2002-08-20,318.1621605929574
2002-08-21,316.49271658078
2002-08-22,322.14732823546035
2002-08-23,322.0556803153447
2002-08-26,321.2396719026495
2002-08-27,319.96037673407824
2002-08-28,318.9913095201332
2002-08-29,318.1042337804075
2002-08-30,319.1820872139232
2002-09-02,318.5985038172073
2002-09-03,314.6825537125961
2002-09-04,316.77234315984407
2002-09-05,316.18951103953043
2002-09-06,318.38850403472895
2002-09-09,315.3944047035843
2002-09-10,318.0458470623263
2002-09-11,312.4975829634435
2002-09-12,307.4258268071879
2002-09-13,306.7610857349966
2002-09-16,303.76864072993277
2002-09-17,308.07849085239855
2002-09-18,312.87269056328915
2002-09-19,302.57161251666207
2002-09-20,302.3562481069192
2002-09-23,304.1940852729736
2002-09-24,304.34085445168296
2002-09-25,307.1999593201647
