Date,BRAZIL SMALL CAP
1998-12-31,94.03843021167101
1999-01-01,94.03843021167101
1999-01-04,93.23103519677316
1999-01-05,92.9318615729969
1999-01-06,94.10689037845265
1999-01-07,92.65937873207737
1999-01-08,93.19285971131517
1999-01-11,91.82178276658568
1999-01-12,90.30497213100604
1999-01-13,80.2446021953279
1999-01-14,79.2786117836682
1999-01-15,77.82652363124599
1999-01-18,72.2190101832398
1999-01-19,73.13820920118188
1999-01-20,72.65311053551069
1999-01-21,65.8496045933237
1999-01-22,65.04462269693644
1999-01-25,62.24508635637546
1999-01-26,62.66852371480686
1999-01-27,62.052209098639004
1999-01-28,62.52258244270376
1999-01-29,60.57874545592427
1999-02-01,67.75277697778388
1999-02-02,72.67802167527117
1999-02-03,70.148515605956
1999-02-04,69.77289260616872
1999-02-05,69.48359535304972
1999-02-08,66.4322905659946
1999-02-09,66.22946908777331
1999-02-10,67.74709543027646
1999-02-11,67.31657675732781
1999-02-12,66.97636763572112
1999-02-15,67.22373285237066
1999-02-16,67.5634592303813
1999-02-17,67.01992914022432
1999-02-18,66.83721901648613
1999-02-19,67.07589051044592
1999-02-22,65.77074103361592
1999-02-23,64.27093985814193
1999-02-24,64.05791413241953
1999-02-25,62.99233865193814
1999-02-26,64.24417407860912
1999-03-01,62.050806247659416
1999-03-02,61.2578189385166
1999-03-03,62.08739425179708
1999-03-04,66.18597088070284
1999-03-05,69.1669061232052
1999-03-08,69.39598294621679
1999-03-09,72.81498877499953
1999-03-10,74.26397978358902
1999-03-11,74.73076460010532
1999-03-12,74.01276632165782
1999-03-15,76.70153021493547
1999-03-16,77.83310863400762
1999-03-17,78.81160449277661
1999-03-18,81.03827544674391
1999-03-19,81.55898483574275
1999-03-22,81.46482290970485
1999-03-23,81.3995126473237
1999-03-24,81.25161738884039
1999-03-25,85.26330050818959
1999-03-26,86.92189793864542
1999-03-29,87.92082605009003
1999-03-30,88.62908281879285
1999-03-31,90.00388451158538
1999-04-01,89.87484966813818
1999-04-02,90.12294496394328
1999-04-05,90.77900639569607
1999-04-06,91.59168055319653
1999-04-07,92.31078018177091
1999-04-08,92.81158471487927
1999-04-09,92.18115609800299
1999-04-12,92.00975634189697
1999-04-13,93.61414297530803
1999-04-14,93.6032612250916
1999-04-15,94.34799332802757
1999-04-16,95.0802696608843
1999-04-19,94.75819164394056
1999-04-20,91.24612652147374
1999-04-21,91.66762642244494
1999-04-22,92.424686368459
1999-04-23,92.54579862283992
1999-04-26,92.09351478721156
1999-04-27,90.37426790410034
1999-04-28,93.09240827195765
1999-04-29,95.45907401493098
1999-04-30,96.0785854350554
1999-05-03,95.7493197631487
1999-05-04,93.95747752183182
1999-05-05,93.94773330089109
1999-05-06,94.96720756614162
1999-05-07,98.81208500755773
1999-05-10,100.5454862068744
1999-05-11,100.8651955239864
1999-05-12,100.70110690810453
1999-05-13,102.5491368901294
1999-05-14,102.87321558892035
1999-05-17,101.31115326018147
1999-05-18,103.15576038343463
1999-05-19,103.30110463924709
1999-05-20,103.0178982568836
1999-05-21,101.55627725126764
1999-05-24,97.83409662308026
1999-05-25,94.71230202889967
1999-05-26,99.47259145523802
1999-05-27,98.33154125054885
1999-05-28,99.27991813137643
1999-05-31,99.91621587791185
1999-06-01,98.03003817312829
1999-06-02,98.99164271719938
1999-06-03,99.04423172859173
1999-06-04,100.81412377794412
1999-06-07,100.259946032514
1999-06-08,99.439517692371
1999-06-09,98.70107323954417
1999-06-10,98.12735126680761
1999-06-11,98.25078758828768
1999-06-14,99.7554076985884
1999-06-15,101.65205951323678
1999-06-16,106.5511591326341
1999-06-17,106.43924044484812
1999-06-18,107.20594853663118
1999-06-21,107.94930840298747
1999-06-22,106.38321417519009
1999-06-23,105.51331658366146
1999-06-24,103.45603006202764
