Date,UNITED ARAB EMIRATES DOMESTIC SMALL CAP
2002-05-31,183.70482126049285
2002-06-03,182.97039367016572
2002-06-04,181.88946803120731
2002-06-05,183.03869168945283
2002-06-06,181.62466719150797
2002-06-07,181.5862342089779
2002-06-10,186.0265069489377
2002-06-11,187.08602272568345
2002-06-12,185.96457552689012
2002-06-13,185.74129580954997
2002-06-14,184.5223074852858
2002-06-17,184.04401683863128
2002-06-18,189.510605601
2002-06-19,188.07522561005334
2002-06-20,186.34669130621484
2002-06-21,185.44793813143596
2002-06-24,181.73686318555292
2002-06-25,182.44798075479696
2002-06-26,179.09862113213353
2002-06-27,180.28199194520485
2002-06-28,182.30298982987054
2002-07-01,183.9078669402051
2002-07-02,182.98981534898826
2002-07-03,184.75494365133258
2002-07-04,185.801389585691
2002-07-05,186.93717657704548
2002-07-08,183.20680392111288
2002-07-09,182.04400870686592
2002-07-10,183.10905074157614
2002-07-11,182.76663515088381
2002-07-12,183.21867270886924
2002-07-15,181.23370643814388
2002-07-16,180.8008739505306
2002-07-17,182.51588259477336
2002-07-18,182.41629555565913
2002-07-19,181.24353884533497
2002-07-22,184.93752429464
2002-07-23,183.05572300150249
2002-07-24,184.38171128664848
2002-07-25,182.09088411353554
2002-07-26,184.42305307988724
2002-07-29,186.5023310191643
2002-07-30,182.82293842750283
2002-07-31,184.82154200391824
2002-08-01,185.23898484859015
2002-08-02,186.66189456454651
2002-08-05,191.4691446127379
2002-08-06,194.65027241450522
2002-08-07,193.3973612636771
2002-08-08,193.77141336510107
2002-08-09,193.03410955036347
2002-08-12,195.48400686483137
2002-08-13,195.52399745591504
2002-08-14,196.4211323095238
2002-08-15,197.50125720957297
2002-08-16,197.78875220131877
2002-08-19,196.97148291997962
2002-08-20,197.50277772599975
2002-08-21,193.33374717588492
2002-08-22,197.3729020981227
2002-08-23,197.71064491315084
2002-08-26,198.0997011428113
2002-08-27,197.02165797376657
2002-08-28,198.31280270139365
2002-08-29,196.98270743733522
2002-08-30,197.6502046063462
2002-09-02,198.07474433100808
2002-09-03,196.40354919436473
2002-09-04,200.4514160973889
2002-09-05,202.39324890166273
2002-09-06,206.13161780135954
2002-09-09,206.83510284581203
2002-09-10,212.39803598874744
2002-09-11,212.47376738691895
2002-09-12,204.8189523590229
2002-09-13,201.9936807118462
2002-09-16,191.14039901639657
2002-09-17,191.7024896496285
2002-09-18,194.77487772031955
2002-09-19,196.0685148770727
2002-09-20,196.70799881720168
2002-09-23,196.64801162569447
2002-09-24,196.85358222395615
2002-09-25,196.77666457259554
2002-09-26,196.5462357906272
2002-09-27,195.9395539030614
2002-09-30,194.58438976346025
2002-10-01,195.31830881481054
2002-10-02,187.1381188507842
2002-10-03,191.2119162283355
2002-10-04,194.20316402212038
2002-10-07,194.13456159895964
2002-10-08,194.16446828115429
2002-10-09,192.94892492928565
2002-10-10,193.2525039108016
2002-10-11,193.12508036896548
2002-10-14,193.2783870505865
2002-10-15,194.54626627248516
2002-10-16,194.20316402212035
2002-10-17,196.5668506617618
2002-10-18,196.7158915407342
2002-10-21,197.11145887922538
2002-10-22,196.8149257292251
2002-10-23,196.99638701402384
2002-10-24,197.04062827285196
2002-10-25,195.99804373900895
2002-10-28,193.26583301446786
2002-10-29,193.9960786652208
2002-10-30,194.33135374653108
2002-10-31,193.40795274294052
2002-11-01,191.83505054220012
2002-11-04,192.09268809770896
2002-11-05,191.06545447151802
2002-11-06,192.4371522488296
2002-11-07,190.42016112768437
2002-11-08,189.86771641364473
2002-11-11,190.25280552435262
2002-11-12,190.37264181281714
2002-11-13,192.86363460404226
2002-11-14,193.00998590843918
2002-11-15,192.57851798166917
2002-11-18,196.33585808642744
2002-11-19,196.0644670154459
2002-11-20,195.38619356023713
2002-11-21,197.16940929426215
2002-11-22,197.45287457913352
2002-11-25,199.58075184095466
2002-11-26,199.86607961621874
2002-11-27,200.50224204818062
2002-11-28,199.0464688128844
2002-11-29,199.46885315373868
2002-12-02,206.97383819133677
2002-12-03,206.3332909778676
2002-12-04,205.77619109222735
2002-12-05,205.66307640020722
2002-12-06,197.53462460399635
2002-12-09,197.62285784740473
2002-12-10,198.05474808880612
2002-12-11,198.4487198515617
2002-12-12,197.4018869348268
2002-12-13,198.5048597984177
2002-12-16,195.36743280333718
2002-12-17,192.55309452438107
2002-12-18,192.98012080074275
2002-12-19,193.32151224978372
2002-12-20,193.041754122902
2002-12-23,193.9737188545447
2002-12-24,193.56581696550842
2002-12-25,193.2418159541661
2002-12-26,192.76099176448818
2002-12-27,191.463146105238
2002-12-30,190.60745655748872
2002-12-31,189.2227129907171
2003-01-01,189.2227129907171
2003-01-02,191.45103955926746
2003-01-03,191.91859345850526
2003-01-06,190.09280502107865
2003-01-07,193.07289542550626
2003-01-08,193.18107463568697
2003-01-09,191.5233143270597
2003-01-10,190.88834951631597
2003-01-13,190.81599302643912
2003-01-14,190.14930825382547
2003-01-15,188.60138376202235
2003-01-16,189.76930138560436
2003-01-17,188.0109162831687
2003-01-20,189.01899502248534
2003-01-21,188.87996569656175
2003-01-22,188.42745535848852
2003-01-23,187.8147547884963
2003-01-24,188.0727149645896
2003-01-27,187.85199966258986
2003-01-28,188.59833596644472
2003-01-29,186.24427457912014
2003-01-30,188.19527010412367
2003-01-31,189.4531601627414
2003-02-03,190.5889453709686
2003-02-04,188.36773767447053
