Date,EMERGING MARKETS EQUAL SECTOR WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1013.534930421623
1999-01-05,1026.3697484279846
1999-01-06,1055.5587177648815
1999-01-07,1074.120869353106
1999-01-08,1078.8847089594449
1999-01-11,1070.0864436182806
1999-01-12,1042.967953503113
1999-01-13,978.5411904309092
1999-01-14,963.4723214148245
1999-01-15,1004.6535819735146
1999-01-18,1016.4321483327672
1999-01-19,1016.576679808271
1999-01-20,1037.3303633422324
1999-01-21,1015.4116746313039
1999-01-22,994.0939671062054
1999-01-25,983.2073140394383
1999-01-26,994.6115466869593
1999-01-27,1015.2419584974058
1999-01-28,1023.682396016113
1999-01-29,1029.4308048612645
1999-02-01,1051.426656259657
1999-02-02,1045.9894093062826
1999-02-03,1043.2115831078186
1999-02-04,1039.5094101186576
1999-02-05,1034.4045325237842
1999-02-08,1038.6394659481496
1999-02-09,1022.2341548163571
1999-02-10,1026.2408965320133
1999-02-11,1042.4746074552972
1999-02-12,1056.0514574052897
1999-02-15,1059.5171729188564
1999-02-16,1068.0798138913672
1999-02-17,1057.1737711859776
1999-02-18,1052.309200683949
1999-02-19,1057.6426850351122
1999-02-22,1068.168963572152
1999-02-23,1059.5354543649025
1999-02-24,1066.9443890776347
1999-02-25,1055.9215027669882
1999-02-26,1069.2542691153951
1999-03-01,1082.0280410800756
1999-03-02,1080.1613198280754
1999-03-03,1092.6070321064333
1999-03-04,1101.4000919701086
1999-03-05,1113.2246939014917
1999-03-08,1138.2470403533318
1999-03-09,1150.284627835213
1999-03-10,1154.1353560466396
1999-03-11,1170.3099646401258
1999-03-12,1165.2149224406878
1999-03-15,1182.4781425031208
1999-03-16,1195.3712526458137
1999-03-17,1189.9011390563949
1999-03-18,1195.7585712570092
1999-03-19,1216.095352743426
1999-03-22,1218.7496750768853
1999-03-23,1208.588973840881
1999-03-24,1196.2881851219483
1999-03-25,1215.94993811067
1999-03-26,1226.4208630692708
1999-03-29,1229.75315636617
1999-03-30,1242.41689520949
1999-03-31,1241.5135741832262
1999-04-01,1242.1232186666907
1999-04-02,1256.2683815879843
1999-04-05,1264.5516484312107
1999-04-06,1270.6972011808666
1999-04-07,1278.846627883371
1999-04-08,1280.5049699920544
1999-04-09,1284.5935927759626
1999-04-12,1278.662419352858
1999-04-13,1290.5515516522566
1999-04-14,1298.0864628907898
1999-04-15,1322.9205159739474
1999-04-16,1356.1376505047779
1999-04-19,1386.60689989105
1999-04-20,1371.790607706757
1999-04-21,1359.4157920606121
1999-04-22,1365.8563881009732
1999-04-23,1368.3559111143081
1999-04-26,1368.8326596732174
1999-04-27,1365.5477713586076
1999-04-28,1376.523116395917
1999-04-29,1375.5613383294829
1999-04-30,1397.3447172205706
1999-05-03,1412.35087382809
1999-05-04,1426.9734298853375
1999-05-05,1428.716308317432
1999-05-06,1450.0796426007637
1999-05-07,1452.600682876468
1999-05-10,1463.463286606201
1999-05-11,1465.58558957256
1999-05-12,1449.9976724582314
1999-05-13,1461.304223100102
1999-05-14,1452.5878389364723
1999-05-17,1440.2235268757374
1999-05-18,1457.470709132044
1999-05-19,1445.8546722658568
1999-05-20,1442.4302003713424
1999-05-21,1439.2741852149784
1999-05-24,1418.8945540427094
1999-05-25,1393.9709126609018
1999-05-26,1424.2863415444444
1999-05-27,1414.5665781285638
1999-05-28,1406.9007612844825
1999-05-31,1421.71051751491
1999-06-01,1425.8164247820314
1999-06-02,1443.5699500495216
1999-06-03,1455.5331420083116
1999-06-04,1480.4980126283506
1999-06-07,1505.9254386598343
1999-06-08,1499.5238888694817
1999-06-09,1485.1794552736294
1999-06-10,1498.4956823127459
1999-06-11,1492.250840811481
1999-06-14,1491.8201193697205
1999-06-15,1492.7302933129536
1999-06-16,1544.1918334473487
1999-06-17,1564.6876218756122
1999-06-18,1564.6001191065552
1999-06-21,1606.1061299602302
1999-06-22,1618.6060369006443
1999-06-23,1597.052554683356
1999-06-24,1578.9142564910958
1999-06-25,1547.3615229541074
1999-06-28,1579.6770773583673
1999-06-29,1593.682623274102
1999-06-30,1603.4280704623736
1999-07-01,1640.3002950159591
1999-07-02,1662.6142257779156
1999-07-05,1686.3230809976528
1999-07-06,1688.3664524484125
1999-07-07,1688.5723317191053
1999-07-08,1685.1999906216372
1999-07-09,1691.0909087985663
1999-07-12,1685.3217075948926
1999-07-13,1663.6313428685912
1999-07-14,1650.3400173060675
1999-07-15,1657.0104830610214
1999-07-16,1661.8425439675086
1999-07-19,1680.141938898339
1999-07-20,1632.507549865014
1999-07-21,1610.3646540792345
1999-07-22,1606.0856076686298
1999-07-23,1571.195162201578
1999-07-26,1516.8544983666832
1999-07-27,1526.8438465095276
1999-07-28,1547.2291167060512
1999-07-29,1533.9787534959107
1999-07-30,1526.4247753773525
1999-08-02,1507.9616927217464
