Date,EM LATAM ex BR IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.1655877404725
1999-01-04,1000.7461056588016
1999-01-05,998.8462604715938
1999-01-06,997.9369893435874
1999-01-07,992.7702967739824
1999-01-08,989.16706724844
1999-01-11,971.0591848960833
1999-01-12,950.144968873532
1999-01-13,907.3229515921973
1999-01-14,895.8963458937212
1999-01-15,928.6812888404397
1999-01-18,933.4011113166603
1999-01-19,927.7383854392531
1999-01-20,936.9473415196135
1999-01-21,925.071560506208
1999-01-22,921.0249298496028
1999-01-25,922.6516958260331
1999-01-26,924.1809217592482
1999-01-27,927.8051711032006
1999-01-28,932.7146905741726
1999-01-29,930.3700154978178
1999-02-01,937.8491227607692
1999-02-02,937.9819283515313
1999-02-03,940.2859834393093
1999-02-04,943.053927225414
1999-02-05,944.0266635209974
1999-02-08,942.3550862035137
1999-02-09,938.0749398179004
1999-02-10,941.6270843977164
1999-02-11,953.6779097797603
1999-02-12,954.2136986461643
1999-02-15,955.8336171937112
1999-02-16,960.0164991946563
1999-02-17,956.8877196585481
1999-02-18,962.0182253068444
1999-02-19,968.7198056619328
1999-02-22,969.6329394296612
1999-02-23,965.5813642910047
1999-02-24,965.7830121766709
1999-02-25,958.9593240032196
1999-02-26,962.5264891013887
1999-03-01,961.5287592156982
1999-03-02,954.4738447663233
1999-03-03,953.5672697445826
1999-03-04,960.9032107999196
1999-03-05,967.1910598179368
1999-03-08,977.8928702981167
1999-03-09,982.4846351609464
1999-03-10,995.7661275252791
1999-03-11,1003.3938153879453
1999-03-12,1010.8256349102248
1999-03-15,1022.1678039048101
1999-03-16,1031.5475500536274
1999-03-17,1034.6373637468519
1999-03-18,1037.0084864935955
1999-03-19,1033.9494512601236
1999-03-22,1028.2413324635647
1999-03-23,1024.7403618562983
1999-03-24,1030.3747645737842
1999-03-25,1042.974264440303
1999-03-26,1043.7145915756817
1999-03-29,1048.978732686669
1999-03-30,1051.5035929283683
1999-03-31,1060.7454715489832
1999-04-01,1063.2035260968833
1999-04-02,1064.3352496513105
1999-04-05,1080.1322639224775
1999-04-06,1081.0559988918048
1999-04-07,1087.410365244425
1999-04-08,1099.208781931438
1999-04-09,1103.6475209243144
1999-04-12,1111.1042494181593
1999-04-13,1116.2760582808796
1999-04-14,1122.0417053586402
1999-04-15,1141.9958323787318
1999-04-16,1166.7191142509673
1999-04-19,1183.8474440858224
1999-04-20,1184.1082807631308
1999-04-21,1188.3376064493395
1999-04-22,1194.3425664080755
1999-04-23,1191.6117762510812
1999-04-26,1189.548764901719
1999-04-27,1181.026673631677
1999-04-28,1189.9546777601308
1999-04-29,1194.6640712415326
1999-04-30,1199.342974228428
1999-05-03,1212.464090844878
1999-05-04,1215.2021471300998
1999-05-05,1220.535145891245
1999-05-06,1230.5829930543075
1999-05-07,1244.0587446050831
1999-05-10,1260.9431711412105
1999-05-11,1260.1521849026312
1999-05-12,1250.6561087855575
1999-05-13,1266.4288063875622
1999-05-14,1255.2236792791184
1999-05-17,1246.1158909959677
1999-05-18,1248.2645626117842
1999-05-19,1229.097553614988
1999-05-20,1227.2299868042953
1999-05-21,1208.4749813129006
1999-05-24,1188.6581820163583
1999-05-25,1168.9719767430704
1999-05-26,1174.5469145982674
1999-05-27,1161.065147534249
1999-05-28,1168.4041464920374
1999-05-31,1172.199942994574
1999-06-01,1164.3909213966238
1999-06-02,1158.6550272030913
1999-06-03,1159.9551501904791
1999-06-04,1168.3938737598564
1999-06-07,1177.568464400447
1999-06-08,1178.015407801251
1999-06-09,1169.9798603679715
1999-06-10,1167.9665505943315
1999-06-11,1160.0002919828241
1999-06-14,1157.8301568828283
1999-06-15,1160.2387945275593
1999-06-16,1175.688459783544
1999-06-17,1180.8002980339406
1999-06-18,1176.407819675124
1999-06-21,1176.821858001357
1999-06-22,1184.8663221968247
1999-06-23,1175.839650992159
1999-06-24,1163.7350355894723
1999-06-25,1156.9163180919104
1999-06-28,1161.5462712173407
1999-06-29,1164.2549264555237
1999-06-30,1170.0781347651823
1999-07-01,1178.737153346278
1999-07-02,1191.08956146907
1999-07-05,1197.224803942293
1999-07-06,1197.7050685485808
1999-07-07,1196.8275073943576
1999-07-08,1187.704774077865
1999-07-09,1187.7627726557548
1999-07-12,1161.63423451707
1999-07-13,1168.1913369809986
1999-07-14,1171.0054342372216
1999-07-15,1174.494627146053
1999-07-16,1179.110598631869
1999-07-19,1182.6661053808507
1999-07-20,1172.6953497204324
1999-07-21,1173.553365287012
1999-07-22,1167.2154554494111
1999-07-23,1152.7722406527998
1999-07-26,1140.26689008567
1999-07-27,1142.475963669615
1999-07-28,1145.434781419211
1999-07-29,1135.8499070065827
1999-07-30,1137.4071989216816
1999-08-02,1129.986372807642
1999-08-03,1127.3425175599507
1999-08-04,1122.8992919175346
1999-08-05,1120.4451510940287
1999-08-06,1116.292329852718
1999-08-09,1117.8089959759945
1999-08-10,1109.9978175253116
1999-08-11,1118.6866450505042
1999-08-12,1121.862325911125
1999-08-13,1126.2597278365215
1999-08-16,1122.9562234071452
1999-08-17,1122.5591761242956
1999-08-18,1111.714555086784
1999-08-19,1108.3126146862865
1999-08-20,1106.2101894113803
1999-08-23,1121.4141002556928
1999-08-24,1119.1710566196407
1999-08-25,1127.8852036087956
1999-08-26,1126.5026219898825
1999-08-27,1121.9675887749947
1999-08-30,1118.5047702103502
1999-08-31,1121.7315268230973
1999-09-01,1123.5190933199517
1999-09-02,1121.597544986333
1999-09-03,1122.895139793299
1999-09-06,1124.7924279356123
1999-09-07,1118.4372830878435
1999-09-08,1118.876784733061
1999-09-09,1122.156789796837
1999-09-10,1128.281529793421
1999-09-13,1130.232881216194
1999-09-14,1128.0462239301069
1999-09-15,1125.928041729152
1999-09-16,1122.1508217842563
1999-09-17,1124.8850829084854
1999-09-20,1127.5298984940293
1999-09-21,1119.9471705865374
1999-09-22,1118.1977503531732
1999-09-23,1112.6151546474055
1999-09-24,1111.9681253318463
1999-09-27,1116.9504889859415
1999-09-28,1115.8091825419117
1999-09-29,1115.8137092944087
1999-09-30,1119.9075273407855
1999-10-01,1115.509790791663
1999-10-04,1118.7420670405145
1999-10-05,1117.5810594342624
1999-10-06,1120.910578499351
1999-10-07,1121.5456359088685
1999-10-08,1122.9525585854528
1999-10-11,1123.5025580484091
1999-10-12,1117.9170330883758
1999-10-13,1103.000754878695
1999-10-14,1099.8883576831686
1999-10-15,1082.4424701183116
1999-10-18,1074.2298726108436
1999-10-19,1085.0644617098424
1999-10-20,1089.155459909116
1999-10-21,1092.2537151299907
1999-10-22,1096.297377315074
1999-10-25,1092.1725115569425
1999-10-26,1088.23750188596
1999-10-27,1085.200980798966
1999-10-28,1090.6482169188175
1999-10-29,1101.9002550468795
1999-11-01,1102.7865959534179
1999-11-02,1108.50736349145
1999-11-03,1126.6990475882287
1999-11-04,1126.7633067358058
1999-11-05,1133.4631117244753
1999-11-08,1140.929521459687
1999-11-09,1143.7579390206336
1999-11-10,1147.9172118130828
1999-11-11,1147.5425663298831
1999-11-12,1153.2468292330673
1999-11-15,1161.5722512183913
1999-11-16,1164.801527032118
1999-11-17,1163.8699439761124
1999-11-18,1172.784010116462
1999-11-19,1172.4747407321552
1999-11-22,1170.7947039697692
1999-11-23,1171.4352060319343
1999-11-24,1175.0884430973344
1999-11-25,1181.0384484192462
1999-11-26,1186.542108961365
1999-11-29,1187.7909217657084
1999-11-30,1183.3435655115807
1999-12-01,1185.50966783455
1999-12-02,1187.9364983264445
1999-12-03,1199.680861641713
1999-12-06,1201.7308611008718
1999-12-07,1197.3546522580355
1999-12-08,1202.5533445061078
1999-12-09,1204.225338816929
1999-12-10,1206.1925228109665
1999-12-13,1206.1690189407345
1999-12-14,1201.1572001628397
1999-12-15,1210.9225911757653
1999-12-16,1217.4775973204314
1999-12-17,1225.1308213116088
1999-12-20,1227.0458786274198
1999-12-21,1227.6096524539485
1999-12-22,1227.1525591336151
1999-12-23,1235.140848655666
1999-12-24,1234.523630554214
1999-12-27,1231.4623058566262
1999-12-28,1237.2962429777722
1999-12-29,1241.7503584843369
1999-12-30,1248.6127532880448
1999-12-31,1248.5615648189084
2000-01-03,1253.5846539153417
2000-01-04,1226.5740117711557
2000-01-05,1235.9733412022433
2000-01-06,1236.1617321094077
2000-01-07,1257.605040128145
2000-01-10,1274.5425366136476
2000-01-11,1266.3681422870154
2000-01-12,1272.6604155058926
2000-01-13,1298.8038994179994
2000-01-14,1314.0074916589833
2000-01-17,1329.677161064951
2000-01-18,1324.2714805436285
2000-01-19,1319.9366791629493
2000-01-20,1313.7345705106718
2000-01-21,1310.3175926675694
2000-01-24,1305.8279693521656
2000-01-25,1297.6245518549056
2000-01-26,1298.3661782518082
2000-01-27,1289.4765737170858
2000-01-28,1281.8751664551862
2000-01-31,1279.0988749071025
2000-02-01,1280.4984022011697
2000-02-02,1286.780800641445
2000-02-03,1303.1921177002614
2000-02-04,1312.7055353188532
2000-02-07,1321.2629891818444
2000-02-08,1328.7779921614251
2000-02-09,1327.506478025209
2000-02-10,1332.241902337676
2000-02-11,1337.7248009650316
2000-02-14,1335.4606566655518
2000-02-15,1332.342327271223
2000-02-16,1329.9091699058297
2000-02-17,1326.9680632016355
2000-02-18,1313.0408288239792
2000-02-21,1308.5385586370055
2000-02-22,1300.165828601123
2000-02-23,1306.3972661334637
2000-02-24,1304.3121691050037
2000-02-25,1294.2351129304081
2000-02-28,1294.232228513084
2000-02-29,1295.6144728321008
2000-03-01,1302.650509074521
2000-03-02,1315.4054871503051
2000-03-03,1319.952221670967
2000-03-06,1310.700947873456
2000-03-07,1304.069376003087
2000-03-08,1312.3186526532809
2000-03-09,1316.321459237873
