Date,AC ASEAN IMI EQUAL WEIGHTED
2007-05-31,1000.0
2007-06-01,1013.4384120891633
2007-06-04,1029.7440331689431
2007-06-05,1027.3883736681048
2007-06-06,1024.1764009500423
2007-06-07,1020.3148498663319
2007-06-08,1002.7250840045677
2007-06-11,1009.6199180238427
2007-06-12,1015.1702117441581
2007-06-13,1002.845025674828
2007-06-14,1012.6111763005478
2007-06-15,1022.1970825119535
2007-06-18,1040.8121776112343
2007-06-19,1040.768638672102
2007-06-20,1053.188244731375
2007-06-21,1050.8186005168156
2007-06-22,1053.704140382443
2007-06-25,1045.2711812263224
2007-06-26,1038.1362094065944
2007-06-27,1029.3869386994165
2007-06-28,1035.2978452872194
2007-06-29,1045.7494544617477
2007-07-02,1055.8647603916947
2007-07-03,1068.942506728729
2007-07-04,1073.8181261157818
2007-07-05,1077.5720864156208
2007-07-06,1080.0816106962934
2007-07-09,1094.8689751966722
2007-07-10,1101.1074121664558
2007-07-11,1093.9352101075249
2007-07-12,1098.818572108769
2007-07-13,1109.6024995689922
2007-07-16,1106.1473980497485
2007-07-17,1106.5011474678856
2007-07-18,1095.5686699217574
2007-07-19,1100.2646199550613
2007-07-20,1116.3089812457267
2007-07-23,1122.200763353538
2007-07-24,1136.0078249252722
2007-07-25,1124.5079185592856
2007-07-26,1116.7546666078672
2007-07-27,1083.634906675762
2007-07-30,1083.6596952054829
2007-07-31,1087.9810573682344
2007-08-01,1046.1634321924494
2007-08-02,1042.6288917135191
2007-08-03,1048.7042621076275
2007-08-06,1012.2032681682471
2007-08-07,1009.6227516650529
2007-08-08,1036.0090280318318
2007-08-09,1028.6153515374451
2007-08-10,1005.1234584367859
2007-08-13,1005.957479283757
2007-08-14,1000.9541121650742
2007-08-15,959.9234209859814
2007-08-16,905.4199453841728
2007-08-17,894.4181836262983
2007-08-20,946.6263423873912
2007-08-21,930.207422914812
2007-08-22,958.1431471095959
2007-08-23,983.1067609674056
2007-08-24,980.5076355766333
2007-08-27,990.7556876251277
2007-08-28,984.0979091631513
2007-08-29,976.8193905351
2007-08-30,981.634916406226
2007-08-31,996.5221941327126
2007-09-03,1001.8264528767045
2007-09-04,996.5323853301413
2007-09-05,1007.0207619318306
2007-09-06,1010.3373200978597
2007-09-07,1010.5173552681923
2007-09-10,998.8226110462609
2007-09-11,1001.0394241666387
2007-09-12,1007.7959551938752
2007-09-13,1010.7532651424043
2007-09-14,1015.6752484826424
2007-09-17,1003.7799112598165
