Date,EM LATIN AMERICA IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.1167453134268
1999-01-04,1000.8385742617281
1999-01-05,1001.3302445638458
1999-01-06,1003.9855872240888
1999-01-07,992.5121623301186
1999-01-08,988.0851097452894
1999-01-11,965.6651440737465
1999-01-12,941.6076027861752
1999-01-13,884.1628013835748
1999-01-14,865.7089158507572
1999-01-15,894.2583374960076
1999-01-18,880.2918085092724
1999-01-19,881.283751926175
1999-01-20,889.4099945150057
1999-01-21,859.8715238757986
1999-01-22,853.9923407903793
1999-01-25,845.9437322090624
1999-01-26,850.0195981390394
1999-01-27,850.442647697083
1999-01-28,854.2090394381554
1999-01-29,846.3832452269747
1999-02-01,875.7763698560958
1999-02-02,893.3562500381026
1999-02-03,887.9065179773688
1999-02-04,887.6265533581103
1999-02-05,883.0234370278258
1999-02-08,873.4330725794149
1999-02-09,870.2819585001693
1999-02-10,876.7774443710209
1999-02-11,886.2048896071091
1999-02-12,887.5638215622114
1999-02-15,888.700403182981
1999-02-16,891.6352182659355
1999-02-17,888.4716842636298
1999-02-18,890.1210390542948
1999-02-19,894.5503557757276
1999-02-22,891.4477679301359
1999-02-23,883.2420840191573
1999-02-24,879.170059479616
1999-02-25,871.4538722119595
1999-02-26,878.314128952066
1999-03-01,867.5883708905214
1999-03-02,860.2779384521509
1999-03-03,862.5705330170492
1999-03-04,882.8451181861326
1999-03-05,898.1664052281644
1999-03-08,908.6938013705035
1999-03-09,926.273761568416
1999-03-10,942.9329109793606
1999-03-11,941.7773553136235
1999-03-12,947.0599098582171
1999-03-15,969.020601835894
1999-03-16,978.8989485784429
1999-03-17,985.6935019132917
1999-03-18,995.1889184471958
1999-03-19,994.3835883419208
1999-03-22,986.6749678894166
1999-03-23,983.4181479391492
1999-03-24,987.7289499722433
1999-03-25,1013.9468997798614
1999-03-26,1018.0793478443447
1999-03-29,1026.2639851175406
1999-03-30,1033.7180883653227
1999-03-31,1046.1342466105557
1999-04-01,1047.7298500472598
1999-04-02,1048.8023749320455
1999-04-05,1061.9967797484385
1999-04-06,1069.6364109380881
1999-04-07,1080.5400032703417
1999-04-08,1090.9557207327061
1999-04-09,1091.2295320389103
1999-04-12,1099.5872129173365
1999-04-13,1105.6160664536558
1999-04-14,1111.186107271995
1999-04-15,1125.4703631059608
1999-04-16,1145.3029182290275
1999-04-19,1153.1519307826493
1999-04-20,1138.479489569549
1999-04-21,1141.2081395628823
1999-04-22,1150.5881227637785
1999-04-23,1151.90299671147
1999-04-26,1147.027831852288
1999-04-27,1138.556937667645
1999-04-28,1157.2543611110298
1999-04-29,1166.8919695625377
1999-04-30,1173.5804604038997
1999-05-03,1183.2374143527054
1999-05-04,1178.1213795387273
1999-05-05,1186.7136797880116
1999-05-06,1200.966561942876
1999-05-07,1226.4353184227164
1999-05-10,1246.1703475357083
1999-05-11,1242.7634647635164
1999-05-12,1233.3631404875907
1999-05-13,1251.9051760667257
1999-05-14,1246.4900488274304
1999-05-17,1231.1275617566469
1999-05-18,1239.242679144404
1999-05-19,1225.030339472074
1999-05-20,1220.9137246066384
1999-05-21,1197.9807033170284
1999-05-24,1166.2742403340103
1999-05-25,1138.7980201647533
1999-05-26,1162.3606897952602
1999-05-27,1145.6661021336906
1999-05-28,1152.001383278696
1999-05-31,1158.4030649704898
1999-06-01,1147.178557252962
1999-06-02,1143.3121008836702
1999-06-03,1144.3549313683272
1999-06-04,1154.263345608088
1999-06-07,1156.820340488731
1999-06-08,1156.6417238522156
1999-06-09,1148.2167550809954
1999-06-10,1147.6666257647482
1999-06-11,1142.326769822545
1999-06-14,1139.3432667224267
1999-06-15,1146.3824972024197
1999-06-16,1169.5292039972844
1999-06-17,1174.9236349683108
1999-06-18,1175.950216086817
1999-06-21,1175.509659263184
1999-06-22,1179.0278854516853
1999-06-23,1170.0300520749674
1999-06-24,1153.7310817254072
1999-06-25,1146.5384888860417
1999-06-28,1152.5314592682737
1999-06-29,1158.8284732113048
1999-06-30,1172.0979049669818
1999-07-01,1175.774556106341
1999-07-02,1189.564429589895
1999-07-05,1198.2837401344584
1999-07-06,1194.0591590181002
1999-07-07,1194.9936312450866
1999-07-08,1179.5187353632584
1999-07-09,1180.3483805088251
1999-07-12,1147.8104003091403
1999-07-13,1153.8139660943054
1999-07-14,1156.1217777951092
1999-07-15,1161.6423645393302
1999-07-16,1169.2776982616163
1999-07-19,1176.357782405828
1999-07-20,1159.103152118093
1999-07-21,1164.7954608424875
1999-07-22,1160.308103767199
1999-07-23,1144.851517759202
1999-07-26,1129.8984694339736
1999-07-27,1132.3880472122644
1999-07-28,1139.0716388072374
1999-07-29,1129.973569564195
1999-07-30,1127.3228815913974
1999-08-02,1112.3555418891885
1999-08-03,1111.1910262152137
1999-08-04,1103.1221793393734
1999-08-05,1096.7972854459629
1999-08-06,1091.956786011078
1999-08-09,1087.6746739173047
1999-08-10,1079.2069992394472
1999-08-11,1092.9963167584335
1999-08-12,1094.1271160621206
1999-08-13,1100.5470709714557
1999-08-16,1096.4325421083602
1999-08-17,1091.3171383654253
1999-08-18,1075.0154098130924
1999-08-19,1070.2906313066328
1999-08-20,1080.7795773421797
1999-08-23,1095.178303664524
1999-08-24,1088.367477313657
1999-08-25,1102.5838160419576
1999-08-26,1097.6726464851713
1999-08-27,1092.5958706373967
1999-08-30,1091.527306947808
1999-08-31,1095.3943239370426
1999-09-01,1104.1460889011635
1999-09-02,1108.516438434208
1999-09-03,1111.4616258329222
