Date,ASEAN IMI EQUAL WEIGHTED
2010-11-30,1000.0
2010-12-01,1012.8614333122958
2010-12-02,1026.3371832360615
2010-12-03,1028.3282147749428
2010-12-06,1033.2016499311856
2010-12-07,1034.6361310335244
2010-12-08,1030.174806669642
2010-12-09,1040.030278152762
2010-12-10,1040.6503264841194
2010-12-13,1046.1415989043915
2010-12-14,1053.2522081218153
2010-12-15,1050.370305708328
2010-12-16,1035.1176228336078
2010-12-17,1038.2234701410946
2010-12-20,1028.7423200911223
2010-12-21,1039.438659199175
2010-12-22,1041.4783388384124
2010-12-23,1043.8437309727383
2010-12-24,1045.94393280404
2010-12-27,1044.7084815220928
2010-12-28,1054.269001738751
2010-12-29,1062.424504356814
2010-12-30,1065.8692191582825
2010-12-31,1067.345353211093
2011-01-03,1079.285668966467
2011-01-04,1085.5234710339366
2011-01-05,1087.1889279872933
2011-01-06,1091.2920190989985
2011-01-07,1085.554658160638
2011-01-10,1069.508541679777
2011-01-11,1071.0085749262364
2011-01-12,1083.3590227379734
2011-01-13,1089.199680521577
2011-01-14,1085.9348007786166
2011-01-17,1082.0237497326725
2011-01-18,1078.0707117706293
2011-01-19,1080.3025561293875
2011-01-20,1066.2205806740606
2011-01-21,1053.736364213999
2011-01-24,1037.4405989186278
2011-01-25,1035.855115859337
2011-01-26,1046.1861706388129
2011-01-27,1053.0484378440908
2011-01-28,1047.424024334704
2011-01-31,1034.1010410418426
2011-02-01,1036.5664384581794
2011-02-02,1052.4759621695584
2011-02-03,1053.0662551043924
2011-02-04,1054.7015192761558
2011-02-07,1057.076324837062
2011-02-08,1061.9257149762077
2011-02-09,1053.4864237659751
2011-02-10,1036.5520872987693
2011-02-11,1024.5534039354227
2011-02-14,1031.3353372369045
2011-02-15,1028.9090492676776
2011-02-16,1032.085146424025
2011-02-17,1035.849605530128
2011-02-18,1041.8981131245107
2011-02-21,1034.561655093847
2011-02-22,1011.819075450973
2011-02-23,1013.2696556581291
2011-02-24,993.153396129673
2011-02-25,1003.9756260828425
2011-02-28,1004.0565581858028
2011-03-01,1013.3017705864638
2011-03-02,999.7877330625508
2011-03-03,1006.7723499496517
2011-03-04,1017.4898072974577
2011-03-07,1017.2279745914286
2011-03-08,1026.7395112796753
2011-03-09,1031.8288651072655
2011-03-10,1030.35507839026
2011-03-11,1019.9582498799506
2011-03-14,1021.287834685702
2011-03-15,996.0534638617049
2011-03-16,1007.6788233289103
2011-03-17,999.5117525006497
2011-03-18,1006.6533912305806
2011-03-21,1022.1206395300946
2011-03-22,1027.156450048585
2011-03-23,1033.4086599243328
2011-03-24,1040.8997845906163
2011-03-25,1046.5105694771241
2011-03-28,1044.9171418621474
2011-03-29,1048.9282663146628
2011-03-30,1060.0531597917186
2011-03-31,1063.7797218883727
2011-04-01,1073.242780550783
2011-04-04,1080.0983343394946
2011-04-05,1078.6014159540737
2011-04-06,1087.5963398307586
2011-04-07,1091.232180390771
2011-04-08,1094.8873326470305
2011-04-11,1087.6813964263424
2011-04-12,1080.9210264808414
2011-04-13,1087.266891133388
2011-04-14,1084.398965846702
2011-04-15,1084.9064636782973
2011-04-18,1084.2938663692246
2011-04-19,1084.796372493975
2011-04-20,1096.7872876374702
2011-04-21,1101.163955508286
2011-04-22,1099.03248952566
2011-04-25,1102.4779970804098
2011-04-26,1100.952563390691
2011-04-27,1105.5788290531389
2011-04-28,1109.8021922513599
2011-04-29,1114.7783692573216
2011-05-02,1116.6869388858847
2011-05-03,1102.1773749827848
2011-05-04,1096.8144130247215
2011-05-05,1090.5867449175578
2011-05-06,1080.642143394792
2011-05-09,1089.6085644903303
2011-05-10,1095.7908391876795
2011-05-11,1107.2001489707725
2011-05-12,1093.0764052985514
2011-05-13,1100.5999400463566
2011-05-16,1088.9184836018426
2011-05-17,1086.9388133300179
2011-05-18,1092.3186821214827
2011-05-19,1090.910331219926
2011-05-20,1090.7577310528952
2011-05-23,1061.8885819285192
2011-05-24,1066.3193109878669
2011-05-25,1056.5177123020078
2011-05-26,1067.3669339982948
2011-05-27,1073.3675418727898
2011-05-30,1073.0616543200301
